gene_name,ct_transcript_id,ad_transcript_id,cell_type,diffuse_delta,dtu_pvalue,direction,priority,note
LETMD1,LETMD1-201,LETMD1-238,Cardiomyocyte,0.7967,1.0,CT_high,1,context=cardiac; prism_delta=0.797; go=Muscle_cont; n_samples=2+0
LETMD1,LETMD1-201,LETMD1-238,Skeletal_muscle,0.7967,1.0,CT_high,1,context=muscle_psoas; prism_delta=0.797; go=Muscle_cont; n_samples=1+0
DYNLT1,DYNLT1-203,DYNLT1-202,Cardiomyocyte,0.7914,1.0,CT_high,1,context=cardiac; prism_delta=0.791; go=Proteasome; n_samples=2+0
DYNLT1,DYNLT1-203,DYNLT1-202,Skeletal_muscle,0.7914,1.0,CT_high,1,context=muscle_psoas; prism_delta=0.791; go=Proteasome; n_samples=1+0
RTN4,RTN4-205,RTN4-214,Skeletal_muscle,0.7756,1.0,CT_high,1,context=muscle_psoas; prism_delta=0.776; go=Synaptic; n_samples=1+0
ZNF207,ZNF207-203,ZNF207-217,Cardiomyocyte,0.7322,1.0,CT_high,1,context=cardiac; prism_delta=0.732; go=TOR_signal; n_samples=2+0
ZNF207,ZNF207-203,ZNF207-217,Skeletal_muscle,0.7322,1.0,CT_high,1,context=muscle_psoas; prism_delta=0.732; go=TOR_signal; n_samples=1+0
SPTBN1,SPTBN1-201,SPTBN1-206,Skeletal_muscle,0.7006,1.0,CT_high,1,context=muscle_psoas; prism_delta=0.701; go=Synaptic; n_samples=1+0
RTN4,RTN4-201,RTN4-214,Cardiomyocyte,0.6812,1.0,CT_high,2,context=cardiac; prism_delta=0.681; go=Synaptic; n_samples=2+0
PSMC6,PSMC6-201,PSMC6-217,Cardiomyocyte,0.6786,1.0,CT_high,2,context=cardiac; prism_delta=0.679; go=Glycolysis; n_samples=2+0
SPTBN1,SPTBN1-202,SPTBN1-206,Cardiomyocyte,0.6763,1.0,CT_high,2,context=cardiac; prism_delta=0.676; go=Synaptic; n_samples=2+0
CNP,CNP-202,CNP-212,Skeletal_muscle,0.6705,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.671; go=Neuron_proj; n_samples=1+0
COLQ,COLQ-203,COLQ-214,Cardiomyocyte,0.6479,1.0,CT_high,2,context=cardiac; prism_delta=0.648; go=Neuron_proj; n_samples=2+0
RPL8,RPL8-201,RPL8-214,Cardiomyocyte,0.6433,1.0,CT_high,2,context=cardiac; prism_delta=0.643; go=Ca2+_homeo; n_samples=2+0
RPL8,RPL8-201,RPL8-214,Skeletal_muscle,0.6433,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.643; go=Ca2+_homeo; n_samples=1+0
EGFR,EGFR-201,EGFR-213,Cardiomyocyte,0.6346,1.0,CT_high,2,context=cardiac; prism_delta=0.635; go=Synaptic; n_samples=2+0
EGFR,EGFR-201,EGFR-213,Skeletal_muscle,0.6346,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.635; go=Synaptic; n_samples=1+0
ZNHIT1,ZNHIT1-201,ZNHIT1-204,Cardiomyocyte,0.6276,1.0,CT_high,2,context=cardiac; prism_delta=0.628; go=MT_mvt; n_samples=2+0
ZNHIT1,ZNHIT1-201,ZNHIT1-204,Skeletal_muscle,0.6276,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.628; go=MT_mvt; n_samples=1+0
SON,SON-202,SON-222,Skeletal_muscle,0.6267,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.627; go=TOR_signal; n_samples=1+0
RHOT2,RHOT2-201,RHOT2-227,Cardiomyocyte,0.6253,1.0,CT_high,2,context=cardiac; prism_delta=0.625; go=Proteasome; n_samples=2+0
RHOT2,RHOT2-201,RHOT2-227,Skeletal_muscle,0.6253,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.625; go=Proteasome; n_samples=1+0
PTPRG,PTPRG-203,PTPRG-207,Cardiomyocyte,0.6222,1.0,CT_high,2,context=cardiac; prism_delta=0.622; go=Sarcomere; n_samples=2+0
RPL7,RPL7-201,RPL7-208,Cardiomyocyte,0.6218,1.0,CT_high,2,context=cardiac; prism_delta=0.622; go=Ca2+_homeo; n_samples=2+0
SAMM50,SAMM50-201,SAMM50-206,Cardiomyocyte,0.6167,1.0,CT_high,2,context=cardiac; prism_delta=0.617; go=Muscle_cont; n_samples=2+0
SAMM50,SAMM50-201,SAMM50-206,Skeletal_muscle,0.6167,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.617; go=Muscle_cont; n_samples=1+0
MAEA,MAEA-202,MAEA-220,Skeletal_muscle,0.6094,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.609; go=Glycolysis; n_samples=1+0
CHMP3,CHMP3-201,CHMP3-209,Cardiomyocyte,0.6085,1.0,CT_high,2,context=cardiac; prism_delta=0.609; go=Ca2+_signal; n_samples=2+0
CHMP3,CHMP3-201,CHMP3-209,Skeletal_muscle,0.6085,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.609; go=Ca2+_signal; n_samples=1+0
SH3BGRL,SH3BGRL-201,SH3BGRL-204,Cardiomyocyte,0.6015,1.0,CT_high,2,context=cardiac; prism_delta=0.602; go=Glycolysis; n_samples=2+0
IFT172,IFT172-201,IFT172-234,Cardiomyocyte,0.6009,1.0,CT_high,2,context=cardiac; prism_delta=0.601; go=Proteasome; n_samples=2+0
COA1,COA1-201,COA1-219,Cardiomyocyte,0.5885,1.0,CT_high,2,context=cardiac; prism_delta=0.588; go=Muscle_cont; n_samples=2+0
PSMA3,PSMA3-201,PSMA3-212,Skeletal_muscle,0.5813,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.581; go=Glycolysis; n_samples=1+0
CD40,CD40-202,CD40-214,Cardiomyocyte,0.581,1.0,CT_high,2,context=cardiac; prism_delta=0.581; go=Mito_org; n_samples=2+0
RPL23,RPL23-206,RPL23-201,Microglia,0.5756,7.59e-09,CT_high,2,context=brain_micro; prism_delta=0.576; go=Ca2+_homeo; n_samples=5+7
RPL23,RPL23-203,RPL23-211,Cardiomyocyte,0.5756,1.0,CT_high,2,context=cardiac; prism_delta=0.576; go=Ca2+_homeo; n_samples=2+0
RPL23,RPL23-206,RPL23-211,Skeletal_muscle,0.5756,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.576; go=Ca2+_homeo; n_samples=1+0
PHB2,PHB2-203,PHB2-220,Cardiomyocyte,0.5666,1.0,CT_high,2,context=cardiac; prism_delta=0.567; go=Muscle_cont; n_samples=2+0
PHB2,PHB2-203,PHB2-220,Skeletal_muscle,0.5666,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.567; go=Muscle_cont; n_samples=1+0
PTPRA,PTPRA-201,PTPRA-207,Cardiomyocyte,0.5657,1.0,CT_high,2,context=cardiac; prism_delta=0.566; go=Sarcomere; n_samples=2+0
RBCK1,RBCK1-202,RBCK1-220,Cardiomyocyte,0.5586,1.0,CT_high,2,context=cardiac; prism_delta=0.559; go=Glycolysis; n_samples=2+0
RBCK1,RBCK1-202,RBCK1-220,Skeletal_muscle,0.5586,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.559; go=Glycolysis; n_samples=1+0
TMOD1,TMOD1-201,TMOD1-202,Skeletal_muscle,0.5416,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.542; go=MT_mvt; n_samples=1+0
UBE2D1,UBE2D1-201,UBE2D1-203,Skeletal_muscle,0.5297,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.530; go=Glycolysis; n_samples=1+0
TIMM17A,TIMM17A-201,TIMM17A-204,Cardiomyocyte,0.5276,1.0,CT_high,2,context=cardiac; prism_delta=0.528; go=Muscle_cont; n_samples=2+0
TIMM17A,TIMM17A-201,TIMM17A-204,Skeletal_muscle,0.5276,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.528; go=Muscle_cont; n_samples=1+0
GSTM2,GSTM2-201,GSTM2-215,Cardiomyocyte,0.5252,1.0,CT_high,2,context=cardiac; prism_delta=0.525; go=Actin_mvt; n_samples=2+0
GSTM2,GSTM2-201,GSTM2-215,Skeletal_muscle,0.5252,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.525; go=Actin_mvt; n_samples=1+0
NIN,NIN-215,NIN-231,Cardiomyocyte,0.5247,1.0,CT_high,2,context=cardiac; prism_delta=0.525; go=TOR_signal; n_samples=2+0
NIN,NIN-215,NIN-231,Skeletal_muscle,0.5247,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.525; go=TOR_signal; n_samples=1+0
ABITRAM,ABITRAM-201,ABITRAM-204,Cardiomyocyte,0.5209,1.0,CT_high,2,context=cardiac; prism_delta=0.521; go=Synaptic; n_samples=2+0
BUB3,BUB3-203,BUB3-205,Cardiomyocyte,0.5184,1.0,CT_high,2,context=cardiac; prism_delta=0.518; go=Glycolysis; n_samples=2+0
BUB3,BUB3-203,BUB3-205,Skeletal_muscle,0.5184,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.518; go=Glycolysis; n_samples=1+0
MAPRE2,MAPRE2-202,MAPRE2-213,Skeletal_muscle,0.5174,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.517; go=TOR_signal; n_samples=1+0
TRAF3IP1,TRAF3IP1-202,TRAF3IP1-205,Skeletal_muscle,0.5136,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.514; go=Proteasome; n_samples=1+0
TNIK,TNIK-204,TNIK-215,Cardiomyocyte,0.512,1.0,CT_high,2,context=cardiac; prism_delta=0.512; go=Sarcomere; n_samples=2+0
PSMC4,PSMC4-201,PSMC4-206,Skeletal_muscle,0.5113,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.511; go=Glycolysis; n_samples=1+0
NDFIP1,NDFIP1-201,NDFIP1-204,Cardiomyocyte,0.5083,1.0,CT_high,2,context=cardiac; prism_delta=0.508; go=Glycolysis; n_samples=2+0
NDFIP1,NDFIP1-201,NDFIP1-204,Skeletal_muscle,0.5083,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.508; go=Glycolysis; n_samples=1+0
NDUFS7,NDUFS7-201,NDUFS7-217,Skeletal_muscle,0.5081,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.508; go=Muscle_cont; n_samples=1+0
NIPSNAP2,NIPSNAP2-201,NIPSNAP2-211,Skeletal_muscle,0.5066,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.507; go=Muscle_cont; n_samples=1+0
NDUFS8,NDUFS8-201,NDUFS8-215,Skeletal_muscle,0.5001,1.0,CT_high,2,context=muscle_psoas; prism_delta=0.500; go=Muscle_cont; n_samples=1+0
NEK1,NEK1-214,NEK1-228,Cardiomyocyte,-0.5044,1.0,AD_high,2,context=cardiac; prism_delta=-0.504; go=Ca2+_homeo; n_samples=2+0
GAS6,GAS6-201,GAS6-205,Skeletal_muscle,-0.5349,1.0,AD_high,2,context=muscle_psoas; prism_delta=-0.535; go=Neuron_proj; n_samples=1+0
RPL23,RPL23-201,RPL23-206,Astrocyte,-0.5756,7.59e-09,AD_high,2,context=brain_astro; prism_delta=-0.576; go=Actin_mvt; n_samples=7+5
FBXO42,FBXO42-201,FBXO42-204,Cardiomyocyte,-0.6345,1.0,AD_high,2,context=cardiac; prism_delta=-0.635; go=Glycolysis; n_samples=2+0
FBXO42,FBXO42-201,FBXO42-204,Skeletal_muscle,-0.6345,1.0,AD_high,2,context=muscle_psoas; prism_delta=-0.635; go=Glycolysis; n_samples=1+0
CAMKK2,CAMKK2-208,CAMKK2-216,Hippocampus,0.5694,1.12e-07,CT_high,3,context=brain_hippo; expr_prop_delta=0.569; no_prism_score; n_samples=2+2
CACNA1C,CACNA1C-217,CACNA1C-217,Cortex,0.3127,5.459999999999999e-258,CT_high,3,context=brain_dlpfc; expr_prop_delta=0.313; no_prism_score; n_samples=2+1
RPS19,RPS19-201,RPS19-206,Astrocyte,0.2819,1.5e-13,CT_high,3,context=brain_astro; expr_prop_delta=0.282; no_prism_score; n_samples=7+5
RPL37,RPL37-202,RPL37-201,Astrocyte,0.2673,1.28e-07,CT_high,3,context=brain_astro; expr_prop_delta=0.267; no_prism_score; n_samples=7+5
RPL38,RPL38-208,RPL38-208,Astrocyte,0.2644,1.02e-12,CT_high,3,context=brain_astro; expr_prop_delta=0.264; no_prism_score; n_samples=7+5
LSM5,LSM5-206,LSM5-202,Astrocyte,0.2079,1.67e-06,CT_high,3,context=brain_astro; expr_prop_delta=0.208; no_prism_score; n_samples=7+5
BEX3,BEX3-204,BEX3-202,Hippocampus,0.2076,2.55e-10,CT_high,3,context=brain_hippo; expr_prop_delta=0.208; no_prism_score; n_samples=2+2
RPL10,RPL10-203,RPL10-203,Astrocyte,0.1913,4.06e-09,CT_high,3,context=brain_astro; expr_prop_delta=0.191; no_prism_score; n_samples=7+5
