model,category,GO_0006096_auroc,GO_0006096_auprc,GO_0006096_f1,GO_0006412_auroc,GO_0006412_auprc,GO_0006412_f1,GO_0006936_auroc,GO_0006936_auprc,GO_0006936_f1,GO_0022900_auroc,GO_0022900_auprc,GO_0022900_f1
DIFFUSE (orig),Baseline,0.4994,0.0021,0.0045,,,,0.5147,0.0262,0.0503,0.5310,0.0085,0.0180
DIFFUSE+Triplet,Baseline,0.4708,0.0020,0.0056,0.5043,0.0194,0.0391,0.5187,0.0253,0.0439,0.4974,0.0077,0.0163
DIFFUSE+Focal,Baseline,0.4994,0.0025,0.0162,0.5047,0.0193,0.0390,0.4986,0.0168,0.0347,0.5050,0.0077,0.0167
DIFFUSE+Ensemble,Baseline,0.4885,0.0021,0.0042,0.5013,0.0194,0.0381,0.5043,0.0238,0.0331,0.5122,0.0081,0.0164
DIFFUSE+PFN,Baseline,0.4396,0.0018,0.0042,0.5106,0.0197,0.0387,0.5141,0.0192,0.0448,0.5004,0.0079,0.0163
v4-3 (Phase2),Ours,0.7599,0.2576,0.4539,0.6355,0.0821,0.2072,0.7911,0.2957,0.4009,0.6425,0.0735,0.1966
v5fix (Phase2),Ours,0.6979,0.0927,0.2955,0.4877,0.0194,0.0391,0.7696,0.1213,0.2198,0.5677,0.0178,0.1011
v5-1 (Phase2),Ours,0.9099,0.6461,0.7000,0.7140,0.2859,0.3880,0.8289,0.4066,0.4900,0.6911,0.1182,0.1729
v5-1 Final,Ours,0.9585,0.6539,0.7050,0.7163,0.2242,0.3311,0.8599,0.4318,0.5010,0.7000,0.1160,0.1771
v5-2 (Phase2),Ours,0.8539,0.3542,0.4889,0.6217,0.0839,0.1867,0.7747,0.3935,0.4503,0.6190,0.0311,0.0972
v5-2 Final [I2],Ours,0.8539,0.3542,0.4889,0.6322,0.0892,0.1947,0.8050,0.4101,0.4612,0.6190,0.0311,0.0972
