x,y,z,leiden,cell_type,subtype,layer,condition,donor,ad_sig,ax,ay,az,ana_layer,depth_mid_mm
9.510417,7.3128843,7.909682,5,Microglia,SPP1⁺ activated,Microglia,AD,PO05,ns,-32.771447518210756,33.70320570011182,-43.449849217809785,Mixed,1.75
5.734298,13.403213,0.2182753,6,OPC,OPC,OPC,AD,PO05,ns,-5.5190240546389155,37.59811587243958,49.83780597307378,WM/L6,6.35
11.060108,-2.77615,7.238345,0,Oligodendrocyte,MOL1/2,Oligodendrocyte,AD,PO05,ns,11.111803301634346,-73.26426517908736,-23.84702325888379,WM/L6,6.35
-0.65298945,4.515783,-0.8145737,20,Excitatory neuron,Unclassified,L6,AD,PO05,ns,-37.794773839175214,-69.58386898648332,7.179794833486482,Mixed,1.75
9.637987,7.3024316,7.881469,5,Microglia,SPP1⁺ activated,Microglia,AD,PO05,ns,37.86589615428738,-67.6646971385997,3.702914652481865,Mixed,1.75
6.6119657,13.031913,-0.307052,6,OPC,OPC,OPC,AD,PO05,ns,-26.5492882922411,15.047465474723904,44.46638151439995,WM/L6,6.35
10.086019,-3.2689383,6.3484526,3,Oligodendrocyte,MOL2,Oligodendrocyte,AD,PO05,ns,28.993100480491364,67.23427027489447,-10.536716517392597,WM/L6,6.35
10.969706,-2.748735,5.7622814,3,Oligodendrocyte,MOL2,Oligodendrocyte,AD,PO05,ns,-46.261404667831776,15.978500330762635,25.43252377442231,WM/L6,6.35
1.5262185,11.7222185,7.1579585,8,Inhibitory neuron,VIP,Inhibitory neuron,AD,PO05,ns,-60.35553874134637,-21.00580784837716,15.658208867143838,L1-3,0.6
9.6405945,7.3992653,7.828951,5,Microglia,SPP1⁺ activated,Microglia,AD,PO05,ns,33.066641363779546,65.03814068059572,-23.11615546886473,Mixed,1.75
9.720294,4.3342314,-1.597346,4,Astrocyte,Protoplasmic,Astrocyte,AD,PO05,ns,-12.666584839762136,-41.5465090862034,-51.255673714526246,Mixed,1.75
6.7805696,12.517563,-1.167457,6,OPC,OPC,OPC,AD,PO05,ns,-34.993009604128886,33.89489550218707,-36.817950611709264,WM/L6,6.35
-1.372493,-2.219928,5.2397203,2,Excitatory neuron,L2/3 IT,L2/3,AD,PO05,ns,40.20406604973135,-0.8775670699349933,46.13030543608008,L2/3,0.7
-7.341649,3.552671,8.7873125,11,Excitatory neuron,L4 IT,L4,AD,PO05,†,-40.51342721583326,-65.6370084300109,-0.14056210764006952,L4,1.5
9.524048,7.394716,7.8247986,5,Microglia,SPP1⁺ activated,Microglia,AD,PO05,ns,-49.900183760579914,41.3700791794789,-19.29155536344876,Mixed,1.75
11.2978525,-2.5190213,7.96031,0,Oligodendrocyte,MOL1/2,Oligodendrocyte,AD,PO05,ns,-46.34339791971096,18.727487540116762,32.11916176862041,WM/L6,6.35
1.2147532,-3.5573978,2.9143898,1,Excitatory neuron,L2/3 IT,L2/3,AD,PO05,ns,47.41590872985706,-26.82113524092284,-35.44438890381082,L2/3,0.7
3.1699564,-3.9857924,1.2541261,1,Excitatory neuron,L2/3 IT,L2/3,AD,PO05,ns,17.503257971557343,-6.880012371192605,-57.18621624440828,L2/3,0.7
-0.27081022,-4.5674987,5.210894,2,Excitatory neuron,L2/3 IT,L2/3,AD,PO05,ns,37.77312227980503,13.37721598154229,47.4903840442264,L2/3,0.7
11.913655,-0.8681309,7.0735297,0,Oligodendrocyte,MOL1/2,Oligodendrocyte,AD,PO05,ns,23.23128560524465,-28.590931910795764,41.76704266517154,WM/L6,6.35
6.2719026,7.784138,15.9820175,15,Inhibitory neuron,LAMP5/KIT,Inhibitory neuron,AD,PO05,*,53.38062994442403,40.31241229006849,18.679048499146994,L1-2,0.25
11.596425,-2.407048,7.652887,0,Oligodendrocyte,MOL1/2,Oligodendrocyte,AD,PO05,ns,-23.805451621153473,-69.3423554802537,11.920077480851123,WM/L6,6.35
-2.4260733,0.43827635,5.697368,18,Excitatory neuron,L4 IT atypical,L4,AD,PO05,**,-43.50007415331058,15.72957445829149,41.612755033971226,L4,1.5
6.3230915,13.001568,0.63044965,6,OPC,OPC,OPC,AD,PO05,ns,44.40869972410716,-15.658050049840918,-31.744821560273934,WM/L6,6.35
-0.9615357,6.4432235,9.020111,9,Inhibitory neuron,SST,Inhibitory neuron,AD,PO05,*,11.86707017642723,6.924335701180708,-57.06602282187044,L3-5,1.6
9.462932,4.225786,-2.4785068,4,Astrocyte,Protoplasmic,Astrocyte,AD,PO05,ns,-5.8890048217530175,79.74232119539487,18.577060985249776,Mixed,1.75
-0.40397754,-4.0185757,3.803976,2,Excitatory neuron,L2/3 IT,L2/3,AD,PO05,ns,62.50371216153861,-14.926359339856154,-10.998907478552834,L2/3,0.7
0.7899663,-3.1831794,4.818477,2,Excitatory neuron,L2/3 IT,L2/3,AD,PO05,ns,-59.54160898920863,-6.4238851209233205,-20.69366501843016,L2/3,0.7
1.5845214,-3.0828776,4.8318954,2,Excitatory neuron,L2/3 IT,L2/3,AD,PO05,ns,50.834951771568186,41.8885259271214,-22.950802474532107,L2/3,0.7
2.7855997,10.850489,11.462275,24,Inhibitory neuron,CGE-derived misc,Inhibitory neuron,AD,PO05,ns,9.995586945742039,-59.49802050307759,-42.475936706939244,L2-4,1.0
12.189134,-1.499407,7.6849856,0,Oligodendrocyte,MOL1/2,Oligodendrocyte,AD,PO05,ns,30.677059488220007,20.617117064092305,-45.10332998944999,WM/L6,6.35
0.8703807,-4.0591393,2.7258413,1,Excitatory neuron,L2/3 IT,L2/3,AD,PO05,ns,61.591630377202506,-15.34275858875768,14.857009123489288,L2/3,0.7
12.156981,-1.3570731,6.389317,0,Oligodendrocyte,MOL1/2,Oligodendrocyte,AD,PO05,ns,49.69735874523986,-7.672201544831938,-21.45958683543818,WM/L6,6.35
1.3451322,11.459266,7.651,8,Inhibitory neuron,VIP,Inhibitory neuron,AD,PO05,ns,-49.56705060322368,-27.318581025838988,33.024546413107835,L1-3,0.6
7.2367816,12.354722,-1.009824,6,OPC,OPC,OPC,AD,PO05,ns,-55.67652176846039,-22.56622700122445,-14.113743623087839,WM/L6,6.35
11.711338,-2.4555624,8.031787,0,Oligodendrocyte,MOL1/2,Oligodendrocyte,AD,PO05,ns,3.1112910156310187,-44.37896607806787,45.37417429582813,WM/L6,6.35
-1.6309478,-2.110413,5.07581,2,Excitatory neuron,L2/3 IT,L2/3,AD,PO05,ns,25.59782094158571,-78.16141566436977,9.287453909466125,L2/3,0.7
