x,y,z,leiden,cell_type,subtype,layer,condition,donor,ad_sig
9.510417,7.3128843,7.909682,5,Microglia,SPP1⁺ activated,Microglia,AD,PO05,ns
5.734298,13.403213,0.2182753,6,OPC,OPC,OPC,AD,PO05,ns
11.060108,-2.77615,7.238345,0,Oligodendrocyte,MOL1/2,Oligodendrocyte,AD,PO05,ns
-0.65298945,4.515783,-0.8145737,20,Excitatory neuron,Unclassified,L6,AD,PO05,ns
9.637987,7.3024316,7.881469,5,Microglia,SPP1⁺ activated,Microglia,AD,PO05,ns
6.6119657,13.031913,-0.307052,6,OPC,OPC,OPC,AD,PO05,ns
10.086019,-3.2689383,6.3484526,3,Oligodendrocyte,MOL2,Oligodendrocyte,AD,PO05,ns
10.969706,-2.748735,5.7622814,3,Oligodendrocyte,MOL2,Oligodendrocyte,AD,PO05,ns
1.5262185,11.7222185,7.1579585,8,Inhibitory neuron,VIP,Inhibitory neuron,AD,PO05,ns
9.6405945,7.3992653,7.828951,5,Microglia,SPP1⁺ activated,Microglia,AD,PO05,ns
9.720294,4.3342314,-1.597346,4,Astrocyte,Protoplasmic,Astrocyte,AD,PO05,ns
6.7805696,12.517563,-1.167457,6,OPC,OPC,OPC,AD,PO05,ns
-1.372493,-2.219928,5.2397203,2,Excitatory neuron,L2/3 IT,L2/3,AD,PO05,ns
-7.341649,3.552671,8.7873125,11,Excitatory neuron,L4 IT,L4,AD,PO05,†
9.524048,7.394716,7.8247986,5,Microglia,SPP1⁺ activated,Microglia,AD,PO05,ns
11.2978525,-2.5190213,7.96031,0,Oligodendrocyte,MOL1/2,Oligodendrocyte,AD,PO05,ns
1.2147532,-3.5573978,2.9143898,1,Excitatory neuron,L2/3 IT,L2/3,AD,PO05,ns
3.1699564,-3.9857924,1.2541261,1,Excitatory neuron,L2/3 IT,L2/3,AD,PO05,ns
-0.27081022,-4.5674987,5.210894,2,Excitatory neuron,L2/3 IT,L2/3,AD,PO05,ns
11.913655,-0.8681309,7.0735297,0,Oligodendrocyte,MOL1/2,Oligodendrocyte,AD,PO05,ns
6.2719026,7.784138,15.9820175,15,Inhibitory neuron,LAMP5/KIT,Inhibitory neuron,AD,PO05,*
11.596425,-2.407048,7.652887,0,Oligodendrocyte,MOL1/2,Oligodendrocyte,AD,PO05,ns
-2.4260733,0.43827635,5.697368,18,Excitatory neuron,L4 IT atypical,L4,AD,PO05,**
6.3230915,13.001568,0.63044965,6,OPC,OPC,OPC,AD,PO05,ns
-0.9615357,6.4432235,9.020111,9,Inhibitory neuron,SST,Inhibitory neuron,AD,PO05,*
