gene	C18	C10_C11_mean	log2FC_C18_vs_C10C11
ETV1	0.0235	0.1591	-2.706
BCL11A	0.1844	1.0422	-2.492
MBP	0.1951	0.7167	-1.872
BCL11B	0.0078	0.0231	-1.449
CLU	0.6015	0.898	-0.577
RBFOX1	2.9377	3.7452	-0.35
CAMK2A	1.0962	1.375	-0.327
VIP	0.0138	0.0172	-0.307
SRSF1	0.2559	0.2881	-0.171
SST	0.0182	0.0205	-0.161
NDUFS4	0.3924	0.4287	-0.127
RORB	2.155	2.2981	-0.093
RBFOX2	1.5286	1.5735	-0.042
KIF5C	1.4405	1.4537	-0.013
RSPO1	0.0002	0.0004	0.0
LHX9	0.0003	0.0014	0.0
PVALB	0.0064	0.0081	0.0
NDUFS8	0.1505	0.1495	0.009
KIF5A	0.6232	0.6103	0.03
MAPT	1.4002	1.3611	0.041
MT-CO1	2.4532	2.3775	0.045
SRSF5	0.6729	0.6355	0.082
SLC17A7	0.7725	0.7231	0.095
CALB2	0.0223	0.0205	0.12
NOVA1	1.9532	1.7768	0.136
NRGN	1.6258	1.4254	0.19
LHX2	0.2192	0.1906	0.201
APP	1.9357	1.6291	0.249
NOVA2	0.3619	0.3003	0.268
BIN1	0.4577	0.3672	0.317
LAMP5	0.0169	0.0123	0.431
MAG	0.023	0.0165	0.455
KIF21B	0.2876	0.2063	0.478
MOG	0.025	0.017	0.536
SULF2	0.2027	0.1386	0.546
PRSS12	0.3184	0.0779	2.018
