cluster	score_L2/3	score_L4	score_L5	score_L6	CUX1	CUX2	SATB2	CALB1	RORB	ETV1	FEZF2	BCL11B	TLE4	PCP4	SYT6	FOXP2	TBR1	CAMK2A	SLC17A7	NRGN	layer_label	layer_score_max	layer_ambiguity	n_cells
1	0.98907274	0.07611734	0.20853102	0.10762622	0.9057605	1.4879885	1.5452294	0.017312627	0.13053064	0.02170404	0.0013202872	0.19819482	0.37246868	0.26214027	0.0015634365	0.013582914	0.3077323	1.6807857	0.58570945	1.3921592	L2/3	1.093313	1.464570313692093	10258.0
2	1.0862651	0.54118156	0.20650211	0.14289771	1.0611068	1.6409484	1.5291523	0.113852784	1.0490738	0.03328929	0.0012601755	0.13724124	0.6399233	0.047583785	0.0030871974	0.17038096	0.25522494	1.6428598	0.6237389	1.3505402	L2/3	1.4777497	1.6501820236444473	9711.0
10	0.66526127	1.2310952	0.22937083	0.7633531	0.7957151	0.21164417	1.6465682	0.007117856	2.446577	0.0156133305	0.0040829666	0.009771238	0.87789965	0.025729481	0.049556065	1.7722449	0.4682584	1.5101707	0.7453843	1.6250259	L4	1.2348775	0.35660964250564575	4156.0
11	0.46375862	1.2261328	0.2788755	0.66906625	0.41695738	0.07951386	1.3410767	0.017486438	2.1495848	0.30268073	0.106555365	0.0364806	0.71424377	0.25822228	0.01853253	1.5640626	0.42460358	1.2398673	0.70084953	1.2257262	L4	1.2247548	0.682383120059967	4290.0
18	0.7829693	1.0892621	0.052235894	0.61611503	0.9823416	0.38617164	1.748657	0.014706966	2.1549835	0.02354064	0.0149416085	0.007838578	0.15551898	0.03064441	0.08512732	1.4419919	0.3212258	1.0961692	0.7724745	1.625833	L4	0.9455614	0.5918279886245728	1603.0
19	0.46935982	0.17352083	0.6684673	0.7403209	0.5462275	0.040749244	1.2829101	0.007552374	0.041506812	0.30553484	0.1883739	0.72302055	1.7008123	0.06166213	0.15497556	1.6596267	0.4063605	1.3304768	0.56244576	0.905746	L5	1.0527358	0.2565199136734009	1410.0
20	0.5848856	0.23584269	0.15199955	0.42015755	0.65320575	0.02533992	1.6248384	0.036158327	0.35398918	0.1176962	0.004247306	0.3055344	0.286754	0.011462497	0.0040087644	0.9107836	0.3456803	1.5440454	0.670782	1.1184211	L6	-0.34436345	0.16105401515960693	1356.0
25	0.5394871	1.0945333	0.09394612	0.8908015	0.66752774	0.019703303	1.4668428	0.0038748155	2.159481	0.029585656	0.018392745	0.03865627	0.3057382	0.012997274	0.10247339	2.0474658	0.5224652	1.4379747	0.75296986	1.4908442	L6	1.3323016	0.37598782777786255	757.0
26	0.47497955	0.5361174	1.1139758	0.61585957	0.2116905	0.034072623	1.6458107	0.008344326	0.07873592	0.9934988	0.2869801	1.3073742	1.9720565	0.88949215	0.051103882	1.5785779	0.21789706	0.8735688	0.51516986	1.1858904	L5	2.4320595	2.079236179590225	744.0
27	1.070601	0.05333747	0.28053233	0.2020139	2.0539804	0.09074505	2.1335094	0.004169373	0.036449313	0.070225626	0.0023236223	0.2863085	0.79489136	0.038605824	0.0049572173	0.10279802	0.49828643	1.4560757	0.69110847	1.0653819	L2/3	1.4157915	1.5641280263662338	666.0
