cell_type	cluster	subtype	n_total	AD_mean_pct	CT_mean_pct	AC_mean_pct	delta_pct	n_AD	n_CT	MWU_p	sig
Oligodendrocyte	0	MFOL	14993	67.49784938887467	71.42669475761463	70.54789365101193	-3.9288453687399567	13	8	0.41367143348567503	ns
Oligodendrocyte	3	MFOL	3433	30.50066498536198	26.627230833011218	23.825231545375864	3.873434152350761	13	8	0.45580618212197166	ns
Oligodendrocyte	28	MOL_KLK6	502	1.9878514093774104	1.8938900135053527	5.5861581912343485	0.09396139587205776	13	8	0.49089140444652046	ns
Oligodendrocyte	32	MOL_KLK6	8	0.013634216385947999	0.0521843958688044	0.04071661237785016	-0.0385501794828564	13	8	0.24485636191743776	ns
OPC	6	OPC_quiescent	6784	97.63806778852076	99.49259921598194	98.98957819346852	-1.8545314274611826	13	8	0.28015709377852194	ns
OPC	31	Mixed/Unknown	86	2.3619322114792287	0.5074007840180568	1.0104218065314827	1.854531427461172	13	8	0.28015709377852194	ns
Astrocyte	4	Protoplasmic	6047	100.0	100.0	100.0	0.0	13	8	1.0	ns
Microglia	5	Transitional	3577	100.0	100.0	100.0	0.0	13	8	1.0	ns
Vascular cell	17	Pericyte	944	55.20372099264978	53.55842812724556	58.20674998306578	1.6452928654042154	13	8	0.7501007420512065	ns
Vascular cell	23	Endothelial	563	44.79627900735022	46.441571872754444	41.79325001693422	-1.6452928654042225	13	8	0.7501007420512065	ns
Lymphocyte	29	NK_cell	171	100.0	100.0	100.0	0.0	13	8		ns
