leiden	cell_type	subtype	layer_label	depth_key	depth_min_mm	depth_max_mm
0	Oligodendrocyte	MOL1/2	WM/L6	WM/L6	2.7	10.0
1	Excitatory	L2/3 IT	L2/3	L2/3	0.2	1.2
2	Excitatory	L2/3 IT	L2/3	L2/3	0.2	1.2
3	Oligodendrocyte	MOL2	WM/L6	WM/L6	2.7	10.0
4	Astrocyte	Protoplasmic	Mixed	Mixed	0.0	3.5
5	Microglia	SPP1⁺ activated	Mixed	Mixed	0.0	3.5
6	OPC	OPC	WM/L6	WM/L6	2.7	10.0
7	Inhibitory	PV	L3-5	L3-5	0.5	2.7
8	Inhibitory	VIP	L1-3	L1-3	0.0	1.2
9	Inhibitory	SST	L3-5	L3-5	0.5	2.7
10	Excitatory	L4 IT	L4	L4	1.2	1.8
11	Excitatory	L4 IT	L4	L4	1.2	1.8
13	Inhibitory	LAMP5/NDNF	L1	L1	0.0	0.2
15	Inhibitory	LAMP5/KIT	L1-2	L1-2	0.0	0.5
16	Inhibitory	VIP	L1-3	L1-3	0.0	1.2
17	Vascular	Pericyte	Perivasc	Perivasc	0.0	3.5
18	Excitatory	L4 IT atypical	L4	L4	1.2	1.8
19	Excitatory	L5 ET	L5	L5	1.8	2.7
20	Excitatory	Unclassified	Mixed	Mixed	0.0	3.5
21	Inhibitory	PV	L3-5	L3-5	0.5	2.7
22	Inhibitory	LAMP5/LHX6	L2-3	L2-3	0.2	1.2
23	Vascular	Endothelial	Perivasc	Perivasc	0.0	3.5
24	Inhibitory	CGE-derived misc	L2-4	L2-4	0.2	1.8
25	Excitatory	L6 CT	L6	L6	2.7	3.5
26	Excitatory	L5 ET	L5	L5	1.8	2.7
27	Excitatory	L2/3 IT	L2/3	L2/3	0.2	1.2
28	Oligodendrocyte	MOL5/6	WM	WM	3.5	10.0
29	Lymphocyte	NK/T cell	Meningeal	Meningeal	-0.3	0.0
31	OPC	Immature OL	WM/L6	WM/L6	2.7	10.0
32	Oligodendrocyte	MOL5/6	WM	WM	3.5	10.0
