gene	cluster	layer	sample	condition	ct_counts	ad_counts	total	frac_ct
ZNF736	1	L2/3	SMC030	CT	26	0	26	1.0
ZNF736	1	L2/3	SMC053	CT	8	0	8	1.0
ZNF736	1	L2/3	SMC052	CT	51	0	51	1.0
ZNF736	1	L2/3	SMC035	CT	0	0	0	
ZNF736	1	L2/3	PO11	AD	0	0	0	
ZNF736	1	L2/3	SMC049	AD	0	5	5	0.0
ZNF736	1	L2/3	SMC038	AD	0	0	0	
ZNF736	1	L2/3	SMC027	CT	0	0	0	
ZNF736	1	L2/3	SMC032	AD	0	0	0	
ZNF736	1	L2/3	PO42	AD	0	0	0	
ZNF736	1	L2/3	PO20	CT	0	0	0	
ZNF736	1	L2/3	PO23	CT	0	1	1	0.0
ZNF736	1	L2/3	SMC033	CT	1	0	1	1.0
ZNF736	1	L2/3	PO05	AD	0	0	0	
ZNF736	1	L2/3	PO15	CT	0	0	0	
ZNF736	1	L2/3	SMC041	AD	0	0	0	
ZNF736	1	L2/3	SMC029	AD	0	0	0	
ZNF736	1	L2/3	SMC043	AD	0	0	0	
ZNF736	1	L2/3	PO13	CT	0	0	0	
ZNF736	1	L2/3	SMC031	CT	1	0	1	1.0
ZNF736	1	L2/3	SMC036	AD	0	0	0	
ZNF736	1	L2/3	SMC037	CT	0	0	0	
ZNF736	1	L2/3	PO41	AD	0	0	0	
ZNF736	1	L2/3	PO28	AD	0	0	0	
ZNF736	1	L2/3	SMC039	AD	0	0	0	
ZNF736	2	L2/3	PO23	CT	0	0	0	
ZNF736	2	L2/3	PO11	AD	0	0	0	
ZNF736	2	L2/3	SMC033	CT	0	0	0	
ZNF736	2	L2/3	SMC053	CT	7	12	19	0.3684210526315789
ZNF736	2	L2/3	SMC052	CT	7	1	8	0.875
ZNF736	2	L2/3	SMC038	AD	8	0	8	1.0
ZNF736	2	L2/3	SMC049	AD	0	0	0	
ZNF736	2	L2/3	PO20	CT	0	0	0	
ZNF736	2	L2/3	PO42	AD	0	0	0	
ZNF736	2	L2/3	PO28	AD	0	1	1	0.0
ZNF736	2	L2/3	PO15	CT	0	0	0	
ZNF736	2	L2/3	PO05	AD	0	0	0	
ZNF736	2	L2/3	SMC030	CT	0	0	0	
ZNF736	2	L2/3	SMC032	AD	0	0	0	
ZNF736	2	L2/3	SMC035	CT	19	0	19	1.0
ZNF736	2	L2/3	SMC036	AD	0	0	0	
ZNF736	2	L2/3	PO13	CT	0	0	0	
ZNF736	2	L2/3	PO41	AD	0	22	22	0.0
ZNF736	2	L2/3	SMC037	CT	0	1	1	0.0
