gene	cluster	layer	condition	CT_count	total	CT_frac
ZNF736	C10	L4_IT	AD	1	34	0.029
ZNF736	C10	L4_IT	Control	1	1	1.0
ZNF736	C11	L4_IT	AD	0	2	0.0
ZNF736	C11	L4_IT	Control	3	3	1.0
ZNF736	C18	L4_atypical	AD	1	6	0.167
ZNF736	C18	L4_atypical	Control	3	3	1.0
ZNF736	C19	L5_ET	AD	0	1	0.0
ZNF736	C19	L5_ET	Control	0	0	
ZNF582	C10	L4_IT	AD	16	16	1.0
ZNF582	C10	L4_IT	Control	0	0	
ZNF582	C11	L4_IT	AD	121	122	0.992
ZNF582	C11	L4_IT	Control	3	4	0.75
ZNF582	C18	L4_atypical	AD	2	2	1.0
ZNF582	C18	L4_atypical	Control	0	0	
ZNF582	C19	L5_ET	AD	1	1	1.0
ZNF582	C19	L5_ET	Control	0	0	
NDUFAF5	C10	L4_IT	AD	5	17	0.294
NDUFAF5	C10	L4_IT	Control	12	14	0.857
NDUFAF5	C11	L4_IT	AD	0	2	0.0
NDUFAF5	C11	L4_IT	Control	20	23	0.87
NDUFAF5	C18	L4_atypical	AD	0	10	0.0
NDUFAF5	C18	L4_atypical	Control	0	0	
NDUFAF5	C19	L5_ET	AD	1	2	0.5
NDUFAF5	C19	L5_ET	Control	0	0	
KIF21B	C10	L4_IT	AD	0	0	
KIF21B	C10	L4_IT	Control	2	2	1.0
KIF21B	C11	L4_IT	AD	0	0	
KIF21B	C11	L4_IT	Control	2	2	1.0
KIF21B	C18	L4_atypical	AD	0	0	
KIF21B	C18	L4_atypical	Control	0	0	
KIF21B	C19	L5_ET	AD	0	0	
KIF21B	C19	L5_ET	Control	0	0	
NDUFS4	C10	L4_IT	AD	1	1	1.0
NDUFS4	C10	L4_IT	Control	1	1	1.0
NDUFS4	C11	L4_IT	AD	1	1	1.0
NDUFS4	C11	L4_IT	Control	0	0	
NDUFS4	C18	L4_atypical	AD	0	0	
NDUFS4	C18	L4_atypical	Control	1	1	1.0
NDUFS4	C19	L5_ET	AD	0	0	
NDUFS4	C19	L5_ET	Control	0	0	
