gene	cluster	layer	n_AD	n_CT	mean_AD	mean_CT	delta	p_MWU
ZNF736	C27	L2/3	0	0				
ZNF736	C1	L2/3	1	3	0.0000	1.0000	-1.0000	
ZNF736	C2	L2/3	2	3	0.5000	0.7478	-0.2478	
ZNF736	C10	L4	1	0	0.0000			
ZNF736	C11	L4	0	1		1.0000		
ZNF736	C26	L5	0	0				
ZNF736	C18	L5	1	2	0.0000	1.0000	-1.0000	
ZNF736	C19	L5	0	0				
ZNF736	C20	L6	1	1	0.5714	1.0000	-0.4286	
ZNF736	C25	L6	1	0	0.0000			
ZNF582	C27	L2/3	0	0				
ZNF582	C1	L2/3	2	5	0.4091	0.4615	-0.0524	
ZNF582	C2	L2/3	3	4	0.2500	0.4167	-0.1667	0.5784
ZNF582	C10	L4	2	0	0.0000			
ZNF582	C11	L4	3	1	0.0000	0.0000	0.0000	
ZNF582	C26	L5	0	0				
ZNF582	C18	L5	0	0				
ZNF582	C19	L5	0	0				
ZNF582	C20	L6	0	1		0.9091		
ZNF582	C25	L6	0	0				
NDUFAF5	C27	L2/3	0	0				
NDUFAF5	C1	L2/3	2	0	1.0000			
NDUFAF5	C2	L2/3	1	4	1.0000	1.0000	0.0000	
NDUFAF5	C10	L4	2	0	1.0000			
NDUFAF5	C11	L4	0	0				
NDUFAF5	C26	L5	0	1		1.0000		
NDUFAF5	C18	L5	1	0	1.0000			
NDUFAF5	C19	L5	0	0				
NDUFAF5	C20	L6	0	0				
NDUFAF5	C25	L6	0	0				
NDUFS4	C27	L2/3	0	0				
NDUFS4	C1	L2/3	0	1		1.0000		
NDUFS4	C2	L2/3	0	0				
NDUFS4	C10	L4	0	0				
NDUFS4	C11	L4	0	0				
NDUFS4	C26	L5	0	0				
NDUFS4	C18	L5	0	0				
NDUFS4	C19	L5	0	0				
NDUFS4	C20	L6	0	0				
NDUFS4	C25	L6	0	0				
