gene	cluster	layer	n	rho	p_spearman
ZNF736	C1_L2/3	L2/3	10	0.4634	0.1774
ZNF736	C2_L2/3	L2/3	10	0.1402	0.6992
ZNF736	C10_L4	L4	10	-0.6342	0.0489
ZNF736	C11_L4	L4	10	-0.6464	0.0435
ZNF736	C18_L4	L4	10	-0.3598	0.3072
ZNF736	C19_L5	L5	10	0.4878	0.1526
ZNF736	C20_L6	L6	10	0.4024	0.2489
ZNF736	C25_L6	L6	10	-0.6220	0.0549
ZNF736	C26_L5	L5	10	0.2073	0.5655
ZNF736	C27_L2/3	L2/3	10	0.3232	0.3624
ZNF582	C1_L2/3	L2/3	9	0.3221	0.3980
ZNF582	C2_L2/3	L2/3	9	-0.0509	0.8966
ZNF582	C10_L4	L4	9	-0.3221	0.3980
ZNF582	C11_L4	L4	9	-0.6611	0.0525
ZNF582	C18_L4	L4	9	0.2034	0.5996
ZNF582	C19_L5	L5	9	-0.2543	0.5091
ZNF582	C20_L6	L6	9	-0.6950	0.0377
ZNF582	C25_L6	L6	9	-0.6272	0.0706
ZNF582	C26_L5	L5	9	-0.5933	0.0922
ZNF582	C27_L2/3	L2/3	9	-0.9493	0.0001
