cell_type	gene	donor	cohort	condition	ratio	total	ct_count	ad_count
Astrocyte	KIF21B	SMC043	SMC	AD		33.0	0.0	0.0
Astrocyte	NDUFS4	SMC029	SMC	AD	1.0	3.0	3.0	0.0
Astrocyte	NDUFS7	PO05	PO	AD	1.0	5.0	5.0	0.0
Astrocyte	NDUFS7	PO15	PO	Control	1.0	5.0	5.0	0.0
Astrocyte	NDUFS7	PO23	PO	Control	1.0	7.0	7.0	0.0
Astrocyte	NDUFS7	PO28	PO	AD	1.0	10.0	10.0	0.0
Astrocyte	NDUFS7	PO41	PO	AD	1.0	5.0	3.0	0.0
Astrocyte	NDUFS7	PO42	PO	AD	1.0	10.0	9.0	0.0
Astrocyte	NDUFS7	SMC027	SMC	Control	0.9941520467836257	194.0	170.0	1.0
Astrocyte	NDUFS7	SMC029	SMC	AD	1.0	7.0	6.0	0.0
Astrocyte	NDUFS7	SMC030	SMC	Control	1.0	10.0	10.0	0.0
Astrocyte	NDUFS7	SMC031	SMC	Active control	0.989010989010989	186.0	180.0	2.0
Astrocyte	NDUFS7	SMC032	SMC	AD	1.0	10.0	10.0	0.0
Astrocyte	NDUFS7	SMC033	SMC	Control	1.0	58.0	54.0	0.0
Astrocyte	NDUFS7	SMC035	SMC	Active control	1.0	49.0	49.0	0.0
Astrocyte	NDUFS7	SMC038	SMC	AD	1.0	53.0	53.0	0.0
Astrocyte	NDUFS7	SMC039	SMC	AD	0.125	8.0	1.0	7.0
Astrocyte	NDUFS7	SMC053	SMC	Active control	1.0	14.0	14.0	0.0
Astrocyte	NDUFS8	SMC027	SMC	Control	1.0	42.0	40.0	0.0
Astrocyte	NDUFS8	SMC029	SMC	AD		3.0	0.0	0.0
Astrocyte	NDUFS8	SMC031	SMC	Active control	1.0	178.0	148.0	0.0
Astrocyte	NDUFS8	SMC033	SMC	Control		5.0	0.0	0.0
Astrocyte	NDUFS8	SMC035	SMC	Active control	1.0	34.0	5.0	0.0
Astrocyte	NDUFS8	SMC049	SMC	AD	0.0	3.0	0.0	3.0
Astrocyte	DLG1	PO15	PO	Control		7.0	0.0	0.0
Astrocyte	DLG1	PO42	PO	AD		5.0	0.0	0.0
Excitatory_neuron	KIF21B	PO05	PO	AD	0.0	3.0	0.0	3.0
Excitatory_neuron	KIF21B	PO11	PO	AD	0.0	6.0	0.0	6.0
Excitatory_neuron	KIF21B	PO23	PO	Control	0.8666666666666667	24.0	13.0	2.0
Excitatory_neuron	KIF21B	PO28	PO	AD	0.0	10.0	0.0	8.0
Excitatory_neuron	KIF21B	PO41	PO	AD		3.0	0.0	0.0
Excitatory_neuron	KIF21B	PO42	PO	AD		4.0	0.0	0.0
Excitatory_neuron	KIF21B	SMC031	SMC	Active control		6.0	0.0	0.0
Excitatory_neuron	KIF21B	SMC033	SMC	Control	0.0	8.0	0.0	8.0
Excitatory_neuron	KIF21B	SMC037	SMC	Active control	0.0	3.0	0.0	3.0
Excitatory_neuron	KIF21B	SMC038	SMC	AD		27.0	0.0	0.0
Excitatory_neuron	KIF21B	SMC049	SMC	AD	0.0	23.0	0.0	11.0
Excitatory_neuron	KIF21B	SMC053	SMC	Active control		3.0	0.0	0.0
Excitatory_neuron	NDUFS4	PO05	PO	AD	0.0	20.0	0.0	0.0
Excitatory_neuron	NDUFS4	PO11	PO	AD	0.3333333333333333	3.0	1.0	0.0
Excitatory_neuron	NDUFS4	PO15	PO	Control	0.16666666666666666	6.0	1.0	0.0
Excitatory_neuron	NDUFS4	PO20	PO	Control	0.0	5.0	0.0	0.0
Excitatory_neuron	NDUFS4	PO41	PO	AD	0.0	6.0	0.0	0.0
Excitatory_neuron	NDUFS4	SMC030	SMC	Control	0.5625	16.0	9.0	0.0
Excitatory_neuron	NDUFS4	SMC033	SMC	Control	1.0	2.0	2.0	0.0
Excitatory_neuron	NDUFS4	SMC037	SMC	Active control	0.5	2.0	1.0	0.0
Excitatory_neuron	NDUFS4	SMC041	SMC	AD	0.5	2.0	1.0	0.0
Excitatory_neuron	NDUFS4	SMC049	SMC	AD	0.1111111111111111	9.0	1.0	0.0
Excitatory_neuron	NDUFS4	SMC052	SMC	Control	0.5	4.0	2.0	0.0
Excitatory_neuron	NDUFS4	SMC053	SMC	Active control	0.0	3.0	0.0	0.0
Excitatory_neuron	NDUFS7	PO05	PO	AD	1.0	22.0	22.0	0.0
Excitatory_neuron	NDUFS7	PO13	PO	Control	1.0	10.0	9.0	0.0
Excitatory_neuron	NDUFS7	PO15	PO	Control	1.0	22.0	19.0	0.0
Excitatory_neuron	NDUFS7	PO20	PO	Control	1.0	18.0	18.0	0.0
Excitatory_neuron	NDUFS7	PO23	PO	Control	1.0	108.0	86.0	0.0
Excitatory_neuron	NDUFS7	PO28	PO	AD	0.9838709677419355	187.0	183.0	3.0
Excitatory_neuron	NDUFS7	PO41	PO	AD	1.0	18.0	14.0	0.0
Excitatory_neuron	NDUFS7	PO42	PO	AD	1.0	23.0	18.0	0.0
Excitatory_neuron	NDUFS7	SMC027	SMC	Control	1.0	59.0	55.0	0.0
Excitatory_neuron	NDUFS7	SMC030	SMC	Control	1.0	62.0	54.0	0.0
Excitatory_neuron	NDUFS7	SMC031	SMC	Active control	1.0	53.0	51.0	0.0
Excitatory_neuron	NDUFS7	SMC032	SMC	AD	1.0	41.0	39.0	0.0
Excitatory_neuron	NDUFS7	SMC033	SMC	Control	1.0	534.0	488.0	0.0
Excitatory_neuron	NDUFS7	SMC035	SMC	Active control	0.9958333333333333	494.0	478.0	2.0
