gene	cell_type	ct_iso_used	n_ad	n_ct	ad_mean	ct_mean	delta	mwu_p	perm_p	po_delta	smc_delta	batch_ok	n_ad_reads	n_donors_expr	source	prism_tier	chi_sq_p
DLG1	OPC	transcript319500.chr3.nnic	8	2	0.0694	0.5	-0.4306	0.26355	0.0561	-1.0	0.1852	NO	39	2	BISECT83	tier1	9e-10
NDUFS4	Excitatory_neuron	NDUFS4-201	4	4	0.75	1.0	-0.25	0.45325	0.5023	-0.5	0.0	NO	19	9	BISECT83	tier2	3.6e-06
KIF21B	Excitatory_neuron	transcript293004.chr1.nic	4	2	0.0	0.4333	-0.4333	0.28884	0.113	-0.8667	0.0	NO	13	1	BISECT83	tier2	3.8e-06
ADGRB2	Inhibitory_neuron	ADGRB2-202	10	6	0.1029	0.2321	-0.1291	0.69669	0.1666	-0.0745	-0.1232	YES	152	13	BISECT83	tier3	1.9e-12
ANKRD44	Oligodendrocyte	ANKRD44-201	11	6	0.4225	0.3002	0.1224	0.48011	0.3556	0.3654	-0.0637	NO	337	17	BISECT83	tier3	3.2e-23
ASXL3	Excitatory_neuron	ASXL3-201	7	4	0.0635	0.25	-0.1865	0.67415	0.3112	0.0889	-0.5	NO	53	6	BISECT83	tier3	1.4e-07
BSG	Oligodendrocyte	BSG-201	10	5	0.0597	0.0	0.0597	0.22033	0.2152	0.1667	0.0139	YES	4	3	BISECT83	tier3	2.5e-06
CCAR1	Inhibitory_neuron	CCAR1-201	11	6	0.5062	0.6942	-0.188	0.09643	0.1052	-0.2361	-0.1754	YES	550	18	BISECT83	tier3	6.3e-08
DMD	Inhibitory_neuron	DMD-201	12	8	0.011	0.0242	-0.0132	0.95052	0.448	0.0	-0.0296	NO	10	5	BISECT83	tier3	3e-22
DOCK11	Inhibitory_neuron	DOCK11-201	7	5	0.0204	0.2635	-0.2431	0.02977	0.0008	-0.4321	-0.1153	YES	29	7	BISECT83	tier3	4.5e-23
FANCA	Excitatory_neuron	transcript135776.chr16.nic	5	5	0.2	0.0	0.2	0.42371	0.5037		0.2	N/A	59	1	BISECT83	tier3	2.2e-12
FRMD4A	Excitatory_neuron	FRMD4A-207	10	7	0.482	0.6202	-0.1382	0.37948	0.1615	-0.1802	-0.0662	YES	304	20	BISECT83	tier3	4.4e-06
GOLGB1	Astrocyte	GOLGB1-201	11	7	0.1037	0.1411	-0.0374	0.78366	0.4268	-0.0396	-0.0102	YES	275	15	BISECT83	tier3	1.4e-76
IFI16	Oligodendrocyte	IFI16-201	8	5	0.191	0.2427	-0.0517	0.57754	0.7041	0.2124	-0.1763	NO	81	7	BISECT83	tier3	5.3e-06
IFT122	Excitatory_neuron	IFT122-278	11	6	0.1456	0.3628	-0.2172	0.05896	0.007	0.1212	-0.4077	NO	145	14	BISECT83	tier3	9.6e-06
LRPPRC	Oligodendrocyte	LRPPRC-201	11	7	0.3309	0.335	-0.0041	0.92566	0.9754	0.3105	-0.391	NO	361	13	BISECT83	tier3	1.2e-42
MTHFD1	OPC	MTHFD1-201	6	3	0.0	0.0	0.0	1.0	1.0		0.0	N/A	0	0	BISECT83	tier3	5.8e-16
PML	Excitatory_neuron	PML-201	6	5	0.1111	0.2167	-0.1056	0.48603	0.5286	-0.0417	-0.1111	YES	118	4	BISECT83	tier3	3.6e-25
PTPRF	Inhibitory_neuron	PTPRF-201	6	6	0.0	0.0	0.0	1.0	1.0	0.0	0.0	NO	1	1	BISECT83	tier3	3.9e-17
PTPRS	Astrocyte	PTPRS-201	1	3								N/A	1	1	BISECT83	tier3	1.4e-29
RGS3	Astrocyte	RGS3-201	2	2	0.0	0.0	0.0	1.0	1.0		0.0	N/A	43	3	BISECT83	tier3	1.1e-10
SNTG1	Inhibitory_neuron	SNTG1-201	9	6	0.062	0.0	0.062	0.27324	0.1767	0.0571	0.0682	YES	6	3	BISECT83	tier3	3.6e-13
SYNE1	Inhibitory_neuron	SYNE1-206	13	8	0.4915	0.3898	0.1017	0.14025	0.1157	0.1378	0.0988	YES	4737	24	BISECT83	tier3	3.1e-29
ZCCHC17	Oligodendrocyte	ZCCHC17-201	8	5	0.1938	0.2194	-0.0257	0.70658	0.8339	-0.3333	0.1665	NO	77	12	BISECT83	tier3	7.3e-08
ZNF268	Microglia	ZNF268-201	5	2	0.0	0.0	0.0	1.0	1.0	0.0	0.0	NO	1	1	BISECT83	tier3	2.6e-24
ZNF623	Oligodendrocyte	ZNF623-201	5	6	0.0045	0.0	0.0045	0.36131	0.2085	0.0	0.0075	NO	2	1	BISECT83	tier3	1.7e-09
NDUFS7	Excitatory_neuron	NDUFS7-202	10	8	0.9537	1.0	-0.0463	0.05863	0.0482	-0.0032	-0.0893	YES	2381	22	NEW	new_candidate	
NDUFS8	Inhibitory_neuron	transcript100761.chr11.nic	7	5	0.62	0.9895	-0.3694	0.05654	0.0044	-0.5	-0.3188	YES	275	15	NEW	new_candidate	
NDUFS4	Inhibitory_neuron	NDUFS4-201	4	3	0.0833	0.4037	-0.3204	0.09873	0.0236	-0.5	-0.2444	YES	10	7	NEW	new_candidate	
