cluster	subtype	layer	gene	AD_ratio	CT_ratio	delta	p	sig	cluster_AD_delta	cluster_sig
1	L2/3 IT	L2/3	KIF21B	0.0	0.4333	-0.4333	0.288844	ns	-2.08	ns
1	L2/3 IT	L2/3	NDUFS4	0.1889	0.4458	-0.2569	0.243321	ns	-2.08	ns
1	L2/3 IT	L2/3	NDUFS7	0.9486	1.0	-0.0514	0.045071	*	-2.08	ns
1	L2/3 IT	L2/3	NDUFS8	0.8011	0.9535	-0.1524	0.339485	ns	-2.08	ns
1	L2/3 IT	L2/3	DLG1	0.574	0.8192	-0.2453	0.314302	ns	-2.08	ns
2	L2/3 IT	L2/3	KIF21B	0.0	0.4333	-0.4333	0.288844	ns	-1.48	ns
2	L2/3 IT	L2/3	NDUFS4	0.1889	0.4458	-0.2569	0.243321	ns	-1.48	ns
2	L2/3 IT	L2/3	NDUFS7	0.9486	1.0	-0.0514	0.045071	*	-1.48	ns
2	L2/3 IT	L2/3	NDUFS8	0.8011	0.9535	-0.1524	0.339485	ns	-1.48	ns
2	L2/3 IT	L2/3	DLG1	0.574	0.8192	-0.2453	0.314302	ns	-1.48	ns
27	L2/3 IT	L2/3	KIF21B	0.0	0.4333	-0.4333	0.288844	ns	-0.13	ns
27	L2/3 IT	L2/3	NDUFS4	0.1889	0.4458	-0.2569	0.243321	ns	-0.13	ns
27	L2/3 IT	L2/3	NDUFS7	0.9486	1.0	-0.0514	0.045071	*	-0.13	ns
27	L2/3 IT	L2/3	NDUFS8	0.8011	0.9535	-0.1524	0.339485	ns	-0.13	ns
27	L2/3 IT	L2/3	DLG1	0.574	0.8192	-0.2453	0.314302	ns	-0.13	ns
10	L4 IT	L4	KIF21B	0.0	0.4333	-0.4333	0.288844	ns	1.16	ns
10	L4 IT	L4	NDUFS4	0.1889	0.4458	-0.2569	0.243321	ns	1.16	ns
10	L4 IT	L4	NDUFS7	0.9486	1.0	-0.0514	0.045071	*	1.16	ns
10	L4 IT	L4	NDUFS8	0.8011	0.9535	-0.1524	0.339485	ns	1.16	ns
10	L4 IT	L4	DLG1	0.574	0.8192	-0.2453	0.314302	ns	1.16	ns
11	L4 IT	L4	KIF21B	0.0	0.4333	-0.4333	0.288844	ns	1.12	†
11	L4 IT	L4	NDUFS4	0.1889	0.4458	-0.2569	0.243321	ns	1.12	†
11	L4 IT	L4	NDUFS7	0.9486	1.0	-0.0514	0.045071	*	1.12	†
11	L4 IT	L4	NDUFS8	0.8011	0.9535	-0.1524	0.339485	ns	1.12	†
11	L4 IT	L4	DLG1	0.574	0.8192	-0.2453	0.314302	ns	1.12	†
18	L4 IT atypical	L4	KIF21B	0.0	0.4333	-0.4333	0.288844	ns	1.46	**
18	L4 IT atypical	L4	NDUFS4	0.1889	0.4458	-0.2569	0.243321	ns	1.46	**
18	L4 IT atypical	L4	NDUFS7	0.9486	1.0	-0.0514	0.045071	*	1.46	**
18	L4 IT atypical	L4	NDUFS8	0.8011	0.9535	-0.1524	0.339485	ns	1.46	**
18	L4 IT atypical	L4	DLG1	0.574	0.8192	-0.2453	0.314302	ns	1.46	**
19	L5 ET	L5	KIF21B	0.0	0.4333	-0.4333	0.288844	ns	-1.6	*
19	L5 ET	L5	NDUFS4	0.1889	0.4458	-0.2569	0.243321	ns	-1.6	*
19	L5 ET	L5	NDUFS7	0.9486	1.0	-0.0514	0.045071	*	-1.6	*
19	L5 ET	L5	NDUFS8	0.8011	0.9535	-0.1524	0.339485	ns	-1.6	*
19	L5 ET	L5	DLG1	0.574	0.8192	-0.2453	0.314302	ns	-1.6	*
26	L5 ET	L5	KIF21B	0.0	0.4333	-0.4333	0.288844	ns	-0.26	ns
26	L5 ET	L5	NDUFS4	0.1889	0.4458	-0.2569	0.243321	ns	-0.26	ns
26	L5 ET	L5	NDUFS7	0.9486	1.0	-0.0514	0.045071	*	-0.26	ns
26	L5 ET	L5	NDUFS8	0.8011	0.9535	-0.1524	0.339485	ns	-0.26	ns
26	L5 ET	L5	DLG1	0.574	0.8192	-0.2453	0.314302	ns	-0.26	ns
25	L6 CT	L6	KIF21B	0.0	0.4333	-0.4333	0.288844	ns	-0.14	ns
25	L6 CT	L6	NDUFS4	0.1889	0.4458	-0.2569	0.243321	ns	-0.14	ns
25	L6 CT	L6	NDUFS7	0.9486	1.0	-0.0514	0.045071	*	-0.14	ns
25	L6 CT	L6	NDUFS8	0.8011	0.9535	-0.1524	0.339485	ns	-0.14	ns
25	L6 CT	L6	DLG1	0.574	0.8192	-0.2453	0.314302	ns	-0.14	ns
20	Unclassified	L6	KIF21B	0.0	0.4333	-0.4333	0.288844	ns	-0.51	ns
20	Unclassified	L6	NDUFS4	0.1889	0.4458	-0.2569	0.243321	ns	-0.51	ns
20	Unclassified	L6	NDUFS7	0.9486	1.0	-0.0514	0.045071	*	-0.51	ns
20	Unclassified	L6	NDUFS8	0.8011	0.9535	-0.1524	0.339485	ns	-0.51	ns
20	Unclassified	L6	DLG1	0.574	0.8192	-0.2453	0.314302	ns	-0.51	ns
