gene	cell_type	tier	cluster_id	subtype	layer	delta	stager_p	perm_p	cluster_AD_delta	cluster_mwu_p	mechanism	co_enrichment_score
ZNF736	Excitatory	A-DR	1	L2/3 IT	L2/3		2.6699999999999998e-24		-0.68	0.97177	Domain loss	
ZNF736	Excitatory	A-DR	2	L2/3 IT	L2/3		2.6699999999999998e-24		-2.89	0.80444	Domain loss	
ZNF736	Excitatory	A-DR	10	L4 IT	L4		2.6699999999999998e-24		3.37	0.12125	Domain loss	
ZNF736	Excitatory	A-DR	11	L4 IT	L4		2.6699999999999998e-24		3.18	0.08905	Domain loss	
ZNF736	Excitatory	A-DR	18	L4 IT atypical	L4		2.6699999999999998e-24		4.57	0.00994	Domain loss	
ZNF736	Excitatory	A-DR	19	L5 ET	L5		2.6699999999999998e-24		-4.46	0.01265	Domain loss	
ZNF736	Excitatory	A-DR	20	Unclassified	Mixed		2.6699999999999998e-24		-2.89	0.23196	Domain loss	
ZNF736	Excitatory	A-DR	25	L6 CT	L6		2.6699999999999998e-24		0.18	0.7501	Domain loss	
ZNF736	Excitatory	A-DR	26	L5 ET	L5		2.6699999999999998e-24		0.16	0.91553	Domain loss	
ZNF736	Excitatory	A-DR	27	L2/3 IT	L2/3		2.6699999999999998e-24		-0.55	0.80444	Domain loss	
ZNF582	Excitatory	A-DR	1	L2/3 IT	L2/3		7.21e-11		-0.68	0.97177	Alternative TSS	
ZNF582	Excitatory	A-DR	2	L2/3 IT	L2/3		7.21e-11		-2.89	0.80444	Alternative TSS	
ZNF582	Excitatory	A-DR	10	L4 IT	L4		7.21e-11		3.37	0.12125	Alternative TSS	
ZNF582	Excitatory	A-DR	11	L4 IT	L4		7.21e-11		3.18	0.08905	Alternative TSS	
ZNF582	Excitatory	A-DR	18	L4 IT atypical	L4		7.21e-11		4.57	0.00994	Alternative TSS	
ZNF582	Excitatory	A-DR	19	L5 ET	L5		7.21e-11		-4.46	0.01265	Alternative TSS	
ZNF582	Excitatory	A-DR	20	Unclassified	Mixed		7.21e-11		-2.89	0.23196	Alternative TSS	
ZNF582	Excitatory	A-DR	25	L6 CT	L6		7.21e-11		0.18	0.7501	Alternative TSS	
ZNF582	Excitatory	A-DR	26	L5 ET	L5		7.21e-11		0.16	0.91553	Alternative TSS	
ZNF582	Excitatory	A-DR	27	L2/3 IT	L2/3		7.21e-11		-0.55	0.80444	Alternative TSS	
NDUFAF5	Excitatory	A-DR	1	L2/3 IT	L2/3		0.000143		-0.68	0.97177	NMD + C-term loss	
NDUFAF5	Excitatory	A-DR	2	L2/3 IT	L2/3		0.000143		-2.89	0.80444	NMD + C-term loss	
NDUFAF5	Excitatory	A-DR	10	L4 IT	L4		0.000143		3.37	0.12125	NMD + C-term loss	
NDUFAF5	Excitatory	A-DR	11	L4 IT	L4		0.000143		3.18	0.08905	NMD + C-term loss	
NDUFAF5	Excitatory	A-DR	18	L4 IT atypical	L4		0.000143		4.57	0.00994	NMD + C-term loss	
NDUFAF5	Excitatory	A-DR	19	L5 ET	L5		0.000143		-4.46	0.01265	NMD + C-term loss	
NDUFAF5	Excitatory	A-DR	20	Unclassified	Mixed		0.000143		-2.89	0.23196	NMD + C-term loss	
NDUFAF5	Excitatory	A-DR	25	L6 CT	L6		0.000143		0.18	0.7501	NMD + C-term loss	
NDUFAF5	Excitatory	A-DR	26	L5 ET	L5		0.000143		0.16	0.91553	NMD + C-term loss	
NDUFAF5	Excitatory	A-DR	27	L2/3 IT	L2/3		0.000143		-0.55	0.80444	NMD + C-term loss	
DCAF5	Excitatory	A-DR	1	L2/3 IT	L2/3		0.0424		-0.68	0.97177	Domain gain (WD40)	
DCAF5	Excitatory	A-DR	2	L2/3 IT	L2/3		0.0424		-2.89	0.80444	Domain gain (WD40)	
DCAF5	Excitatory	A-DR	10	L4 IT	L4		0.0424		3.37	0.12125	Domain gain (WD40)	
DCAF5	Excitatory	A-DR	11	L4 IT	L4		0.0424		3.18	0.08905	Domain gain (WD40)	
DCAF5	Excitatory	A-DR	18	L4 IT atypical	L4		0.0424		4.57	0.00994	Domain gain (WD40)	
DCAF5	Excitatory	A-DR	19	L5 ET	L5		0.0424		-4.46	0.01265	Domain gain (WD40)	
DCAF5	Excitatory	A-DR	20	Unclassified	Mixed		0.0424		-2.89	0.23196	Domain gain (WD40)	
DCAF5	Excitatory	A-DR	25	L6 CT	L6		0.0424		0.18	0.7501	Domain gain (WD40)	
DCAF5	Excitatory	A-DR	26	L5 ET	L5		0.0424		0.16	0.91553	Domain gain (WD40)	
DCAF5	Excitatory	A-DR	27	L2/3 IT	L2/3		0.0424		-0.55	0.80444	Domain gain (WD40)	
RPS3	Excitatory	A-DR	1	L2/3 IT	L2/3		0.0477		-0.68	0.97177	Isoform switch	
RPS3	Excitatory	A-DR	2	L2/3 IT	L2/3		0.0477		-2.89	0.80444	Isoform switch	
RPS3	Excitatory	A-DR	10	L4 IT	L4		0.0477		3.37	0.12125	Isoform switch	
