gene	cluster	AD_mean_ad_ratio	CT_mean_ad_ratio	AD_minus_CT	AD_n_donors	CT_n_donors
NDUFS4	C18		0.0		0	1
NDUFS4	C10	0.0	0.0	0.0	1	1
NDUFS4	C11	0.0			1	0
NDUFS7	C18	0.04390000179409981	0.0	0.04390000179409981	4	4
NDUFS7	C10	0.024700000882148743	0.0	0.024700000882148743	8	3
NDUFS7	C11	0.09570000320672989	0.0	0.09570000320672989	9	5
NDUFS7	C19	0.0	0.0	0.0	3	6
NDUFS8	C18	0.5	0.0	0.5	2	2
NDUFS8	C10	0.16249999403953552	0.5	-0.3375000059604645	2	2
NDUFS8	C11	0.0	0.10260000079870224	-0.10260000079870224	3	2
NDUFS8	C19		0.0		0	2
NDUFAF5	C18	1.0			2	0
NDUFAF5	C10	0.6517000198364258	0.4000000059604645	0.2517000138759613	2	5
NDUFAF5	C11	1.0	0.3418999910354614	0.6581000089645386	2	3
NDUFAF5	C19	0.5690000057220459			1	0
ZNF736	C18	0.5	0.0	0.5	2	1
ZNF736	C10	0.5	0.0	0.5	2	1
ZNF736	C11	1.0	0.0	1.0	2	1
ZNF736	C19	1.0			1	0
ZNF582	C18	1.0			2	0
ZNF582	C10	1.0			3	0
ZNF582	C11	0.800000011920929	0.5	0.30000001192092896	5	2
ZNF582	C19	1.0			1	0
DCAF5	C18	1.0	0.0	1.0	1	3
DCAF5	C10	0.7556999921798706	0.0	0.7556999921798706	3	4
DCAF5	C11	0.8574000000953674	0.2492000013589859	0.608299970626831	3	3
DCAF5	C19		0.0		0	1
RPS3	C18	0.3684999942779541	0.10649999976158142	0.26190000772476196	5	3
RPS3	C10	0.41530001163482666	0.09589999914169312	0.31929999589920044	9	6
RPS3	C11	0.2079000025987625	0.0	0.2079000025987625	6	4
RPS3	C19	1.0	0.0	1.0	1	3
