cluster	cell_type	note	n_total	AD_mean_pct	CT_mean_pct	delta_pct	n_AD_donors	n_CT_donors	MWU_p	sig
0	Oligodendrocyte		14993	16.67256951969311	16.72538741643573	-0.05281789674262072	13	8	0.9155339328713942	ns
1	Excitatory	L2/3 (CUX1⁺)	10258	8.297037907562553	9.335109657814403	-1.0380717502518504	13	8	0.5950660966140843	ns
2	Excitatory	L2/3 (CUX1⁺)	9711	7.517662589894774	10.262557352323906	-2.7448947624291318	13	8	0.5950660966140843	ns
3	Oligodendrocyte		3433	5.205865428422094	2.9315116101453653	2.274353818276729	13	8	0.30112536242567206	ns
4	Astrocyte		6047	10.192234843488784	6.750612840224411	3.4416220032643725	13	8	0.1613936802791292	ns
5	Microglia		3577	5.449002412817392	4.727858819734498	0.7211435930828936	13	8	0.7501007420512065	ns
6	OPC		6784	8.385140478572197	10.25546675203056	-1.8703262734583639	13	8	0.41367143348567503	ns
7	Inhibitory		5537	4.437184839100845	4.134364179486898	0.3028206596139471	13	8	0.9717725686765935	ns
8	Inhibitory		5088	4.7654756048906775	5.456165069493011	-0.6906894646023334	13	8	0.5002113125952136	ns
9	Inhibitory		2864	1.9842049075064823	3.2672591261618287	-1.2830542186553464	13	8	0.2684554523563812	ns
10	Excitatory	L4 (RORB⁺)	4156	4.186059775666658	3.3516532808511363	0.8344064948155219	13	8	0.6452012383900929	ns
11	Excitatory	L4 (RORB⁺, ETV1⁺)	4290	4.293346303933846	3.474580996544208	0.8187653073896377	13	8	0.5002113125952136	ns
13	Inhibitory		2652	2.3130568967526344	2.7618722850680664	-0.448815388315432	13	8	0.6969973954494079	ns
15	Inhibitory		2097	2.3287535246458693	1.2936342022874565	1.0351193223584128	13	8	0.06381640375448426	†
16	Inhibitory		2321	2.639939658529288	2.0963599273421134	0.5435797311871746	13	8	0.2684554523563812	ns
17	Vascular		944	1.212970293530699	1.2115045196728764	0.0014657738578225388	13	8	0.8596196373286157	ns
18	Excitatory	L4* (PRSS12⁺, AD↑ p=0.010)	1603	2.102018626295581	0.9176583016286498	1.184360324666931	13	8	0.12125411568136027	ns
19	Excitatory	L5 (FEZF2⁺, AD↓ p=0.013)	1410	0.7723348387745861	2.369241875644029	-1.596907036869443	13	8	0.036817534031156327	*
20	Excitatory	Unclassified	1356	1.069503340791583	2.2276775716417614	-1.1581742308501783	13	8	0.26148624965913736	ns
21	Inhibitory		1209	1.1278499650467868	1.4462240670962856	-0.3183741020494988	13	8	0.12125411568136027	ns
22	Inhibitory		979	0.9637195186122678	0.7722888501998583	0.19143066841240952	13	8	0.8562808291412828	ns
23	Vascular		563	0.7863637955217018	0.7824025202056575	0.003961275316044288	13	8	0.9155339328713942	ns
24	Inhibitory		681	0.6105319846468272	0.6525622102812979	-0.042030225634470675	13	8	0.8044424787458844	ns
25	Excitatory	L6 (FOXP2⁺)	757	0.6935181001777893	0.7526922497281386	-0.059174149550349386	13	8	0.8044424787458844	ns
26	Excitatory	L5 (FEZF2 최고)	744	0.6432452158610482	0.6295471882213215	0.013698027639726718	13	8	0.7501007420512065	ns
27	Excitatory	L2/3 (CUX1 최고)	666	0.4547507837703024	0.7075644859582213	-0.2528137021879189	13	8	0.41367143348567503	ns
28	Oligodendrocyte		502	0.47923372398481995	0.44028885798209844	0.03894486600272151	13	8	0.8561420761773999	ns
29	Lymphocyte		171	0.27949826472254	0.22166329374102645	0.05783497098151358	13	8	0.5622156526809016	ns
31	OPC		86	0.130621453192461	0.030870464109504663	0.09975098908295632	13	8	0.28015709377852194	ns
32	Oligodendrocyte		8	0.0063054035938059005	0.013420027945685632	-0.007114624351879731	13	8	0.2864134025173547	ns
