cluster	subtype	cohort	n_AD	n_CT	AD_mean	CT_mean	delta	p	sig	direction
18	L4 IT atypical (PRSS12+)	PO	5	4	1.957	0.986	0.971	0.1905	ns	↑AD
18	L4 IT atypical (PRSS12+)	SMC	8	4	2.193	0.85	1.343	0.3677	ns	↑AD
18	L4 IT atypical (PRSS12+)	ALL	13	8	2.102	0.918	1.184	0.1213	ns	↑AD
19	L5 ET	PO	5	4	1.348	3.208	-1.86	0.2857	ns	↓AD
19	L5 ET	SMC	8	4	0.412	1.53	-1.118	0.1091	ns	↓AD
19	L5 ET	ALL	13	8	0.772	2.369	-1.597	0.0368	*	↓AD
9	SST	PO	5	4	1.307	1.672	-0.364	0.7302	ns	↓AD
9	SST	SMC	8	4	2.407	4.863	-2.456	0.1535	ns	↓AD
9	SST	ALL	13	8	1.984	3.267	-1.283	0.2685	ns	↓AD
15	LAMP5/KIT	PO	5	4	1.825	1.086	0.739	0.1111	ns	↑AD
15	LAMP5/KIT	SMC	8	4	2.644	1.501	1.142	0.2141	ns	↑AD
15	LAMP5/KIT	ALL	13	8	2.329	1.294	1.035	0.0638	†	↑AD
11	L4 IT	PO	5	4	5.301	4.797	0.504	0.9048	ns	↑AD
11	L4 IT	SMC	8	4	3.663	2.152	1.512	0.4606	ns	↑AD
11	L4 IT	ALL	13	8	4.293	3.475	0.819	0.5002	ns	↑AD
