go	name	cat	m_peak	m_fisher	m_npos	b_peak	b_fisher	b_npos	shift	m_bucket	b_bucket
GO:0000122	negative regulation of transcription by RNA polymerase II	BP	27	42.4079	2044	26	44.2350	2791	-1	Late	Late
GO:0000139	Golgi membrane	CC	1	20.6881	1351	1	24.1809	2233	0	Early	Early
GO:0000165	MAPK cascade	BP	8	93.7112	312	8	68.2339	492	0	Early	Early
GO:0000209	protein polyubiquitination	BP	27	39.7867	369	13	15.5820	529	-14	Late	Mid
GO:0000226	microtubule cytoskeleton organization	BP	2	28.1475	338	7	40.6152	601	5	Early	Early
GO:0000287	magnesium ion binding	MF	29	58.7015	457	13	46.3616	719	-16	Late	Mid
GO:0000398	mRNA splicing, via spliceosome	BP	15	68.7441	324	14	32.7793	551	-1	Mid	Mid
GO:0000776	kinetochore	CC	7	21.7116	300	7	36.9826	543	0	Early	Early
GO:0000781	chromosome, telomeric region	CC	7	19.5227	306	30	25.8263	624	23	Early	Late
GO:0000785	chromatin	CC	27	82.2156	2018	27	48.0451	2986	0	Late	Late
GO:0000922	spindle pole	CC	3	36.6790	313	7	34.7212	620	4	Early	Early
GO:0000976	transcription cis-regulatory region binding	MF	5	75.0648	668	26	72.7556	955	21	Early	Late
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	MF	5	126.3799	623	26	86.5077	793	21	Early	Late
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	MF	5	155.3765	1918	26	82.9235	2678	21	Early	Late
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	MF	5	170.0420	1941	8	93.5555	2562	3	Early	Early
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	MF	5	138.4820	593	26	85.6000	685	21	Early	Late
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	MF	27	171.5232	757	27	96.7222	907	0	Late	Late
GO:0001525	angiogenesis	BP	8	25.4535	261	8	45.1611	375	0	Early	Early
GO:0001666	response to hypoxia	BP	14	19.0330	316	13	18.8002	426	-1	Mid	Mid
GO:0001669	acrosomal vesicle	CC	7	14.8251	109	21	5.0847	225	14	Early	Late
GO:0003676	nucleic acid binding	MF	9	54.4268	962	9	35.5099	1584	0	Early	Early
GO:0003677	DNA binding	MF	23	41.6566	2170	27	40.2882	3201	4	Late	Late
GO:0003682	chromatin binding	MF	27	54.2903	1157	27	45.0276	1719	0	Late	Late
GO:0003690	double-stranded DNA binding	MF	9	25.0431	252	10	25.9036	428	1	Early	Early
GO:0003700	DNA-binding transcription factor activity	MF	27	134.6560	1264	26	88.4057	1565	-1	Late	Late
GO:0003712	transcription coregulator activity	MF	27	87.0380	382	28	74.9734	563	1	Late	Late
GO:0003713	transcription coactivator activity	MF	27	39.0755	715	28	34.9841	1175	1	Late	Late
GO:0003714	transcription corepressor activity	MF	27	58.6002	487	27	54.2035	773	0	Late	Late
GO:0003723	RNA binding	MF	15	20.5707	2804	30	17.1858	4655	15	Mid	Late
GO:0003729	mRNA binding	MF	14	65.6312	454	20	26.4882	850	6	Mid	Mid
GO:0003735	structural constituent of ribosome	MF	8	115.0143	259	8	45.3239	512	0	Early	Early
GO:0003779	actin binding	MF	2	26.3384	648	30	32.1699	946	28	Early	Late
GO:0003824	catalytic activity	MF	29	160.3678	372	11	70.7794	572	-18	Late	Mid
GO:0003924	GTPase activity	MF	21	206.3356	582	21	104.7481	805	0	Late	Late
GO:0003925	G protein activity	MF	21	459.5099	212	21	293.9046	263	0	Late	Late
GO:0004672	protein kinase activity	MF	8	135.7767	1304	21	85.4487	2085	13	Early	Late
GO:0004674	protein serine/threonine kinase activity	MF	7	125.5662	1047	21	69.3016	1596	14	Early	Late
GO:0004713	protein tyrosine kinase activity	MF	21	124.4453	320	8	120.4611	458	-13	Late	Early
GO:0004842	ubiquitin-protein transferase activity	MF	8	22.4154	630	30	18.7202	886	22	Early	Late
GO:0004843	cysteine-type deubiquitinase activity	MF	21	120.4419	254	21	75.3188	344	0	Late	Late
GO:0004888	transmembrane signaling receptor activity	MF	15	119.3599	228	15	97.7619	532	0	Mid	Mid
GO:0004930	G protein-coupled receptor activity	MF	11	511.9037	174	21	180.8314	453	10	Mid	Late
GO:0005085	guanyl-nucleotide exchange factor activity	MF	19	40.7042	518	30	53.5627	1101	11	Mid	Late
GO:0005096	GTPase activator activity	MF	18	37.8800	413	30	26.7256	837	12	Mid	Late
GO:0005102	signaling receptor binding	MF	15	16.1463	599	8	30.7518	911	-7	Mid	Early
GO:0005125	cytokine activity	MF	14	86.7647	121	13	58.4397	118	-1	Mid	Mid
GO:0005178	integrin binding	MF	15	54.2427	294	19	36.5049	494	4	Mid	Mid
GO:0005198	structural molecule activity	MF	13	20.8421	279	30	20.8578	500	17	Mid	Late
GO:0005201	extracellular matrix structural constituent	MF	5	163.3157	196	20	104.7965	269	15	Early	Mid
GO:0005216	monoatomic ion channel activity	MF	20	102.0238	129	20	95.2209	510	0	Mid	Mid
GO:0005509	calcium ion binding	MF	19	33.7081	925	21	39.8409	1821	2	Mid	Late
GO:0005515	protein binding	MF	29	5.9399	23283	2	68.3838	36874	-27	Late	Early
GO:0005516	calmodulin binding	MF	9	35.0456	287	9	35.5324	450	0	Early	Early
GO:0005524	ATP binding	MF	7	54.4867	2320	13	54.0246	4164	6	Early	Mid
GO:0005525	GTP binding	MF	21	226.2531	540	21	142.4415	729	0	Late	Late
GO:0005543	phospholipid binding	MF	15	33.6707	199	11	41.7218	391	-4	Mid	Mid
GO:0005576	extracellular region	CC	15	26.4328	2601	13	29.6320	4208	-2	Mid	Mid
GO:0005634	nucleus	CC	5	20.6251	12199	8	31.0460	18655	3	Early	Early
GO:0005635	nuclear envelope	CC	10	12.0569	500	30	24.2362	791	20	Early	Late
GO:0005654	nucleoplasm	CC	23	19.3103	7671	7	24.5834	11913	-16	Late	Early
GO:0005667	transcription regulator complex	CC	27	111.6091	453	27	62.6059	598	0	Late	Late
GO:0005694	chromosome	CC	22	29.0475	1100	30	39.2154	1736	8	Late	Late
GO:0005730	nucleolus	CC	1	11.1197	1762	30	14.3853	2786	29	Early	Late
GO:0005737	cytoplasm	CC	29	9.1040	11962	2	29.8197	19111	-27	Late	Early
GO:0005739	mitochondrion	CC	28	30.8419	2927	13	15.7056	4704	-15	Late	Mid
GO:0005741	mitochondrial outer membrane	CC	28	20.3051	481	1	17.9750	786	-27	Late	Early
GO:0005743	mitochondrial inner membrane	CC	9	55.4295	824	22	17.8873	1292	13	Early	Late
GO:0005759	mitochondrial matrix	CC	28	80.6034	888	13	33.8843	1351	-15	Late	Mid
GO:0005764	lysosome	CC	28	31.8518	723	13	27.3673	1277	-15	Late	Mid
GO:0005765	lysosomal membrane	CC	28	29.9577	763	13	24.7405	1275	-15	Late	Mid
GO:0005768	endosome	CC	14	9.3391	738	14	26.4143	1142	0	Mid	Mid
GO:0005769	early endosome	CC	29	17.9360	683	1	25.9915	1092	-28	Late	Early
GO:0005770	late endosome	CC	28	33.0172	375	1	19.7214	608	-27	Late	Early
GO:0005783	endoplasmic reticulum	CC	3	12.9542	2097	1	21.9723	3452	-2	Early	Early
GO:0005788	endoplasmic reticulum lumen	CC	10	39.6637	497	15	29.3950	761	5	Early	Mid
GO:0005789	endoplasmic reticulum membrane	CC	3	25.3413	2015	1	29.8092	3328	-2	Early	Early
GO:0005794	Golgi apparatus	CC	1	11.3583	2016	1	27.0309	3393	0	Early	Early
GO:0005802	trans-Golgi network	CC	2	13.0057	432	1	23.8986	694	-1	Early	Early
GO:0005813	centrosome	CC	3	44.4645	1305	30	34.1809	2506	27	Early	Late
GO:0005814	centriole	CC	3	134.9355	332	30	50.6051	800	27	Early	Late
GO:0005819	spindle	CC	7	19.6082	510	7	35.7466	918	0	Early	Early
GO:0005829	cytosol	CC	29	15.1135	10329	1	25.5883	16368	-28	Late	Early
GO:0005840	ribosome	CC	1	84.1976	234	20	23.9961	494	19	Early	Mid
GO:0005856	cytoskeleton	CC	3	27.1685	1728	30	30.4260	2942	27	Early	Late
GO:0005874	microtubule	CC	2	25.2741	407	7	43.7129	847	5	Early	Early
GO:0005886	plasma membrane	CC	15	20.9752	6534	15	42.2926	11352	0	Mid	Mid
GO:0005911	cell-cell junction	CC	13	35.7493	443	13	40.6294	729	0	Mid	Mid
GO:0005912	adherens junction	CC	14	34.1040	498	8	38.3150	717	-6	Mid	Early
GO:0005923	bicellular tight junction	CC	14	33.2104	319	8	36.0739	465	-6	Mid	Early
GO:0005925	focal adhesion	CC	14	13.5162	1090	14	15.3731	1509	0	Mid	Mid
GO:0005929	cilium	CC	11	15.2319	556	1	27.1778	1147	-10	Mid	Early
GO:0005930	axoneme	CC	14	26.5140	245	30	54.4874	477	16	Mid	Late
GO:0005938	cell cortex	CC	10	27.6192	538	1	34.8875	885	-9	Early	Early
GO:0005975	carbohydrate metabolic process	BP	28	164.1199	258	13	87.9246	469	-15	Late	Mid
GO:0006281	DNA repair	BP	9	19.9005	389	30	22.8769	834	21	Early	Late
GO:0006325	chromatin organization	BP	27	43.0834	281	30	41.2589	465	3	Late	Late
GO:0006338	chromatin remodeling	BP	27	44.2159	897	27	33.9936	1349	0	Late	Late
GO:0006355	regulation of DNA-templated transcription	BP	5	92.0204	2660	26	66.7525	3715	21	Early	Late
GO:0006357	regulation of transcription by RNA polymerase II	BP	5	119.2548	2799	8	71.1377	3957	3	Early	Early
GO:0006366	transcription by RNA polymerase II	BP	27	58.8747	279	23	26.5998	406	-4	Late	Late
GO:0006396	RNA processing	BP	14	31.1955	314	14	18.2623	493	0	Mid	Mid
GO:0006412	translation	BP	18	72.0497	319	20	29.1206	610	2	Mid	Mid
GO:0006457	protein folding	BP	29	28.8437	329	30	23.3193	553	1	Late	Late
GO:0006468	protein phosphorylation	BP	7	108.1467	691	19	74.4787	1116	12	Early	Mid
GO:0006508	proteolysis	BP	28	62.1076	430	13	52.6030	707	-15	Late	Mid
GO:0006511	ubiquitin-dependent protein catabolic process	BP	27	33.6882	570	30	13.5852	861	3	Late	Late
