Entry	Gene Names
O00221	NFKBIE IKBE
O00562	PITPNM1 DRES9 NIR2 PITPNM
O14640	DVL1
O14641	DVL2
O14672	ADAM10 KUZ MADM
O14920	IKBKB IKKB
O14965	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6
O15118	NPC1
O15350	TP73 P73
O15527	OGG1 MMH MUTM OGH1
O43292	GPAA1 GAA1
O43681	GET3 ARSA ASNA1 TRC40
O43683	BUB1 BUB1L
O60566	BUB1B BUBR1 MAD3L SSK1
O60716	CTNND1 KIAA0384
O75553	DAB1
O94823	ATP10B ATPVB KIAA0715
O94979	SEC31A KIAA0905 SEC31L1 HSPC275 HSPC334
O95149	SNUPN RNUT1 SPN1
O95863	SNAI1 SNAH
O95997	PTTG1 EAP1 PTTG TUTR1
P00533	EGFR ERBB ERBB1 HER1
P01106	MYC BHLHE39
P01730	CD4
P02786	TFRC
P04035	HMGCR
P04233	CD74 DHLAG
P04637	TP53 P53
P05412	JUN
P06400	RB1
P07306	ASGR1 CLEC4H1
P11021	HSPA5 GRP78
P11117	ACP2
P11279	LAMP1
P12830	CDH1 CDHE UVO
P13051	UNG DGU UNG1 UNG15
P13569	CFTR ABCC7
P14635	CCNB1 CCNB
P14921	ETS1 EWSR2
P15036	ETS2
P16070	CD44 LHR MDU2 MDU3 MIC4
P16410	CTLA4 CD152
P16471	PRLR
P17181	IFNAR1 IFNAR
P17535	JUND
P17643	TYRP1 CAS2 TYRP TYRRP
P18848	ATF4 CREB2 TXREB
P19838	NFKB1
P20020	ATP2B1 PMCA1
P22059	OSBP OSBP1
P22309	UGT1A1 GNT1 UGT1
P25054	APC DP2.5
P25963	NFKBIA IKBA MAD3 NFKBI
P26678	PLN PLB
P27797	CALR CRTC
P30307	CDC25C
P30518	AVPR2 ADHR DIR DIR3 V2R
P32004	L1CAM CAML1 MIC5
P33527	ABCC1 MRP MRP1
P35222	CTNNB1 CTNNB OK/SW-cl.35 PRO2286
P35610	SOAT1 ACACT ACACT1 ACAT ACAT1 SOAT STAT
P38398	BRCA1 RNF53
P38936	CDKN1A CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1
P40189	IL6ST
P41143	OPRD1 OPRD
P41161	ETV5 ERM
P41180	CASR GPRC2A PCAR1
P43146	DCC IGDCC1
P43268	ETV4 E1AF PEA3
P49137	MAPKAPK2
P49257	LMAN1 ERGIC53 F5F8D
P49685	GPR15
P49755	TMED10 TMP21
P50549	ETV1 ER81
P50895	BCAM LU MSK19
P51788	CLCN2
P51955	NEK2 NEK2A NLK1
P53350	PLK1 PLK
P54253	ATXN1 ATX1 SCA1
P55011	SLC12A2 NKCC1
P55087	AQP4
P61925	PKIA PRKACN1
P78381	SLC35A2 UGALT UGT UGTL
P98174	FGD1 FGDY ZFYVE3
Q01726	MC1R MSHR
Q01814	ATP2B2 PMCA2
Q02363	ID2 BHLHB26
Q04206	RELA NFKB3
Q05586	GRIN1 NMDAR1
Q05586-4	GRIN1 NMDAR1
Q07954	LRP1 A2MR APR
Q09428	ABCC8 HRINS SUR SUR1
Q12830	BPTF FAC1 FALZ
Q12834	CDC20
Q12959	DLG1
Q13043	STK4 KRS2 MST1
Q13118	KLF10 TIEG TIEG1
Q13309	SKP2 FBXL1
Q13402	MYO7A USH1B
Q13501	SQSTM1 ORCA OSIL
Q14108	SCARB2 CD36L2 LIMP2 LIMPII
Q14118	DAG1
Q14494	NFE2L1 HBZ17 NRF1 TCF11
Q14654	KCNJ11
Q15042	RAB3GAP1 KIAA0066 RAB3GAP
Q15293	RCN1 RCN
Q15363	TMED2 RNP24
Q15653	NFKBIB IKBB TRIP9
Q15842	KCNJ8
Q16236	NFE2L2 NRF2
Q16478	GRIK5 GRIK2
Q16630	CPSF6 CFIM68
Q16633	POU2AF1 BOB1 OBF1
Q16644	MAPKAPK3
Q29983	MICA PERB11.1
Q53EL6	PDCD4 H731
Q58F09	GCS1
Q5JSH3	WDR44 RPH11
Q5JSP0	FGD3 ZFYVE5
Q5JTC6	AMER1 FAM123B WTX
Q5SYB0	FRMPD1 FRMD2 KIAA0967
Q5T4F4	ZFYVE27 SPG33
Q6PGQ7	BORA C13orf34
Q6ZP29	SLC66A1 PQLC2
Q709C8	VPS13C KIAA1421
Q7Z6J0	SH3RF1 KIAA1494 POSH POSH1 RNF142 SH3MD2
Q86T65	DAAM2 KIAA0381
Q86TG7	PEG10 EDR KIAA1051e MAR2 MART2 MEF3L1 RGAG3
Q86YC2	PALB2 FANCN
Q8N697	SLC15A4 PHT1 PTR4 FP12591
Q8NHS3	MFSD8 CLN7
