backbone	motif	insert_frac	ratio	insert_len	full_len
0	Nucleoplasmin_NLS	0.029143897996357013	0.2648767	16	549
0	cMyc_NLS	0.016605166051660517	0.20865275	9	542
1	Nucleoplasmin_NLS	0.03018867924528302	0.14134924	16	530
1	SV40_NLS	0.013435700575815739	0.06398878	7	521
1	cMyc_NLS	0.017208413001912046	0.18539266	9	523
2	Nucleoplasmin_NLS	0.040100250626566414	0.10298907	16	399
2	cMyc_NLS	0.02295918367346939	0.08333085	9	392
3	Nucleoplasmin_NLS	0.0642570281124498	0.2618459	16	249
3	SV40_NLS	0.029166666666666667	0.3795453	7	240
3	cMyc_NLS	0.0371900826446281	0.4260462	9	242
4	Nucleoplasmin_NLS	0.015051740357478834	0.069979705	16	1063
4	SV40_NLS	0.006641366223908918	0.05106304	7	1054
4	cMyc_NLS	0.008522727272727272	0.17820992	9	1056
5	Nucleoplasmin_NLS	0.060836501901140684	0.18024567	16	263
5	SV40_NLS	0.027559055118110236	0.13454139	7	254
5	cMyc_NLS	0.03515625	0.14806809	9	256
7	Nucleoplasmin_NLS	0.051118210862619806	0.1310444	16	313
7	SV40_NLS	0.023026315789473683	0.08905405	7	304
7	cMyc_NLS	0.029411764705882353	0.28477922	9	306
8	Nucleoplasmin_NLS	0.05517241379310345	0.13391896	16	290
8	SV40_NLS	0.02491103202846975	0.06487516	7	281
8	cMyc_NLS	0.03180212014134275	0.23390196	9	283
9	Nucleoplasmin_NLS	0.019230769230769232	0.08582466	16	832
9	cMyc_NLS	0.01090909090909091	0.18051694	9	825
10	SV40_NLS	0.007526881720430108	0.028085394	7	930
10	cMyc_NLS	0.009656652360515022	0.04589489	9	932
11	Nucleoplasmin_NLS	0.02346041055718475	0.23942319	16	682
11	SV40_NLS	0.010401188707280832	0.3847482	7	673
12	Nucleoplasmin_NLS	0.010568031704095112	0.15655932	16	1514
12	SV40_NLS	0.004651162790697674	0.13822578	7	1505
12	cMyc_NLS	0.005972130059721301	0.18620516	9	1507
13	Nucleoplasmin_NLS	0.01972872996300863	0.05019894	16	811
13	SV40_NLS	0.008728179551122194	0.10838978	7	802
13	cMyc_NLS	0.011194029850746268	0.11509242	9	804
14	Nucleoplasmin_NLS	0.02064516129032258	0.16344514	16	775
