elm	prob	n_chg	comp	comp_ec	ec	ec_beyond_comp
DEG_Nend_UBRbox_1	0.00020635921557	48	0.6771551724137932	0.770603448275862	0.7646551724137931	0.09344827586206883
DEG_Nend_Nbox_1	0.000230216383148	53	0.6079926624737946	0.8468815513626835	0.8426362683438156	0.23888888888888893
DEG_Nend_UBRbox_2	0.00025370818551	52	0.5768430598527687	0.8123599701269604	0.8060386215726022	0.23551691027419164
LIG_BIR_II_1	0.000325201831485	107	0.6530128259100221	0.8503129297521822	0.8562487721366225	0.19730010384216012
LIG_SH2_SFK_2	0.000880815558808	58	0.8184470701712081	0.7934169278996865	0.6158427779117435	-0.02503014227152156
LIG_SH2_STAP1	0.0010263206699	40	0.6866302864938608	0.6699181446111869	0.4765347885402456	-0.016712141882673892
TRG_DiLeu_BaLyEn_6	0.0010534671303	42	0.6691746466028272	0.5332225913621262	0.4508175363168523	-0.13595205524070098
LIG_UBA3_1	0.00119615886678	46	0.7092877220261945	0.7117696310029306	0.6880270318760839	0.002481908976736058
DOC_PP2A_B56_1	0.0014581403142	49	0.636627579208479	0.5730071033938438	0.5478351561619123	-0.06362047581463526
LIG_SH2_CRK	0.00151526049843	46	0.7108127504335865	0.7275581603971054	0.6602774953651097	0.01674540996351892
DOC_PP4_FxxP_1	0.001731198623	45	0.6858669108669109	0.6650183150183151	0.6294566544566544	-0.020848595848595775
LIG_BRCT_BRCA1_1	0.001911520721	62	0.6960891066648519	0.6489723696746971	0.5519032711764439	-0.04711673699015484
TRG_Pf-PMV_PEXEL_1	0.0021605090893	55	0.5749050392504431	0.5848062800709041	0.5863256520638136	0.009901240820460955
MOD_Plk_2-3	0.00217500226715	42	0.7042212233730701	0.6462771154973618	0.6385577486808677	-0.05794410787570836
MOD_PKA_1	0.0023150946744	53	0.673506289308176	0.6124737945492663	0.6111897274633123	-0.061032494758909706
DOC_MAPK_MEF2A_6	0.00258381963098	81	0.5202847356026546	0.5623349746663813	0.5583386855063156	0.042050239063726624
TRG_ENDOCYTIC_2	0.002587491898	104	0.7913360929055997	0.7767189835575485	0.6218667356559733	-0.01461710934805116
CLV_C14_Caspase3-7	0.00309374033071	53	0.6668238993710692	0.6098008385744236	0.6041404612159329	-0.05702306079664565
LIG_SH2_STAT5	0.003295871152	116	0.8478061197711646	0.8474649661470635	0.671613394216134	-0.0003411536241011426
LIG_LIR_Apic_2	0.00337096434764	56	0.703626220362622	0.5691372783422992	0.5522016337915919	-0.1344889420203228
LIG_LIR_Gen_1	0.00363117934943	106	0.6773641481146219	0.614339056886651	0.6069700998557326	-0.06302509122797084
DOC_USP7_UBL2_3	0.0037417689	89	0.7783691438333662	0.7651126880872593	0.6880379788422366	-0.013256455746106899
CLV_PCSK_PC1ET2_1	0.00390276834	70	0.7434261328998171	0.709002235318025	0.5793537898801057	-0.034423897581792096
DOC_MAPK_gen_1	0.00432380001106	103	0.5388059701492537	0.6449934792059121	0.6373713954499347	0.10618750905665841
LIG_Arc_Nlobe_1	0.00438518431171	74	0.676932297103971	0.6259521323899007	0.5501295286703012	-0.0509801647140703
