test	cls	layer	val	n	bin
survival	slim	9	0.0819208100438118	773.0	
survival	slim	15	0.05040300264954567	773.0	
survival	slim	30	0.07108034938573837	773.0	
survival	domain	9	0.31187665462493896	364.0	
survival	domain	15	0.21551504731178284	364.0	
survival	domain	30	0.15985655784606934	364.0	
spread	slim	9	0.3414324386119476		1-2
spread	slim	9	0.24433134023715578		3-5
spread	slim	9	0.17807798382273865		6-10
spread	slim	9	0.1262508378942469		11-20
spread	slim	9	0.08105596037785265		21-50
spread	slim	9	0.052165814094711674		51-100
spread	slim	9	0.03149867790629038		>100
spread	slim	15	0.2794896866244709		1-2
spread	slim	15	0.1972136283215196		3-5
spread	slim	15	0.1408596188660768		6-10
spread	slim	15	0.09764950126061224		11-20
spread	slim	15	0.06043626996954567		21-50
spread	slim	15	0.03653734960720165		51-100
spread	slim	15	0.020500871828195155		>100
spread	slim	30	0.41344997190686056		1-2
spread	slim	30	0.25626133679895124		3-5
spread	slim	30	0.1835944236003335		6-10
spread	slim	30	0.1284793738697629		11-20
spread	slim	30	0.08167261036358585		21-50
spread	slim	30	0.05265996946344875		51-100
spread	slim	30	0.030299492975255776		>100
spread	domain	9	0.4963782365381514		1-2
spread	domain	9	0.35896468874124643		3-5
spread	domain	9	0.3152862179113478		6-10
spread	domain	9	0.2696176941603023		11-20
spread	domain	9	0.22727371410210764		21-50
spread	domain	9	0.19247860793041555		51-100
spread	domain	9	0.15240565417551033		>100
spread	domain	15	0.45643257424805816		1-2
spread	domain	15	0.3009864455057139		3-5
spread	domain	15	0.25868760793080237		6-10
spread	domain	15	0.21266097771572393		11-20
spread	domain	15	0.17626822720703375		21-50
spread	domain	15	0.13139345465087296		51-100
spread	domain	15	0.10228598538508021		>100
spread	domain	30	0.6603551440753452		1-2
spread	domain	30	0.43776188351684225		3-5
spread	domain	30	0.3649618207441854		6-10
spread	domain	30	0.3042285746852078		11-20
spread	domain	30	0.23966050519430976		21-50
spread	domain	30	0.18018893397504		51-100
spread	domain	30	0.12246281634107818		>100
