test	cls	layer	val	n	bin
survival	slim	9	0.08704670518636703	773.0	
survival	slim	15	0.05064935237169266	773.0	
survival	slim	30	0.07689570635557175	773.0	
survival	domain	9	0.2598673701286316	396.0	
survival	domain	15	0.2037774622440338	396.0	
survival	domain	30	0.16733652353286743	396.0	
spread	slim	9	0.33427347413179853		1-2
spread	slim	9	0.23823430288772224		3-5
spread	slim	9	0.17257942746806257		6-10
spread	slim	9	0.12413940142725575		11-20
spread	slim	9	0.07662877677223814		21-50
spread	slim	9	0.049749795795889895		51-100
spread	slim	9	0.030876920271018363		>100
spread	slim	15	0.2706641174764995		1-2
spread	slim	15	0.18508333297499985		3-5
spread	slim	15	0.13481053809374333		6-10
spread	slim	15	0.0924493159848861		11-20
spread	slim	15	0.057822749480230425		21-50
spread	slim	15	0.03580468069510147		51-100
spread	slim	15	0.020502614209067516		>100
spread	slim	30	0.39643726734653284		1-2
spread	slim	30	0.23781600358096153		3-5
spread	slim	30	0.16381707518683392		6-10
spread	slim	30	0.11597372940272299		11-20
spread	slim	30	0.07672652945342116		21-50
spread	slim	30	0.04977412146999212		51-100
spread	slim	30	0.029885036750106196		>100
spread	domain	9	0.5029296723805461		1-2
spread	domain	9	0.32349928688661855		3-5
spread	domain	9	0.27368646386608725		6-10
spread	domain	9	0.23654970218111948		11-20
spread	domain	9	0.19025194657176925		21-50
spread	domain	9	0.15724391874835134		51-100
spread	domain	9	0.11702867900448823		>100
spread	domain	15	0.4626528193327452		1-2
spread	domain	15	0.27601767939060073		3-5
spread	domain	15	0.22647548773604279		6-10
spread	domain	15	0.1920469717032658		11-20
spread	domain	15	0.15299684613897044		21-50
spread	domain	15	0.11853476218870773		51-100
spread	domain	15	0.07554880149746769		>100
spread	domain	30	0.6512103078487258		1-2
spread	domain	30	0.3841469433019089		3-5
spread	domain	30	0.30988867215953714		6-10
spread	domain	30	0.2694085307608981		11-20
spread	domain	30	0.20351919702254628		21-50
spread	domain	30	0.149901858453297		51-100
spread	domain	30	0.09904500661974683		>100
