tissue	layer	auroc_domain	auroc_disorder_nd
brain	1	0.7656482638065486	0.8640669314990662
brain	2	0.7791521158029656	0.8707112065505994
brain	3	0.7775743232005862	0.8678471673703856
brain	4	0.7857293642254466	0.8600272532349615
brain	5	0.7948095481601065	0.8534693252650627
brain	6	0.795885286135724	0.8479063004543357
brain	7	0.8010408390790511	0.84552277375759
brain	8	0.8081678667981105	0.8404252559923643
brain	9	0.8153646737692496	0.832795724134638
brain	10	0.8114268369130853	0.8286270078791272
brain	11	0.8087113792188543	0.823970458191299
brain	12	0.811951697034748	0.8153298393645302
brain	13	0.8068596147502974	0.8014556321573204
brain	14	0.7969076444204317	0.7914489292896065
brain	15	0.7976149948539308	0.7853881739761568
brain	16	0.7813001941062814	0.7754563165281434
brain	17	0.7661569190480949	0.7638090817887317
brain	18	0.7514495024230375	0.7650095168260884
brain	19	0.7469692934208744	0.7606763487427001
brain	20	0.748373194124637	0.758339900510687
brain	21	0.7488836478483015	0.7561695275018872
brain	22	0.744378700446487	0.7530323066139238
brain	23	0.7480529298849694	0.7573198503936523
brain	24	0.7466445746932799	0.763111661123858
brain	25	0.7467539298224861	0.7588881944503685
brain	26	0.7584933271678151	0.7696215328310614
brain	27	0.766175617699808	0.7775304641887106
brain	28	0.7776766976234264	0.7972470706348274
brain	29	0.7740524826747768	0.8034599236749714
brain	30	0.7871669447515564	0.8121040713495162
brain	reanchor:phi9	0.8153646737692496	
brain	reanchor:phi15	0.7976149948539308	
brain	reanchor:phi30	0.7871669447515564	
brain	reanchor:phi30-phi9	0.8148829308657912	
brain	reanchor:phi30-phi15	0.7958618131629237	
brain	reanchor:concat[phi9,phi30]	0.8244173798637122	
muscle	1	0.618626546580737	0.7312664632765409
muscle	2	0.6254131934630103	0.7350312987615664
muscle	3	0.6111791425379745	0.7289223025248566
muscle	4	0.6198924618932611	0.7257035071214828
muscle	5	0.6142554888631739	0.7238706862576009
muscle	6	0.6080702671038474	0.7101561937053741
muscle	7	0.6089263751080651	0.7140171866806992
muscle	8	0.6138771975703552	0.7189019709222135
muscle	9	0.6268263927402957	0.7047005099464582
muscle	10	0.6224218478797914	0.7050808023834263
muscle	11	0.6323472013932414	0.6983006827100482
muscle	12	0.6380163511519291	0.6962498199249706
muscle	13	0.6159852357928731	0.6988226224226906
muscle	14	0.6092361394391859	0.6849497289074465
muscle	15	0.6032460262621129	0.6857397276175752
muscle	16	0.5965061578682365	0.6746329546331292
muscle	17	0.5949082782639966	0.6710578587236911
muscle	18	0.5892265529323923	0.6604085589980015
muscle	19	0.5840191315208034	0.6536054233366719
muscle	20	0.5896242802026169	0.6535987543931666
muscle	21	0.583788619727581	0.6456680521984173
muscle	22	0.5915964317615717	0.6470781813259714
muscle	23	0.5847946325252416	0.6472354979079308
muscle	24	0.5801792541103954	0.6488030791650763
muscle	25	0.5841062465447457	0.642904235977367
muscle	26	0.5858120756597561	0.6539665493384434
muscle	27	0.591489341177848	0.6731234419816283
muscle	28	0.6018611936011432	0.6806636043384133
muscle	29	0.6042564438138598	0.6897713208428178
muscle	30	0.6091163741755787	0.704533325496873
muscle	reanchor:phi9	0.6268263927402957	
muscle	reanchor:phi15	0.6032460262621129	
muscle	reanchor:phi30	0.6091163741755787	
muscle	reanchor:phi30-phi9	0.628107163085976	
muscle	reanchor:phi30-phi15	0.5981769691882606	
muscle	reanchor:concat[phi9,phi30]	0.6180970070444791	
