sample	condition	cluster	layer	n_cells	RBFOX1	RBFOX2
PO05	AD	1	L2/3	285	4.222402572631836	1.3618009090423584
PO05	AD	2	L2/3	379	4.337393760681152	1.5047645568847656
PO05	AD	27	L2/3	29	3.972637176513672	1.581649899482727
PO05	AD	10	L4	125	3.75933575630188	1.6310614347457886
PO05	AD	11	L4	176	4.084864616394043	1.6094393730163574
PO05	AD	18	L4	23	3.1480724811553955	1.7647552490234375
PO05	AD	19	L5	41	3.9978134632110596	1.4994852542877197
PO05	AD	26	L5	30	4.141998291015625	1.711127519607544
PO05	AD	25	L6	31	3.7844460010528564	1.5670762062072754
PO05	AD	20	Unclassified	78	4.258448123931885	1.5212358236312866
PO11	AD	1	L2/3	320	4.056126594543457	1.5006723403930664
PO11	AD	2	L2/3	256	4.028751373291016	1.5067672729492188
PO11	AD	27	L2/3	21	4.154311656951904	1.607105016708374
PO11	AD	10	L4	186	3.590991497039795	1.5434942245483398
PO11	AD	11	L4	179	3.981501817703247	1.5761256217956543
PO11	AD	18	L4	75	3.284998655319214	1.5363142490386963
PO11	AD	19	L5	19	3.8699052333831787	1.5520918369293213
PO11	AD	26	L5	23	4.176528453826904	1.508396029472351
PO11	AD	25	L6	49	3.780851125717163	1.505832552909851
PO11	AD	20	Unclassified	37	4.150915145874023	1.4975664615631104
PO13	Control	1	L2/3	60	4.207644462585449	1.214548110961914
PO13	Control	2	L2/3	240	4.370843410491943	1.2356255054473877
PO13	Control	27	L2/3	10	4.074782371520996	1.3314064741134644
PO13	Control	10	L4	109	3.8949227333068848	1.4306719303131104
PO13	Control	11	L4	90	4.199915409088135	1.4485373497009277
PO13	Control	18	L4	16	3.2079544067382812	1.5561147928237915
PO13	Control	19	L5	114	3.9329099655151367	1.3199535608291626
PO13	Control	26	L5	8	4.412569522857666	1.3211033344268799
PO13	Control	25	L6	23	3.9247257709503174	1.4635385274887085
PO13	Control	20	Unclassified	107	4.280175685882568	1.2951284646987915
PO15	Control	1	L2/3	135	3.842313766479492	1.4854686260223389
PO15	Control	2	L2/3	331	3.8103485107421875	1.570806622505188
PO15	Control	27	L2/3	3	4.051679611206055	1.748314380645752
PO15	Control	10	L4	98	3.4587159156799316	1.701072335243225
PO15	Control	11	L4	82	3.9414308071136475	1.7690739631652832
PO15	Control	18	L4	34	2.852409601211548	1.6449750661849976
