"gene_id","lr","df","pvalue","adj_pvalue","cell_type"
"ACSL3",0.175046248583158,1,0.675665441853152,0.994986006060379,"Astrocyte"
"ACSL6",1.27862841375361,2,0.527654161585753,0.929421289696732,"Astrocyte"
"ACSS1",0.690955191488229,2,0.707882191199946,0.994986006060379,"Astrocyte"
"ACTB",0.747004143890081,1,0.387426397282569,0.902261475550681,"Astrocyte"
"ACTG1",1.62360240933594,2,0.444057506999421,0.912550397065065,"Astrocyte"
"ADAR",2.94395590492275,1,0.0861993870128543,0.664693050965788,"Astrocyte"
"ADCY2",0.0721895738652165,1,0.788175039347207,0.994986006060379,"Astrocyte"
"ADD3",0.0248510667906885,1,0.874738739599241,0.994986006060379,"Astrocyte"
"ADGRA3",2.03175104584204,1,0.154043038408711,0.731420669708871,"Astrocyte"
"ADGRV1",6.23513326169632,7,0.512578174386467,0.921578375710384,"Astrocyte"
"AFF4",3.42735569744741,1,0.0641246971799194,0.570545382600822,"Astrocyte"
"AGT",1.60892371833324,3,0.657368123377026,0.994986006060379,"Astrocyte"
"AHCYL1",0.031451377846679,1,0.859237120790809,0.994986006060379,"Astrocyte"
"AHI1",0.136612913237855,1,0.711671726894937,0.994986006060379,"Astrocyte"
"AKAP6",0.0102948247869676,1,0.919182597446554,0.994986006060379,"Astrocyte"
"AKAP9",0.545434028343379,1,0.460189372861073,0.912550397065065,"Astrocyte"
"ANGPTL4",1.67273185886006,1,0.195893023706378,0.809224752691822,"Astrocyte"
"ANKRD12",0.110262590023012,1,0.73984537866661,0.994986006060379,"Astrocyte"
"ANKRD26",0.000400495805479295,1,0.984033487718926,0.994986006060379,"Astrocyte"
"ANKRD36C",1.86633199793687,1,0.171895772223603,0.74559791201988,"Astrocyte"
"AP2M1",1.94622344613526,1,0.162994392297452,0.734533170483322,"Astrocyte"
"APC",0.200656110441287,1,0.654191773005062,0.994986006060379,"Astrocyte"
"APLP1",0.799382004083384,1,0.371278204384045,0.892913969668378,"Astrocyte"
"APP",4.42739466290254,2,0.109295797752461,0.731420669708871,"Astrocyte"
"AQP4",0.000937422515562503,1,0.975574700198741,0.994986006060379,"Astrocyte"
"ARAP2",2.3214442369632,1,0.127601504239893,0.731420669708871,"Astrocyte"
"ARHGAP5",2.46715093428975,1,0.11624846963723,0.731420669708871,"Astrocyte"
"ARHGEF4",4.35814536885482,2,0.113146404430196,0.731420669708871,"Astrocyte"
"ARID4B",3.91915695771741,2,0.140917808239019,0.731420669708871,"Astrocyte"
"ASB3",0.000895076286155927,1,0.976132589472617,0.994986006060379,"Astrocyte"
"ASPH",2.30964682473632,3,0.510675351034404,0.921578375710384,"Astrocyte"
"ATP13A4",0.289965908365957,1,0.590242377819955,0.984683197613098,"Astrocyte"
"ATP5F1A",0.0022666566873113,1,0.962027526022268,0.994986006060379,"Astrocyte"
"ATRX",0.273662392417464,3,0.964903294522159,0.994986006060379,"Astrocyte"
"BAZ2B",4.27221227149221,1,0.0387404620981902,0.544196292500983,"Astrocyte"
"BBS2",1.21999853623254,1,0.269360939281567,0.87054289532508,"Astrocyte"
"BCAN",1.97535601496566,1,0.15988049699125,0.731420669708871,"Astrocyte"
"BCLAF1",2.5579421903077,3,0.464910575217676,0.912550397065065,"Astrocyte"
"BIRC6",2.5736478059261,1,0.108656914947098,0.731420669708871,"Astrocyte"
"BLTP1",7.97952492722206,1,0.00473093553710181,0.415830476534741,"Astrocyte"
"BMS1",0.0363369791878085,1,0.848821275311624,0.994986006060379,"Astrocyte"
"BRWD1",0.0317194281334423,1,0.858644843002341,0.994986006060379,"Astrocyte"
"BSCL2",1.96393147452409,2,0.374574060488749,0.892913969668378,"Astrocyte"
"BTBD8",2.76780292673226,1,0.0961780906872469,0.695287447259889,"Astrocyte"
"C1R",2.02966064882094,1,0.154255046880561,0.731420669708871,"Astrocyte"
"C6orf62",0.0610241461384646,1,0.804884497310229,0.994986006060379,"Astrocyte"
"CADM1",0.503218322563839,1,0.478089422230248,0.912550397065065,"Astrocyte"
"CAPN2",1.54594594256378,2,0.461638587913743,0.912550397065065,"Astrocyte"
"CCDC144BP",0.0858255620169075,1,0.769552725744124,0.994986006060379,"Astrocyte"
"CCDC186",1.41124277027063,1,0.234850195843885,0.86554941292322,"Astrocyte"
"CCDC88A",0.237227047186252,2,0.888150983842594,0.994986006060379,"Astrocyte"
"CCNL2",0.123657996340853,1,0.725100470511782,0.994986006060379,"Astrocyte"
"CCP110",0.0715715544987461,1,0.789062192905137,0.994986006060379,"Astrocyte"
"CCPG1",4.58820207655981,1,0.0321927668175942,0.544196292500983,"Astrocyte"
"CDH11",0.00103195045142002,1,0.974373175528934,0.994986006060379,"Astrocyte"
"CDKN2AIP",3.95810041996828,1,0.0466463142254912,0.544196292500983,"Astrocyte"
"CELF2",2.0350310443269,1,0.153711046016099,0.731420669708871,"Astrocyte"
"CEP170",0.00115833499353357,1,0.972849782491008,0.994986006060379,"Astrocyte"
"CEP192",0.198997650995011,1,0.655531132570271,0.994986006060379,"Astrocyte"
"CHD9",1.97110693882314,3,0.578425172713291,0.971984650701621,"Astrocyte"
"CIRBP",0.705982154765479,2,0.702583462232601,0.994986006060379,"Astrocyte"
"CLASP1",1.23014770589998,1,0.267378314715668,0.87054289532508,"Astrocyte"
"CLCN3",0.856775653062812,1,0.354642577987942,0.892913969668378,"Astrocyte"
"CLIP1",0.814665066904354,1,0.366744606754415,0.892913969668378,"Astrocyte"
"CLIP4",0.60373127460673,1,0.437157906762385,0.912550397065065,"Astrocyte"
"CLU",1.88408537818759,3,0.59681011456378,0.987385029025617,"Astrocyte"
"CMYA5",0.0122380035408014,1,0.911913317309834,0.994986006060379,"Astrocyte"
"CNDP2",0.767423809830007,1,0.381015199116717,0.893326176307437,"Astrocyte"
"CNP",0.547959057862613,1,0.459152823139008,0.912550397065065,"Astrocyte"
"CNTN1",1.23875275899695,1,0.265711563032037,0.87054289532508,"Astrocyte"
"COG1",0.109685734591665,1,0.740502206483419,0.994986006060379,"Astrocyte"
"COLEC12",3.63848152872379,1,0.0564584049856928,0.544196292500983,"Astrocyte"
"CPLANE1",0.00196011784595385,1,0.964686619550239,0.994986006060379,"Astrocyte"
"CRB1",1.17881628834562,1,0.277597107504656,0.87569269367378,"Astrocyte"
