"gene_id","lr","df","pvalue","adj_pvalue","cell_type"
"AAMP",3.76419067218717,2,0.152270712935277,0.998096306930967,"Excitatory_neuron"
"AAR2",5.53701388240643,2,0.0627556326781713,0.948006859166649,"Excitatory_neuron"
"AARS1",1.63441073682998,2,0.441664220200039,0.998096306930967,"Excitatory_neuron"
"AATK",1.68591812261866,1,0.19413992560005,0.998096306930967,"Excitatory_neuron"
"ABCA5",3.62999936673532,5,0.603814723612142,0.998096306930967,"Excitatory_neuron"
"ABCB6",1.49233829024888,1,0.221854015058917,0.998096306930967,"Excitatory_neuron"
"ABCB7",0.00732120667925074,1,0.931812977433737,0.998096306930967,"Excitatory_neuron"
"ABCC5",1.42967694079562,2,0.489271137185844,0.998096306930967,"Excitatory_neuron"
"ABCC8",14.2481474253382,7,0.0469397783698507,0.910790034440891,"Excitatory_neuron"
"ABCG1",0.0905729518233329,1,0.763450025824093,0.998096306930967,"Excitatory_neuron"
"ABI1",1.39046617017146,2,0.49895813473061,0.998096306930967,"Excitatory_neuron"
"ABI2",2.06395872322389,2,0.35630101358886,0.998096306930967,"Excitatory_neuron"
"ACAA1",0.235230984849295,1,0.627671968885423,0.998096306930967,"Excitatory_neuron"
"ACACA",0.0706237287580507,1,0.790430787564628,0.998096306930967,"Excitatory_neuron"
"ACAD11",0.569383750315808,1,0.450503901536176,0.998096306930967,"Excitatory_neuron"
"ACAD8",0.0341971384698354,1,0.853288110457064,0.998096306930967,"Excitatory_neuron"
"ACAD9",0.267301849520891,1,0.605147484037684,0.998096306930967,"Excitatory_neuron"
"ACADM",4.42615907715685,3,0.218972056420532,0.998096306930967,"Excitatory_neuron"
"ACADVL",5.31326166381155,2,0.0701842865092386,0.948006859166649,"Excitatory_neuron"
"ACAP3",0.0343174865984111,1,0.853033114054969,0.998096306930967,"Excitatory_neuron"
"ACBD5",1.43700663762678,1,0.230624346381503,0.998096306930967,"Excitatory_neuron"
"ACOT7",0.571666411654633,1,0.449597487640749,0.998096306930967,"Excitatory_neuron"
"ACOT8",0.665388546955157,1,0.414664004449787,0.998096306930967,"Excitatory_neuron"
"ACSF3",1.53723294139468,1,0.215030146651031,0.998096306930967,"Excitatory_neuron"
"ACSL3",3.21634541272306,3,0.359456534266528,0.998096306930967,"Excitatory_neuron"
"ACSL4",3.38921710797558,4,0.494921750275675,0.998096306930967,"Excitatory_neuron"
"ACTB",1.44984896208916,1,0.228552189362247,0.998096306930967,"Excitatory_neuron"
"ACTG1",4.27250504076437,7,0.747909509552736,0.998096306930967,"Excitatory_neuron"
"ACTN1",7.14421639270586,8,0.521155877953164,0.998096306930967,"Excitatory_neuron"
"ACTN2",2.9666725941097,2,0.226879486930411,0.998096306930967,"Excitatory_neuron"
"ACTR1B",0.000550612736219591,1,0.981279246076697,0.998096306930967,"Excitatory_neuron"
"ACTR2",0.522258679086008,1,0.469879780932586,0.998096306930967,"Excitatory_neuron"
"ADAM17",0.493451118773748,2,0.781355099681779,0.998096306930967,"Excitatory_neuron"
"ADAM22",0.350590663552907,1,0.553778960077094,0.998096306930967,"Excitatory_neuron"
"ADAM9",0.55039925776066,1,0.45815460352013,0.998096306930967,"Excitatory_neuron"
"ADAMTS13",0.766756121911158,1,0.381222446464274,0.998096306930967,"Excitatory_neuron"
"ADAR",3.18740860443904,4,0.526967071244879,0.998096306930967,"Excitatory_neuron"
"ADCY2",0.469626151422744,2,0.790718640334818,0.998096306930967,"Excitatory_neuron"
"ADCY9",0.00199878982198243,1,0.964340194654298,0.998096306930967,"Excitatory_neuron"
"ADD1",2.89627530067037,4,0.575330823995445,0.998096306930967,"Excitatory_neuron"
"ADD2",1.39292287124772,3,0.707194485012939,0.998096306930967,"Excitatory_neuron"
