"gene_id","lr","df","pvalue","adj_pvalue","cell_type"
"AAK1",0.267632025996647,1,0.604924670559575,0.987152493054724,"Inhibitory_neuron"
"AAMP",6.16512919230308,2,0.0458415407277334,0.938236238806495,"Inhibitory_neuron"
"AAR2",4.50404920783637,2,0.105186048749952,0.938732760528795,"Inhibitory_neuron"
"AARS1",4.18783466743707,1,0.0407150695766639,0.864051899261454,"Inhibitory_neuron"
"ABAT",0.374820647630713,1,0.54038825652937,0.987152493054724,"Inhibitory_neuron"
"ABCA5",1.76125977130619,2,0.414521728142882,0.987152493054724,"Inhibitory_neuron"
"ABCC5",2.85359941934439,2,0.240076007065338,0.987152493054724,"Inhibitory_neuron"
"ABCC8",3.84707952083113,3,0.278457280139992,0.987152493054724,"Inhibitory_neuron"
"ABI1",2.15370747960378,2,0.340665664114998,0.987152493054724,"Inhibitory_neuron"
"ABTB3",0.14769072963054,1,0.700752020150306,0.987152493054724,"Inhibitory_neuron"
"ACAA1",0.304166035472463,1,0.581282401543435,0.987152493054724,"Inhibitory_neuron"
"ACADM",1.26243704357717,2,0.531943221527314,0.987152493054724,"Inhibitory_neuron"
"ACOT7",2.01641081207231,1,0.155606572712575,0.938732760528795,"Inhibitory_neuron"
"ACSL3",0.637374970563087,2,0.727102744112994,0.98857909540634,"Inhibitory_neuron"
"ACSL4",1.48164850684725,2,0.476720814772282,0.987152493054724,"Inhibitory_neuron"
"ACSL6",0.0786703194031588,2,0.961428423077364,0.995655655743424,"Inhibitory_neuron"
"ACTB",2.18941473490122,1,0.138962109050767,0.938732760528795,"Inhibitory_neuron"
"ACTG1",3.0101948058782,4,0.556120775749794,0.987152493054724,"Inhibitory_neuron"
"ACTN1",1.02571899270924,2,0.598780916597221,0.987152493054724,"Inhibitory_neuron"
"ADAM22",0.921991678519618,2,0.630655301385455,0.987152493054724,"Inhibitory_neuron"
"ADAR",0.769097595371932,2,0.680757726380918,0.987152493054724,"Inhibitory_neuron"
"ADCK5",4.45861570345221,1,0.034725628128377,0.846082208639831,"Inhibitory_neuron"
"ADCY2",2.60526857340847,3,0.456566646485498,0.987152493054724,"Inhibitory_neuron"
"ADD1",1.311647592404,1,0.252096566345989,0.987152493054724,"Inhibitory_neuron"
"ADD2",3.36263988414817,2,0.18612813547027,0.938732760528795,"Inhibitory_neuron"
"ADD3",0.459043398499034,2,0.794913719419552,0.98857909540634,"Inhibitory_neuron"
"ADGRB2",4.98244216392209,3,0.173087339290139,0.938732760528795,"Inhibitory_neuron"
"ADGRB3",0.28796819842438,1,0.591525508015577,0.987152493054724,"Inhibitory_neuron"
"ADGRB3-DT",2.50312913903872,1,0.113620343335129,0.938732760528795,"Inhibitory_neuron"
"ADGRL2",2.43751420859587,2,0.295597335358372,0.987152493054724,"Inhibitory_neuron"
"ADGRL3",6.06285020947553,2,0.0482468323206508,0.938236238806495,"Inhibitory_neuron"
"AFAP1L2",3.13904921119195,1,0.0764383552777343,0.938732760528795,"Inhibitory_neuron"
"AFF4",1.17341443929035,1,0.278700774321517,0.987152493054724,"Inhibitory_neuron"
"AGBL4",1.62776734643603,1,0.2020121342082,0.978301626727524,"Inhibitory_neuron"
"AGT",0.882932232899748,1,0.347399820319296,0.987152493054724,"Inhibitory_neuron"
"AHCTF1",0.180103349974104,1,0.67128443825695,0.987152493054724,"Inhibitory_neuron"
"AHI1",9.94465145554932,10,0.445362580227774,0.987152493054724,"Inhibitory_neuron"
"AK2",1.02526161800415,3,0.795139705891648,0.98857909540634,"Inhibitory_neuron"
"AKAP6",0.415893567726016,1,0.518993218897991,0.987152493054724,"Inhibitory_neuron"
"AKAP8L",4.10418250288785,2,0.128465967838941,0.938732760528795,"Inhibitory_neuron"
"AKAP9",0.00214746370329522,1,0.963038672478736,0.995655655743424,"Inhibitory_neuron"
"ALAD",0.449958738256782,1,0.502354549554084,0.987152493054724,"Inhibitory_neuron"
