"gene_id","lr","df","pvalue","adj_pvalue","cell_type"
"ACTB",0.0178152954856614,1,0.893818564340274,0.932104252500769,"Microglia"
"AFF4",2.57809989301825,1,0.108351656477484,0.899318748763115,"Microglia"
"AKAP13",0.549491438546596,1,0.458525566532063,0.932104252500769,"Microglia"
"ANKRD12",1.51113444391467,1,0.218966061880066,0.932104252500769,"Microglia"
"ANKRD44",1.96197533116123,2,0.374940599991646,0.932104252500769,"Microglia"
"ARHGAP15",0.63088215555365,1,0.427031918014189,0.932104252500769,"Microglia"
"ARID4B",0.273534334471606,1,0.600970704288025,0.932104252500769,"Microglia"
"ASAH1",0.294856516467888,1,0.587125037083173,0.932104252500769,"Microglia"
"ASH1L",0.0192980288530862,1,0.889515464220832,0.932104252500769,"Microglia"
"ATP6V1B2",6.01916939432681,1,0.01415130536127,0.351792820996714,"Microglia"
"ATRX",0.786627042278269,3,0.852662921804604,0.932104252500769,"Microglia"
"BACH1",0.293377420342665,1,0.588064284819325,0.932104252500769,"Microglia"
"BAZ2B",1.79833028693793,1,0.179914486189827,0.932104252500769,"Microglia"
"BIN2",1.3737655328687,1,0.241165965223571,0.932104252500769,"Microglia"
"BTK",4.71735249166784,2,0.0945452951240996,0.899318748763115,"Microglia"
"C6orf62",0.301258649963074,1,0.583094434180478,0.932104252500769,"Microglia"
"CD163",0.0442075239267297,1,0.833467988909285,0.932104252500769,"Microglia"
"CD74",0.58753810411099,1,0.443372700717829,0.932104252500769,"Microglia"
"CEP170",NA,1,NA,NA,"Microglia"
"CHD9",1.74367356696894,2,0.418182732252519,0.932104252500769,"Microglia"
"CTSC",1.28318878640596,1,0.257306975304818,0.932104252500769,"Microglia"
"CX3CR1",0.105940855073243,1,0.744813603469017,0.932104252500769,"Microglia"
"CYFIP1",0.115075409168398,1,0.734438229381689,0.932104252500769,"Microglia"
"DDIT4",0.00326548330883725,1,0.954430162123493,0.962120040913923,"Microglia"
"DDX39B",0.113727866055399,1,0.735939284531814,0.932104252500769,"Microglia"
"DDX5",4.3345557328139,3,0.227530844900552,0.932104252500769,"Microglia"
"DISC1",3.6547966041104,1,0.0559079810836179,0.773393738323381,"Microglia"
"DOCK10",18.8809509031468,1,1.39135121074223e-05,0.00115482150491605,"Microglia"
"DOCK8",1.14326400640687,3,0.766641560924251,0.932104252500769,"Microglia"
"ENSG00000291073",0.763270856626832,1,0.382306850865507,0.932104252500769,"Microglia"
"EPB41L3",0.121080880731256,1,0.72786513120823,0.932104252500769,"Microglia"
"ERC1",1.19609833375341,1,0.274102892473433,0.932104252500769,"Microglia"
"FGL2",0.103886834825573,1,0.747214216823026,0.932104252500769,"Microglia"
"FKBP15",0.00729559935587076,1,0.931932040256738,0.954942707917398,"Microglia"
"FNBP4",0.492262924939496,1,0.482919598317184,0.932104252500769,"Microglia"
"FYB1",0.711343553760116,1,0.398998145134357,0.932104252500769,"Microglia"
"GCC2",1.61711624964937,1,0.203494354670738,0.932104252500769,"Microglia"
"GOLGB1",1.16702308272647,3,0.760923910741457,0.932104252500769,"Microglia"
"GPRIN3",0.420519857482759,1,0.516677759428717,0.932104252500769,"Microglia"
"HSP90B1",0.308598311043738,2,0.857015601709165,0.932104252500769,"Microglia"
"LINC01094",2.33775048314146,1,0.126271782133196,0.932104252500769,"Microglia"
"LPAR5",0.356306861300993,1,0.550564498875882,0.932104252500769,"Microglia"
"MACF1",1.26241762470966,2,0.531948386419859,0.932104252500769,"Microglia"
"MALAT1",0.256656338839093,1,0.612426657192116,0.932104252500769,"Microglia"
"MAP1B",1.14696321719907,1,0.284185758028048,0.932104252500769,"Microglia"
"MBP",2.38701764118264,2,0.303155676801575,0.932104252500769,"Microglia"
"N4BP2L2",1.7170875796553,4,0.787611353167869,0.932104252500769,"Microglia"
"NKTR",0.0772321068926658,2,0.962120040913923,0.962120040913923,"Microglia"
"NOL8",10.96438624384,1,0.000928797046826038,0.0385450774432806,"Microglia"
"PHF3",4.0602100715887,3,0.25503549960048,0.932104252500769,"Microglia"
"PHIP",4.46653448697225,2,0.107177681874862,0.899318748763115,"Microglia"
"PNISR",0.77604998798688,2,0.678395387242347,0.932104252500769,"Microglia"
"PPIG",1.18790243817472,1,0.275753068010716,0.932104252500769,"Microglia"
"PTPRC",0.442234430778242,1,0.506045957789117,0.932104252500769,"Microglia"
"RANBP2",2.83889442978261,1,0.0920074989699472,0.899318748763115,"Microglia"
"RASSF4",0.110851627263855,1,0.739176645709591,0.932104252500769,"Microglia"
"RBM25",1.56095764122892,2,0.458186569598016,0.932104252500769,"Microglia"
"RBMX",5.70114278006983,1,0.0169538708914079,0.351792820996714,"Microglia"
"RNF213",1.30927629014695,3,0.726931516827032,0.932104252500769,"Microglia"
"SCAPER",0.362898198741732,2,0.834060698437311,0.932104252500769,"Microglia"
"SCIN",0.0492605285935497,1,0.824355040793419,0.932104252500769,"Microglia"
"SF3B1",0.422098586547918,1,0.515891743571042,0.932104252500769,"Microglia"
"SHPRH",1.39953689882873,2,0.496700301722726,0.932104252500769,"Microglia"
"SLC1A3",2.77502983445538,3,0.427626963420722,0.932104252500769,"Microglia"
"SLC25A37",0.0313066882933981,1,0.859557905668973,0.932104252500769,"Microglia"
"SLC8A1",0.0873717326730343,1,0.767545427668889,0.932104252500769,"Microglia"
"SLCO2B1",1.5691828418644,2,0.456306100824979,0.932104252500769,"Microglia"
"SNAP25",0.176046755248535,1,0.674792842230976,0.932104252500769,"Microglia"
"SPECC1L",1.89759602658455,1,0.168347647135321,0.932104252500769,"Microglia"
"SPP1",1.37504511630959,2,0.502820235146305,0.932104252500769,"Microglia"
"SRGAP2",4.78304878425297,1,0.0287411924399429,0.477103794503052,"Microglia"
"STX16",0.0357475311309372,1,0.85003781664823,0.932104252500769,"Microglia"
"TLR6",0.112214513583353,1,0.737636893074561,0.932104252500769,"Microglia"
"TTC14",0.651985026374746,1,0.419403873655291,0.932104252500769,"Microglia"
"TUT7",1.21409832004488,1,0.270521976355339,0.932104252500769,"Microglia"
"UBA6",0.0211727105270256,1,0.884309440534857,0.932104252500769,"Microglia"
"UBC",0.432490068116749,1,0.51076963249959,0.932104252500769,"Microglia"
"VPS13C",1.75963149757035,1,0.184670485960556,0.932104252500769,"Microglia"
"VSIG4",2.62274714347359,2,0.269449693599374,0.932104252500769,"Microglia"
"WAPL",0.887665922050758,1,0.34611060558063,0.932104252500769,"Microglia"
"WSB1",0.214249169537197,2,0.898413737350139,0.932104252500769,"Microglia"
"ZEB2",0.999743758797194,3,0.801313959770356,0.932104252500769,"Microglia"
"ZHX1",0.115951361504443,1,0.733467737702589,0.932104252500769,"Microglia"
"ZNF451",0.0697627137758445,1,0.791682582137549,0.932104252500769,"Microglia"
