"gene_id","lr","df","pvalue","adj_pvalue","cell_type"
"ABCC8",7.8788940004988,4,0.0961165637261358,0.876895875969668,"OPC"
"ACAD11",0.134614221356287,1,0.713695023089877,0.963280577664886,"OPC"
"ACSL3",1.8192073977641,2,0.402683776446933,0.953795816594935,"OPC"
"ACSS1",0.142597671072338,1,0.70571211151439,0.963280577664886,"OPC"
"ACTB",2.07806000403798,1,0.149429988867628,0.884579848846889,"OPC"
"ACTG1",0.847539762631641,2,0.654574494400169,0.963280577664886,"OPC"
"ADAR",0.326914286112697,1,0.567481742380979,0.959368464316712,"OPC"
"ADD3",0.0644316350376357,1,0.799623903468431,0.968451962834219,"OPC"
"ADGRB3-DT",2.59623023167887,1,0.107118235128332,0.876895875969668,"OPC"
"AFAP1L2",2.80447630068738,3,0.42276356827843,0.953795816594935,"OPC"
"AFF4",3.43272015971775,1,0.0639167448615469,0.876895875969668,"OPC"
"AHI1",0.100198549849665,2,0.951134995958369,0.983176666667282,"OPC"
"AIMP1",0.327130431925582,1,0.567353699282887,0.959368464316712,"OPC"
"AK2",1.27001234735451,1,0.259764363557075,0.918678846726242,"OPC"
"AKAP6",0.532997384754708,1,0.465349415607094,0.957245119747053,"OPC"
"AKAP8L",1.62065969034239,1,0.202999827711611,0.884579848846889,"OPC"
"AKAP9",0.359524637037794,3,0.948470780460241,0.983176666667282,"OPC"
"ALCAM",1.66249775026881,1,0.197266419823131,0.884579848846889,"OPC"
"ALDOC",0.29186121546627,1,0.589030281037996,0.959368464316712,"OPC"
"AMZ1",1.78836798558268,1,0.181125134132057,0.884579848846889,"OPC"
"ANK2",0.241765495039999,2,0.886137855362902,0.973402523375719,"OPC"
"ANKRD12",1.13931974484694,1,0.285796114739232,0.922754290676715,"OPC"
"ANKRD20A1",0.0150194857235419,1,0.902460273365232,0.979544939373117,"OPC"
"ANKRD26",0.701203932365615,1,0.402379451011067,0.953795816594935,"OPC"
"ANKRD36C",0.00776665714420233,1,0.929774433704476,0.983176666667282,"OPC"
"ANKRD44",1.50593053234934,3,0.680902244542421,0.963280577664886,"OPC"
"ANKRD46",0.0188250342966398,1,0.890869270790666,0.973402523375719,"OPC"
"ANKZF1",0.309874915510647,1,0.577756952316555,0.959368464316712,"OPC"
"AP2M1",0.659401854501994,2,0.719138776084303,0.963280577664886,"OPC"
"AP3M1",1.14025946890405,1,0.285597507114985,0.922754290676715,"OPC"
"APC",0.0439042230120776,1,0.834031906872449,0.971362461819318,"OPC"
"APLP1",2.49076616959354,1,0.114515964662368,0.878951039256954,"OPC"
"APLP2",0.302503335055405,1,0.582317294062781,0.959368464316712,"OPC"
"APP",1.90105802283779,2,0.386536487142731,0.953795816594935,"OPC"
"APPL2",0.3522890553715,1,0.552820202840312,0.959368464316712,"OPC"
"ARAP2",2.00342684007046,1,0.156944036824328,0.884579848846889,"OPC"
"ARHGAP21",8.82522691654231e-05,1,0.992504568939823,0.994924503278436,"OPC"
"ARHGAP5",2.06486775963822,1,0.150728003244852,0.884579848846889,"OPC"
"ARHGEF4",0.519683298187715,1,0.470976809230517,0.957245119747053,"OPC"
"ARID4B",0.98794413459359,1,0.320245365582887,0.952524677118331,"OPC"
"ARID5A",0.162253258149576,1,0.687090413081693,0.963280577664886,"OPC"
"ARMCX3",0.119155333036815,1,0.729952410550171,0.966754740851289,"OPC"
"ASCC3",2.79867554835187,1,0.094342209102482,0.876895875969668,"OPC"
"ASH1L",4.48880401927659,2,0.105990902964949,0.876895875969668,"OPC"
"ASPH",2.88390083097454,1,0.0894690433684245,0.876895875969668,"OPC"
"ATP13A4",7.58879161315167,1,0.00587323040377774,0.425809204273886,"OPC"
"ATP2B1",0.212548065519513,1,0.644777545004137,0.963280577664886,"OPC"
"ATP6V0E2",0.755400311387007,1,0.384771827793495,0.953795816594935,"OPC"
"ATP6V1B2",2.89962591599874,1,0.0886001118561978,0.876895875969668,"OPC"
"ATRNL1",0.136626832840875,1,0.711657695096149,0.963280577664886,"OPC"
"ATRX",2.09812999413407,3,0.552291170898055,0.959368464316712,"OPC"
"BAALC",0.187470075438682,1,0.665030646088538,0.963280577664886,"OPC"
"BAZ2B",0.197907457503334,1,0.656415214164094,0.963280577664886,"OPC"
"BBS2",1.20829548645071,2,0.546540020643914,0.959368464316712,"OPC"
"BBX",0.162830756061453,1,0.686563568742581,0.963280577664886,"OPC"
"BCAN",0.0313533917069435,1,0.859454278170535,0.973402523375719,"OPC"
"BLTP1",0.423831948951374,2,0.809032674105206,0.968451962834219,"OPC"
"BMS1",0.0898806101703258,2,0.956054551724737,0.983176666667282,"OPC"
"BRWD1",2.93290604683853,2,0.230742473560764,0.909289816328601,"OPC"
"BSCL2",4.70293805004098,1,0.0301111014739618,0.876895875969668,"OPC"
"C10orf90",1.77402454130959,1,0.18288479359843,0.884579848846889,"OPC"
"C18orf25",0.0583714902785459,1,0.809088630153306,0.968451962834219,"OPC"
"CACNB4",0.00109449912372384,1,0.973608227804451,0.989899161451729,"OPC"
"CALM2",0.287131964254399,1,0.592064324236017,0.959368464316712,"OPC"
