"gene_id","lr","df","pvalue","adj_pvalue","cell_type"
"AAMP",0.556024447036236,1,0.455866502976248,0.967520859974924,"Oligodendrocyte"
"AAR2",0.420740992615038,1,0.516567534776139,0.967520859974924,"Oligodendrocyte"
"AARS1",3.80705512648296,3,0.283066567032718,0.924335153800038,"Oligodendrocyte"
"AATF",2.03856520158104,1,0.153354236028302,0.903668796528303,"Oligodendrocyte"
"ABCA2",0.537654199343706,1,0.463406531474446,0.967520859974924,"Oligodendrocyte"
"ABCA8",9.96027755323121,5,0.0763686198589481,0.841846327475971,"Oligodendrocyte"
"ABCB7",0.0974848869654465,1,0.754869002864254,0.978997479843038,"Oligodendrocyte"
"ABCF1",0.384956939577705,1,0.534962232574246,0.967520859974924,"Oligodendrocyte"
"ABCG1",2.96600878696654,1,0.0850314049945382,0.841846327475971,"Oligodendrocyte"
"ABHD6",1.51751511252706,1,0.217995918416259,0.917099264265582,"Oligodendrocyte"
"ACAD11",3.16657997230777,1,0.0751596786796007,0.841846327475971,"Oligodendrocyte"
"ACADVL",1.13772897810281,1,0.286132717783417,0.924335153800038,"Oligodendrocyte"
"ACER3",0.0208645865657218,1,0.885148459853395,0.988044395262038,"Oligodendrocyte"
"ACSF3",0.460853876796648,1,0.497225182917683,0.967520859974924,"Oligodendrocyte"
"ACSL3",3.29013741901269,2,0.192999301451449,0.917099264265582,"Oligodendrocyte"
"ACSL4",2.66596720984182,2,0.263689341646516,0.924335153800038,"Oligodendrocyte"
"ACSS1",1.07283093797923,1,0.300306878392396,0.924335153800038,"Oligodendrocyte"
"ACTB",1.04791110808583,1,0.30598866836443,0.924509083993589,"Oligodendrocyte"
"ACTG1",2.10107842402613,2,0.349749109335997,0.944156218555462,"Oligodendrocyte"
"ADAM15",4.5058382516296,1,0.0337793355455796,0.792931125152911,"Oligodendrocyte"
"ADAR",3.48035186675781,2,0.175489523436092,0.903668796528303,"Oligodendrocyte"
"ADARB2",0.895132951840196,2,0.639181724644756,0.978997479843038,"Oligodendrocyte"
"ADD1",5.38558553844769,3,0.145644291197517,0.897923152095845,"Oligodendrocyte"
"ADD3",0.159643371066522,1,0.689485068710809,0.978997479843038,"Oligodendrocyte"
"ADGRB2",0.051052917924352,1,0.82124114287198,0.978997479843038,"Oligodendrocyte"
"ADGRL3",1.73878626104965,1,0.187292688992197,0.917099264265582,"Oligodendrocyte"
"ADPGK",0.930667568094776,1,0.334689517992799,0.936084745636109,"Oligodendrocyte"
"AFF4",1.35061027807023,2,0.509001080809964,0.967520859974924,"Oligodendrocyte"
"AGPAT4",3.70456174451601,1,0.0542639201206238,0.841846327475971,"Oligodendrocyte"
"AGT",0.157052941692086,1,0.691884423642286,0.978997479843038,"Oligodendrocyte"
"AHI1",2.57837876462577,3,0.461292643105896,0.967520859974924,"Oligodendrocyte"
