"gene_id","lr","df","pvalue","adj_pvalue","cell_type"
"ACTB",0.27328563641845,1,0.601136206977296,0.890310194181506,"Vascular_cell"
"ANKRD12",1.55920573921208,1,0.211781553214942,0.658875943335375,"Vascular_cell"
"APP",0.474768376133568,1,0.49080163290308,0.890310194181506,"Vascular_cell"
"ATRX",4.40203963659769,2,0.110690216873553,0.516554345409914,"Vascular_cell"
"CALD1",0.00972607564489181,1,0.921439300363991,0.970814338266782,"Vascular_cell"
"CCNL2",0.382174272220027,1,0.536441893651014,0.890310194181506,"Vascular_cell"
"CHD9",6.32598622086823,1,0.0118981300143625,0.111049213467383,"Vascular_cell"
"CYSLTR2",0.143403484894634,1,0.704920660252103,0.910154502938208,"Vascular_cell"
"DDX5",0.542299255234411,1,0.461481399552039,0.890310194181506,"Vascular_cell"
"DLC1",1.57414009707392,1,0.209606788489168,0.658875943335375,"Vascular_cell"
"FLT1",4.83727187848831,2,0.0890429947122625,0.49864077038867,"Vascular_cell"
"GCC2",8.47095634115999,1,0.00360861661043652,0.0551585122359823,"Vascular_cell"
"MALAT1",4.85012100925996,3,0.183106802288107,0.658875943335375,"Vascular_cell"
"MAP1B",0.380277895416782,1,0.537454548954229,0.890310194181506,"Vascular_cell"
"MBP",0.301157112072133,1,0.583157923194173,0.890310194181506,"Vascular_cell"
"MYH11",3.58411422946034,1,0.058334507872029,0.408341555104203,"Vascular_cell"
"N4BP2L2",0.142349573463889,2,0.931299099174975,0.970814338266782,"Vascular_cell"
"PHF3",1.36679839341605,1,0.242362726537544,0.678615634305123,"Vascular_cell"
"PHIP",0.0175397286427028,1,0.894638143996454,0.970814338266782,"Vascular_cell"
"PNISR",0.268798246223128,1,0.60413906033745,0.890310194181506,"Vascular_cell"
"RBM25",0.107086019178126,1,0.74348636738679,0.910154502938208,"Vascular_cell"
"SCAPER",0.00119191188744594,1,0.972459243181022,0.972459243181022,"Vascular_cell"
"SPECC1L",0.103535958365569,1,0.747626913127814,0.910154502938208,"Vascular_cell"
"SPTBN1",0.141419097516632,1,0.70687429330314,0.910154502938208,"Vascular_cell"
"SYNE1",8.31131125042441,1,0.0039398937311416,0.0551585122359823,"Vascular_cell"
"UBC",0.00641909725527512,1,0.936142397614397,0.970814338266782,"Vascular_cell"
"WSB1",0.609606599251492,1,0.434935970926184,0.890310194181506,"Vascular_cell"
"ZNF638",0.990064721469594,1,0.319726556515076,0.81384941658383,"Vascular_cell"
