"gene_id","feature_id","gene_ofdr","tx_ofdr","cell_type"
"ACTB","ACTB-206",0.890310194181506,NA,"Vascular_cell"
"ACTB","ACTB-217",0.890310194181506,NA,"Vascular_cell"
"ANKRD12","ANKRD12-201",0.658875943335375,NA,"Vascular_cell"
"ANKRD12","ANKRD12-203",0.658875943335375,NA,"Vascular_cell"
"APP","APP-204",0.890310194181506,NA,"Vascular_cell"
"APP","APP-201",0.890310194181506,NA,"Vascular_cell"
"ATRX","ATRX-202",0.516554345409914,NA,"Vascular_cell"
"ATRX","ATRX-214",0.516554345409914,NA,"Vascular_cell"
"ATRX","ATRX-201",0.516554345409914,NA,"Vascular_cell"
"CALD1","CALD1-202",0.970814338266782,NA,"Vascular_cell"
"CALD1","CALD1-201",0.970814338266782,NA,"Vascular_cell"
"CCNL2","CCNL2-217",0.890310194181506,NA,"Vascular_cell"
"CCNL2","CCNL2-203",0.890310194181506,NA,"Vascular_cell"
"CHD9","CHD9-213",0.111049213467383,NA,"Vascular_cell"
"CHD9","CHD9-203",0.111049213467383,NA,"Vascular_cell"
"CYSLTR2","transcript43456.chr13.nnic",0.910154502938208,NA,"Vascular_cell"
"CYSLTR2","transcript43844.chr13.nnic",0.910154502938208,NA,"Vascular_cell"
"DDX5","DDX5-201",0.890310194181506,NA,"Vascular_cell"
"DDX5","DDX5-215",0.890310194181506,NA,"Vascular_cell"
"DLC1","DLC1-203",0.658875943335375,NA,"Vascular_cell"
"DLC1","DLC1-209",0.658875943335375,NA,"Vascular_cell"
"FLT1","FLT1-201",0.49864077038867,NA,"Vascular_cell"
"FLT1","FLT1-207",0.49864077038867,NA,"Vascular_cell"
"FLT1","FLT1-204",0.49864077038867,NA,"Vascular_cell"
"GCC2","GCC2-223",0.0551585122359823,NA,"Vascular_cell"
"GCC2","GCC2-218",0.0551585122359823,NA,"Vascular_cell"
"MALAT1","MALAT1-202",0.658875943335375,NA,"Vascular_cell"
"MALAT1","MALAT1-201",0.658875943335375,NA,"Vascular_cell"
"MALAT1","MALAT1-211",0.658875943335375,NA,"Vascular_cell"
"MALAT1","MALAT1-239",0.658875943335375,NA,"Vascular_cell"
"MAP1B","MAP1B-201",0.890310194181506,NA,"Vascular_cell"
"MAP1B","transcript99327.chr5.nnic",0.890310194181506,NA,"Vascular_cell"
"MBP","MBP-207",0.890310194181506,NA,"Vascular_cell"
"MBP","MBP-202",0.890310194181506,NA,"Vascular_cell"
"MYH11","MYH11-201",0.408341555104203,NA,"Vascular_cell"
"MYH11","MYH11-206",0.408341555104203,NA,"Vascular_cell"
"N4BP2L2","N4BP2L2-222",0.970814338266782,NA,"Vascular_cell"
"N4BP2L2","N4BP2L2-229",0.970814338266782,NA,"Vascular_cell"
"N4BP2L2","N4BP2L2-237",0.970814338266782,NA,"Vascular_cell"
"PHF3","PHF3-201",0.678615634305123,NA,"Vascular_cell"
"PHF3","PHF3-204",0.678615634305123,NA,"Vascular_cell"
"PHIP","PHIP-201",0.970814338266782,NA,"Vascular_cell"
"PHIP","PHIP-203",0.970814338266782,NA,"Vascular_cell"
"PNISR","PNISR-202",0.890310194181506,NA,"Vascular_cell"
"PNISR","PNISR-201",0.890310194181506,NA,"Vascular_cell"
"RBM25","RBM25-201",0.910154502938208,NA,"Vascular_cell"
"RBM25","RBM25-212",0.910154502938208,NA,"Vascular_cell"
"SCAPER","SCAPER-207",0.972459243181022,NA,"Vascular_cell"
"SCAPER","SCAPER-212",0.972459243181022,NA,"Vascular_cell"
"SPECC1L","SPECC1L-201",0.910154502938208,NA,"Vascular_cell"
"SPECC1L","SPECC1L-203",0.910154502938208,NA,"Vascular_cell"
"SPTBN1","SPTBN1-202",0.910154502938208,NA,"Vascular_cell"
"SPTBN1","SPTBN1-201",0.910154502938208,NA,"Vascular_cell"
"SYNE1","SYNE1-211",0.0551585122359823,NA,"Vascular_cell"
"SYNE1","SYNE1-206",0.0551585122359823,NA,"Vascular_cell"
"UBC","UBC-201",0.970814338266782,NA,"Vascular_cell"
"UBC","UBC-205",0.970814338266782,NA,"Vascular_cell"
"WSB1","WSB1-201",0.890310194181506,NA,"Vascular_cell"
"WSB1","WSB1-204",0.890310194181506,NA,"Vascular_cell"
"ZNF638","ZNF638-204",0.81384941658383,NA,"Vascular_cell"
"ZNF638","ZNF638-201",0.81384941658383,NA,"Vascular_cell"
