tissue	axis	axis_label	covariate	partial_rho	rho_with_size	null_lo	null_hi	null_p	p_bh	survives
muscle	0	axis0 (beta-sheet/TM, gene-level)	domain_binary	-0.04193092246366963	0.06495642736500937	-0.01341368732439633	0.024515760908529097	0.0	0.0	True
muscle	1	axis1 (LRR/Ig, weak)	domain_binary	0.010641527456612055	-0.025164267957930624	-0.02332705799499903	0.010892667234615825	0.349	0.42953846153846154	False
muscle	2	axis2 (Pro-turn order, weak)	domain_binary	0.06882790241918224	0.18906370825871405	0.007603288089123708	0.041766436190914524	0.0	0.0	True
muscle	3	axis3 (domain, KNOWN)	domain_binary	0.09895117488599553	0.3810678271865509	0.02019457716997115	0.05446877668306375	0.0	0.0	True
muscle	4	axis4 (helix-charge, weak)	domain_binary	0.008420810514968416	0.20257151378689642	0.003649058525545054	0.03874898857066742	0.915	0.9703225806451612	False
muscle	5	axis5 (length, KNOWN)	domain_binary	0.09017480768973672	0.08190954865293394	-0.005624398121268956	0.030448415632593935	0.0	0.0	True
muscle	6	axis6 (KRAB-ZNF/inverse-domain, weak)	domain_binary	-0.02882806869549242	-0.30668056185116865	-0.04857147562961456	-0.011256898755224102	0.523	0.5771034482758621	False
muscle	7	axis7 (acidic-helical, weak)	domain_binary	-0.00045399702322790006	0.16930430674662317	0.0019517840508355127	0.03665066968898224	0.995	0.995	False
muscle	0	axis0 (beta-sheet/TM, gene-level)	nterm_overlap	-0.023560700572795083	0.06495642736500937	-0.01798872177647136	0.009480238813324084	0.007	0.00973913043478261	False
muscle	1	axis1 (LRR/Ig, weak)	nterm_overlap	-0.008674963841252195	-0.025164267957930624	-0.015775569467220626	0.01405107857823314	0.228	0.29184	False
muscle	2	axis2 (Pro-turn order, weak)	nterm_overlap	-0.05180755640478224	0.18906370825871405	-0.018142106485678336	0.009777151307276879	0.0	0.0	True
muscle	3	axis3 (domain, KNOWN)	nterm_overlap	0.07347362272539862	0.3810678271865509	-0.017053958446217713	0.00917789834339656	0.0	0.0	True
muscle	4	axis4 (helix-charge, weak)	nterm_overlap	-0.019278537083202454	0.20257151378689642	-0.015505198676922205	0.013600589989877655	0.012	0.016	False
muscle	5	axis5 (length, KNOWN)	nterm_overlap	-0.027590632399927227	0.08190954865293394	-0.015579575114308629	0.011735163125250362	0.0	0.0	True
muscle	6	axis6 (KRAB-ZNF/inverse-domain, weak)	nterm_overlap	-0.08209233434442359	-0.30668056185116865	-0.015868771714727437	0.011450302229761409	0.0	0.0	True
muscle	7	axis7 (acidic-helical, weak)	nterm_overlap	0.00730368000649658	0.16930430674662317	-0.01743438339133777	0.01142398757275135	0.371	0.4397037037037037	False
muscle	0	axis0 (beta-sheet/TM, gene-level)	disorder_frac	0.2690806845596398	0.06495642736500937	-0.005461342606640236	0.01417532379202773	0.0	0.0	True
muscle	1	axis1 (LRR/Ig, weak)	disorder_frac	0.11313915868208836	-0.025164267957930624	-0.009728324711613587	0.012060106187141942	0.0	0.0	True
muscle	2	axis2 (Pro-turn order, weak)	disorder_frac	-0.07653124650533202	0.18906370825871405	-0.004759628102586181	0.016811398589680015	0.0	0.0	True
muscle	3	axis3 (domain, KNOWN)	disorder_frac	-0.052427103717209454	0.3810678271865509	6.496112542875689e-05	0.018736945432275214	0.0	0.0	True
muscle	4	axis4 (helix-charge, weak)	disorder_frac	-0.0005491611348558583	0.20257151378689642	-0.007260234447970354	0.014677548486040979	0.94	0.9703225806451612	False
muscle	5	axis5 (length, KNOWN)	disorder_frac	-0.16396237451340898	0.08190954865293394	-0.007108343409597668	0.014200327730338922	0.0	0.0	True
muscle	6	axis6 (KRAB-ZNF/inverse-domain, weak)	disorder_frac	0.07245029906763667	-0.30668056185116865	-0.013844086005240125	0.006667637952810594	0.0	0.0	True
muscle	7	axis7 (acidic-helical, weak)	disorder_frac	-0.05082002823605095	0.16930430674662317	-0.005915830638844519	0.0151011840835099	0.0	0.0	True
muscle	0	axis0 (beta-sheet/TM, gene-level)	resync_failure_binary	-0.0054884768188107344	0.06495642736500937	-0.012720813311070521	0.013617237121778588	0.449	0.5131428571428571	False
muscle	1	axis1 (LRR/Ig, weak)	resync_failure_binary	-0.06848797079640888	-0.025164267957930624	-0.03308695206566944	-0.005561857020411087	0.0	0.0	True
muscle	2	axis2 (Pro-turn order, weak)	resync_failure_binary	0.12215507317478283	0.18906370825871405	0.026311350343525126	0.053977097504109686	0.0	0.0	True
muscle	3	axis3 (domain, KNOWN)	resync_failure_binary	0.21270715301604332	0.3810678271865509	0.05706539422112774	0.08292290044851898	0.0	0.0	True
muscle	4	axis4 (helix-charge, weak)	resync_failure_binary	0.14314353510849787	0.20257151378689642	0.027620788718193408	0.054989112972048226	0.0	0.0	True
muscle	5	axis5 (length, KNOWN)	resync_failure_binary	0.06286314656212905	0.08190954865293394	0.004485667212073625	0.030899928755539357	0.0	0.0	True
muscle	6	axis6 (KRAB-ZNF/inverse-domain, weak)	resync_failure_binary	-0.18972365348884573	-0.30668056185116865	-0.07690471436129137	-0.05037867770840048	0.0	0.0	True
muscle	7	axis7 (acidic-helical, weak)	resync_failure_binary	0.1262599834222762	0.16930430674662317	0.02102648870539264	0.04709614288440366	0.0	0.0	True
