"gene_id","feature_id","gene_ofdr","tx_ofdr","cell_type"
"AAMP","AAMP-201",0.998096306930967,NA,"Excitatory_neuron"
"AAMP","AAMP-208",0.998096306930967,NA,"Excitatory_neuron"
"AAMP","AAMP-204",0.998096306930967,NA,"Excitatory_neuron"
"AAR2","AAR2-202",0.948006859166649,NA,"Excitatory_neuron"
"AAR2","AAR2-206",0.948006859166649,NA,"Excitatory_neuron"
"AAR2","AAR2-201",0.948006859166649,NA,"Excitatory_neuron"
"AARS1","AARS1-214",0.998096306930967,NA,"Excitatory_neuron"
"AARS1","AARS1-225",0.998096306930967,NA,"Excitatory_neuron"
"AARS1","AARS1-201",0.998096306930967,NA,"Excitatory_neuron"
"AATK","AATK-202",0.998096306930967,NA,"Excitatory_neuron"
"AATK","AATK-201",0.998096306930967,NA,"Excitatory_neuron"
"ABCA5","transcript120292.chr17.nnic",0.998096306930967,NA,"Excitatory_neuron"
"ABCA5","ABCA5-208",0.998096306930967,NA,"Excitatory_neuron"
"ABCA5","ABCA5-201",0.998096306930967,NA,"Excitatory_neuron"
"ABCA5","ABCA5-214",0.998096306930967,NA,"Excitatory_neuron"
"ABCA5","ABCA5-213",0.998096306930967,NA,"Excitatory_neuron"
"ABCA5","ABCA5-204",0.998096306930967,NA,"Excitatory_neuron"
"ABCB6","ABCB6-213",0.998096306930967,NA,"Excitatory_neuron"
"ABCB6","ABCB6-201",0.998096306930967,NA,"Excitatory_neuron"
"ABCB7","ABCB7-201",0.998096306930967,NA,"Excitatory_neuron"
"ABCB7","ABCB7-203",0.998096306930967,NA,"Excitatory_neuron"
"ABCC5","ABCC5-201",0.998096306930967,NA,"Excitatory_neuron"
"ABCC5","ABCC5-202",0.998096306930967,NA,"Excitatory_neuron"
"ABCC5","ABCC5-205",0.998096306930967,NA,"Excitatory_neuron"
"ABCC8","ABCC8-269",0.910790034440891,NA,"Excitatory_neuron"
"ABCC8","ABCC8-256",0.910790034440891,NA,"Excitatory_neuron"
"ABCC8","ABCC8-280",0.910790034440891,NA,"Excitatory_neuron"
"ABCC8","ABCC8-263",0.910790034440891,NA,"Excitatory_neuron"
"ABCC8","ABCC8-210",0.910790034440891,NA,"Excitatory_neuron"
"ABCC8","ABCC8-257",0.910790034440891,NA,"Excitatory_neuron"
"ABCC8","ABCC8-253",0.910790034440891,NA,"Excitatory_neuron"
"ABCC8","ABCC8-227",0.910790034440891,NA,"Excitatory_neuron"
"ABCG1","ABCG1-203",0.998096306930967,NA,"Excitatory_neuron"
"ABCG1","ABCG1-205",0.998096306930967,NA,"Excitatory_neuron"
"ABI1","ABI1-206",0.998096306930967,NA,"Excitatory_neuron"
"ABI1","ABI1-204",0.998096306930967,NA,"Excitatory_neuron"
"ABI1","ABI1-213",0.998096306930967,NA,"Excitatory_neuron"
"ABI2","ABI2-204",0.998096306930967,NA,"Excitatory_neuron"
"ABI2","ABI2-215",0.998096306930967,NA,"Excitatory_neuron"
"ABI2","ABI2-203",0.998096306930967,NA,"Excitatory_neuron"
"ACAA1","ACAA1-202",0.998096306930967,NA,"Excitatory_neuron"
"ACAA1","ACAA1-203",0.998096306930967,NA,"Excitatory_neuron"
"ACACA","ACACA-237",0.998096306930967,NA,"Excitatory_neuron"
"ACACA","ACACA-228",0.998096306930967,NA,"Excitatory_neuron"
"ACAD11","ACAD11-201",0.998096306930967,NA,"Excitatory_neuron"
"ACAD11","ACAD11-208",0.998096306930967,NA,"Excitatory_neuron"
"ACAD8","ACAD8-215",0.998096306930967,NA,"Excitatory_neuron"
"ACAD8","ACAD8-201",0.998096306930967,NA,"Excitatory_neuron"
"ACAD9","ACAD9-201",0.998096306930967,NA,"Excitatory_neuron"
"ACAD9","ACAD9-216",0.998096306930967,NA,"Excitatory_neuron"
"ACADM","ACADM-202",0.998096306930967,NA,"Excitatory_neuron"
"ACADM","ACADM-220",0.998096306930967,NA,"Excitatory_neuron"
"ACADM","ACADM-230",0.998096306930967,NA,"Excitatory_neuron"
"ACADM","ACADM-246",0.998096306930967,NA,"Excitatory_neuron"
"ACADVL","ACADVL-203",0.948006859166649,NA,"Excitatory_neuron"
"ACADVL","ACADVL-206",0.948006859166649,NA,"Excitatory_neuron"
"ACADVL","ACADVL-201",0.948006859166649,NA,"Excitatory_neuron"
"ACAP3","ACAP3-202",0.998096306930967,NA,"Excitatory_neuron"
"ACAP3","ACAP3-212",0.998096306930967,NA,"Excitatory_neuron"
"ACBD5","transcript61627.chr10.nic",0.998096306930967,NA,"Excitatory_neuron"
"ACBD5","ACBD5-205",0.998096306930967,NA,"Excitatory_neuron"
"ACOT7","ACOT7-204",0.998096306930967,NA,"Excitatory_neuron"
"ACOT7","ACOT7-201",0.998096306930967,NA,"Excitatory_neuron"
"ACOT8","ACOT8-212",0.998096306930967,NA,"Excitatory_neuron"
"ACOT8","ACOT8-208",0.998096306930967,NA,"Excitatory_neuron"
