#ELM_Instance_Download_Version: 1.4
#ELM_Instance_Download_Date: 2026-07-24 10:12:46.962794
#Origin: asimov
#Type: tsv
#NumInstances: 27
"Accession"	"ELMType"	"ELMIdentifier"	"ProteinName"	"Primary_Acc"	"Accessions"	"Start"	"End"	"References"	"Methods"	"InstanceLogic"	"PDB"	"Organism"
"ELMI002065"	"TRG"	"TRG_ER_diArg_1"	"ABCC8_HUMAN"	"Q09428"	"Q09428 A6NMX8 O75948 Q16583"	"648"	"651"	"10197533"	"fluorescence-activated cell sorting; mass detection of residue modification; mutation analysis; mutation disrupting interaction; over expressed level"	"true positive"	""	"Homo sapiens"
"ELMI002078"	"TRG"	"TRG_ER_diArg_1"	"ADA10_HUMAN"	"O14672"	"O14672 Q10742 Q92650"	"723"	"725"	"20100836"	"alanine scanning; colocalization; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI002070"	"TRG"	"TRG_ER_diArg_1"	"ADA22_HUMAN"	"Q9P0K1"	"Q9P0K1 O75075 O75076 Q9P0K2 Q9UIA1 Q9UKK2"	"851"	"854"	"16868027"	"colocalization; fluorescence technology; mutation analysis; sequence based prediction"	"true positive"	""	"Homo sapiens"
"ELMI002084"	"TRG"	"TRG_ER_diArg_1"	"C8ZIX9_YEAS8"	"C8ZIX9"	"C8ZIX9"	"8"	"11"	"18083825"	"colocalization; green fluorescent protein tag; mutation analysis; subcellular preparation"	"true positive"	""	"Saccharomyces cerevisiae EC1118"
"ELMI002086"	"TRG"	"TRG_ER_diArg_1"	"CFTR_HUMAN"	"P13569"	"P13569 Q20BG8 Q20BH2 Q2I0A1 Q2I102"	"553"	"556"	"10445036"	"colocalization; mutation analysis; western blot"	"false positive"	""	"Homo sapiens"
"ELMI002074"	"TRG"	"TRG_ER_diArg_1"	"GABR1_HUMAN"	"Q9UBS5"	"Q9UBS5 B0UXY7 O95375 O95468 O95975 O96022 Q5STL4 Q5SUJ8 Q5SUL3 Q86W60 Q9UQQ0"	"923"	"926"	"10939334"	"colocalization; fluorescence technology; mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI002077"	"TRG"	"TRG_ER_diArg_1"	"GPAA1_HUMAN"	"O43292"	"O43292 Q9NSS0 Q9UQ31"	"9"	"11"	"15713669"	"alanine scanning; colocalization; mutation analysis"	"true negative"	""	"Homo sapiens"
"ELMI002071"	"TRG"	"TRG_ER_diArg_1"	"GPR15_HUMAN"	"P49685"	"P49685 Q3MIL4 Q6ISN6"	"352"	"354"	"21189250"	"alanine scanning; anti tag coimmunoprecipitation; coimmunoprecipitation; colocalization; mutation analysis; pull down"	"true positive"	""	"Homo sapiens"
"ELMI002076"	"TRG"	"TRG_ER_diArg_1"	"GRIK5_HUMAN"	"Q16478"	"Q16478 Q8WWG8"	"862"	"865"	"12878702"	"alanine scanning; anti tag coimmunoprecipitation; colocalization; fluorescence technology; mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI002072"	"TRG"	"TRG_ER_diArg_1"	"HG2A_HUMAN"	"P04233"	"P04233 A8K7R1 B4DNE8 D3DQG3 D3DQG4 Q14597 Q29832 Q5U0J8 Q8SNA0 Q8WLP6"	"3"	"5"	"8157008"	"coimmunoprecipitation; colocalization; fluorescence technology; mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI002089"	"TRG"	"TRG_ER_diArg_1"	"HMDH_NICSY"	"Q01559"	"Q01559"	"3"	"6"	"8970721"	"sequence based prediction"	"true positive"	""	"Nicotiana sylvestris"
"ELMI002067"	"TRG"	"TRG_ER_diArg_1"	"IRK11_HUMAN"	"Q14654"	"Q14654 Q2M1H7 Q58EX3"	"368"	"371"	"10197533 12699619"	"affinity chromatography technology; competition binding; fluorescence-activated cell sorting; green fluorescent protein tag; mass detection of residue modification; mutation analysis; mutation disrupting interaction; over expressed level; western blot"	"true positive"	""	"Homo sapiens"
