gene	n_isoforms	n_pos_go	mean_go_corr	fsi	top_consistency	specialization_ratio	has_domain_loss	scenario
ENSG00000162664.17	4	3	0.8519	0.1481	0.6667	0.4706	False	Mixed
ENSG00000066827.16	6	4	1.0000	0.0000	1.0000	1.3120	True	S1
ENSG00000196150.14	5	5	0.5500	0.4500	0.6000	0.2170	True	Mixed
ENSG00000172785.19	6	2	-0.8235	1.8235	0.5000	0.1487	False	S2
ENSG00000198722.15	3	5	0.8000	0.2000	1.0000	0.9411	True	S1
ENSG00000147996.17	6	2	-0.2000	1.2000	0.5000	1.0077	False	S2
ENSG00000119139.21	8	6	0.2933	0.7067	0.8333	0.0164	True	S2
ENSG00000167081.18	6	6	0.8333	0.1667	0.8333	0.0376	True	S1
ENSG00000136828.19	4	2	1.0000	0.0000	1.0000	10.8067	True	S1
ENSG00000198917.13	4	2	1.0000	0.0000	1.0000	3.4376	False	S1
ENSG00000015171.21	6	5	0.0588	0.9412	0.4000	0.2307	False	S2
ENSG00000134452.20	3	6	-0.1000	1.1000	0.5000	0.0055	False	S2
ENSG00000065675.16	4	5	1.0000	0.0000	1.0000	0.0726	False	S1
ENSG00000148481.14	5	2	-1.0000	2.0000	0.5000	1.0564	False	S2
ENSG00000150054.19	3	4	0.0000	1.0000	0.7500	0.0236	True	S2
ENSG00000095794.21	7	8	0.4872	0.5128	0.3750	0.6019	True	Mixed
ENSG00000196693.15	4	3	-0.3333	1.3333	0.6667	0.0030	True	S2
ENSG00000198298.13	3	5	-0.2000	1.2000	0.6000	0.0022	True	S2
ENSG00000165476.14	3	2	-1.0000	2.0000	0.5000	0.4351	False	S2
ENSG00000138303.19	5	2	-0.2500	1.2500	0.5000	0.0769	False	S2
ENSG00000188716.6	3	2	1.0000	0.0000	1.0000	0.0153	False	S1
ENSG00000107566.14	3	2	1.0000	0.0000	1.0000	0.0209	False	S1
ENSG00000107821.15	4	2	-0.7778	1.7778	0.5000	0.0629	True	S2
ENSG00000116455.14	5	3	1.0000	0.0000	1.0000	0.0268	True	S1
ENSG00000107882.12	7	4	0.9333	0.0667	0.7500	1.0242	False	Mixed
ENSG00000198799.12	5	3	0.2917	0.7083	0.6667	0.5928	True	S2
ENSG00000107954.11	4	3	1.0000	0.0000	1.0000	0.0024	True	S1
ENSG00000107679.15	4	2	1.0000	0.0000	1.0000	0.0088	False	S1
ENSG00000134253.10	7	3	0.2889	0.7111	0.6667	0.3635	True	S2
ENSG00000177963.15	8	3	0.7333	0.2667	0.6667	0.0628	False	Mixed
ENSG00000142082.15	3	4	0.7500	0.2500	1.0000	0.2591	False	S1
ENSG00000166387.14	4	2	-0.3333	1.3333	0.5000	0.0029	True	S2
ENSG00000070081.18	4	4	-0.3333	1.3333	0.5000	0.0806	True	S2
ENSG00000129158.11	4	2	0.8000	0.2000	0.5000	0.1128	True	Mixed
ENSG00000121671.12	7	4	1.0000	0.0000	1.0000	6.6769	False	S1
ENSG00000149016.16	3	4	0.2500	0.7500	0.7500	0.4726	True	S2
ENSG00000173465.8	5	2	0.2500	0.7500	1.0000	0.1771	False	S2
ENSG00000172830.13	4	2	-1.0000	2.0000	0.5000	0.0041	True	S2
ENSG00000110066.16	7	2	-0.1765	1.1765	0.5000	0.0365	True	S2
ENSG00000143067.5	3	4	-0.3333	1.3333	0.5000	0.0004	True	S2
ENSG00000137486.17	4	7	0.3862	0.6138	0.7143	0.0013	False	Mixed
ENSG00000149269.10	5	8	-0.0714	1.0714	0.6250	0.0019	True	S2
ENSG00000165526.9	5	2	-0.6667	1.6667	0.5000	1.3920	False	S2
ENSG00000120451.11	3	2	-1.0000	2.0000	0.5000	0.3385	False	S2
ENSG00000171823.7	3	2	1.0000	0.0000	1.0000	0.0000	True	S1
ENSG00000166532.16	6	2	1.0000	0.0000	1.0000	0.2300	False	S1
ENSG00000004700.16	3	4	0.0000	1.0000	0.7500	0.0334	False	S2
ENSG00000134283.18	12	3	0.5485	0.4515	0.6667	0.8858	False	Mixed
ENSG00000167528.13	4	3	1.0000	0.0000	1.0000	0.1510	True	S1
ENSG00000139624.14	3	2	1.0000	0.0000	1.0000	0.0474	True	S1
ENSG00000123358.20	6	12	0.6667	0.3333	0.9167	0.2307	True	Mixed
ENSG00000265491.5	4	3	-0.3333	1.3333	0.6667	0.0114	False	S2
ENSG00000139613.12	5	3	-0.3333	1.3333	0.6667	0.0023	False	S2
ENSG00000131788.16	3	3	0.6667	0.3333	0.6667	4.2015	True	Mixed
ENSG00000135093.13	3	2	0.5000	0.5000	1.0000	0.3694	False	Mixed
ENSG00000111445.14	3	5	-0.0500	1.0500	0.4000	0.0656	False	S2
ENSG00000110917.9	8	2	0.3333	0.6667	1.0000	0.0090	False	Mixed
ENSG00000110931.19	11	7	0.8149	0.1851	0.5714	1.3884	True	Mixed
ENSG00000033030.16	3	4	0.0000	1.0000	0.7500	0.5699	True	S2
ENSG00000072609.18	7	3	-0.3333	1.3333	0.6667	0.0011	True	S2
ENSG00000196387.10	5	6	0.3333	0.6667	0.6667	0.6524	True	Mixed
