"gene_id","feature_id","gene_ofdr","tx_ofdr","cell_type"
"ACSL3","ACSL3-201",0.994986006060379,NA,"Astrocyte"
"ACSL3","ACSL3-202",0.994986006060379,NA,"Astrocyte"
"ACSL6","ACSL6-204",0.929421289696732,NA,"Astrocyte"
"ACSL6","ACSL6-224",0.929421289696732,NA,"Astrocyte"
"ACSL6","ACSL6-227",0.929421289696732,NA,"Astrocyte"
"ACSS1","ACSS1-204",0.994986006060379,NA,"Astrocyte"
"ACSS1","ACSS1-205",0.994986006060379,NA,"Astrocyte"
"ACSS1","ACSS1-201",0.994986006060379,NA,"Astrocyte"
"ACTB","ACTB-206",0.902261475550681,NA,"Astrocyte"
"ACTB","ACTB-217",0.902261475550681,NA,"Astrocyte"
"ACTG1","ACTG1-205",0.912550397065065,NA,"Astrocyte"
"ACTG1","ACTG1-206",0.912550397065065,NA,"Astrocyte"
"ACTG1","ACTG1-213",0.912550397065065,NA,"Astrocyte"
"ADAR","transcript238794.chr1.nic",0.664693050965788,NA,"Astrocyte"
"ADAR","ADAR-227",0.664693050965788,NA,"Astrocyte"
"ADCY2","ADCY2-201",0.994986006060379,NA,"Astrocyte"
"ADCY2","ADCY2-204",0.994986006060379,NA,"Astrocyte"
"ADD3","ADD3-201",0.994986006060379,NA,"Astrocyte"
"ADD3","ADD3-203",0.994986006060379,NA,"Astrocyte"
"ADGRA3","ADGRA3-203",0.731420669708871,NA,"Astrocyte"
"ADGRA3","ADGRA3-202",0.731420669708871,NA,"Astrocyte"
"ADGRV1","ADGRV1-227",0.921578375710384,NA,"Astrocyte"
"ADGRV1","ADGRV1-218",0.921578375710384,NA,"Astrocyte"
"ADGRV1","ADGRV1-232",0.921578375710384,NA,"Astrocyte"
"ADGRV1","ADGRV1-234",0.921578375710384,NA,"Astrocyte"
"ADGRV1","ADGRV1-201",0.921578375710384,NA,"Astrocyte"
"ADGRV1","ADGRV1-210",0.921578375710384,NA,"Astrocyte"
"ADGRV1","ADGRV1-208",0.921578375710384,NA,"Astrocyte"
"ADGRV1","ADGRV1-236",0.921578375710384,NA,"Astrocyte"
"AFF4","AFF4-203",0.570545382600822,NA,"Astrocyte"
"AFF4","AFF4-201",0.570545382600822,NA,"Astrocyte"
"AGT","AGT-204",0.994986006060379,NA,"Astrocyte"
"AGT","AGT-206",0.994986006060379,NA,"Astrocyte"
"AGT","AGT-211",0.994986006060379,NA,"Astrocyte"
"AGT","AGT-201",0.994986006060379,NA,"Astrocyte"
"AHCYL1","AHCYL1-201",0.994986006060379,NA,"Astrocyte"
"AHCYL1","AHCYL1-202",0.994986006060379,NA,"Astrocyte"
"AHI1","AHI1-204",0.994986006060379,NA,"Astrocyte"
"AHI1","AHI1-201",0.994986006060379,NA,"Astrocyte"
"AKAP6","AKAP6-201",0.994986006060379,NA,"Astrocyte"
"AKAP6","AKAP6-213",0.994986006060379,NA,"Astrocyte"
"AKAP9","AKAP9-212",0.912550397065065,NA,"Astrocyte"
"AKAP9","AKAP9-217",0.912550397065065,NA,"Astrocyte"
"ANGPTL4","ANGPTL4-201",0.809224752691822,NA,"Astrocyte"
"ANGPTL4","ANGPTL4-202",0.809224752691822,NA,"Astrocyte"
"ANKRD12","ANKRD12-201",0.994986006060379,NA,"Astrocyte"
"ANKRD12","ANKRD12-203",0.994986006060379,NA,"Astrocyte"
"ANKRD26","ANKRD26-202",0.994986006060379,NA,"Astrocyte"
"ANKRD26","ANKRD26-201",0.994986006060379,NA,"Astrocyte"
"ANKRD36C","ANKRD36C-201",0.74559791201988,NA,"Astrocyte"
"ANKRD36C","ANKRD36C-202",0.74559791201988,NA,"Astrocyte"
"AP2M1","AP2M1-202",0.734533170483322,NA,"Astrocyte"
"AP2M1","AP2M1-208",0.734533170483322,NA,"Astrocyte"
"APC","APC-201",0.994986006060379,NA,"Astrocyte"
"APC","APC-205",0.994986006060379,NA,"Astrocyte"
"APLP1","APLP1-212",0.892913969668378,NA,"Astrocyte"
"APLP1","APLP1-201",0.892913969668378,NA,"Astrocyte"
"APP","APP-204",0.731420669708871,NA,"Astrocyte"
"APP","APP-202",0.731420669708871,NA,"Astrocyte"
"APP","APP-201",0.731420669708871,NA,"Astrocyte"
"AQP4","AQP4-205",0.994986006060379,NA,"Astrocyte"
"AQP4","AQP4-208",0.994986006060379,NA,"Astrocyte"
"ARAP2","ARAP2-201",0.731420669708871,NA,"Astrocyte"
"ARAP2","ARAP2-206",0.731420669708871,NA,"Astrocyte"
"ARHGAP5","ARHGAP5-209",0.731420669708871,NA,"Astrocyte"
"ARHGAP5","ARHGAP5-202",0.731420669708871,NA,"Astrocyte"
"ARHGEF4","ARHGEF4-208",0.731420669708871,NA,"Astrocyte"
"ARHGEF4","ARHGEF4-205",0.731420669708871,NA,"Astrocyte"
"ARHGEF4","ARHGEF4-203",0.731420669708871,NA,"Astrocyte"
"ARID4B","ARID4B-201",0.731420669708871,NA,"Astrocyte"
"ARID4B","ARID4B-208",0.731420669708871,NA,"Astrocyte"
"ARID4B","ARID4B-202",0.731420669708871,NA,"Astrocyte"
"ASB3","ASB3-204",0.994986006060379,NA,"Astrocyte"
"ASB3","ASB3-201",0.994986006060379,NA,"Astrocyte"
"ASPH","ASPH-203",0.921578375710384,NA,"Astrocyte"
"ASPH","ASPH-207",0.921578375710384,NA,"Astrocyte"
"ASPH","ASPH-211",0.921578375710384,NA,"Astrocyte"
"ASPH","ASPH-201",0.921578375710384,NA,"Astrocyte"
"ATP13A4","ATP13A4-202",0.984683197613098,NA,"Astrocyte"
"ATP13A4","ATP13A4-211",0.984683197613098,NA,"Astrocyte"
"ATP5F1A","ATP5F1A-201",0.994986006060379,NA,"Astrocyte"
"ATP5F1A","ATP5F1A-202",0.994986006060379,NA,"Astrocyte"
"ATRX","ATRX-202",0.994986006060379,NA,"Astrocyte"
"ATRX","ATRX-213",0.994986006060379,NA,"Astrocyte"
"ATRX","ATRX-214",0.994986006060379,NA,"Astrocyte"
"ATRX","ATRX-201",0.994986006060379,NA,"Astrocyte"
"BAZ2B","BAZ2B-203",0.544196292500983,NA,"Astrocyte"
"BAZ2B","BAZ2B-202",0.544196292500983,NA,"Astrocyte"
"BBS2","BBS2-201",0.87054289532508,NA,"Astrocyte"
"BBS2","BBS2-278",0.87054289532508,NA,"Astrocyte"
"BCAN","BCAN-201",0.731420669708871,NA,"Astrocyte"
"BCAN","BCAN-202",0.731420669708871,NA,"Astrocyte"
"BCLAF1","BCLAF1-216",0.912550397065065,NA,"Astrocyte"
"BCLAF1","BCLAF1-206",0.912550397065065,NA,"Astrocyte"
"BCLAF1","BCLAF1-214",0.912550397065065,NA,"Astrocyte"
"BCLAF1","BCLAF1-201",0.912550397065065,NA,"Astrocyte"
"BIRC6","BIRC6-209",0.731420669708871,NA,"Astrocyte"
"BIRC6","BIRC6-201",0.731420669708871,NA,"Astrocyte"
"BLTP1","BLTP1-217",0.415830476534741,NA,"Astrocyte"
"BLTP1","BLTP1-219",0.415830476534741,NA,"Astrocyte"
"BMS1","transcript93519.chr10.nnic",0.994986006060379,NA,"Astrocyte"
"BMS1","BMS1-201",0.994986006060379,NA,"Astrocyte"
"BRWD1","BRWD1-203",0.994986006060379,NA,"Astrocyte"
"BRWD1","BRWD1-202",0.994986006060379,NA,"Astrocyte"
"BSCL2","BSCL2-227",0.892913969668378,NA,"Astrocyte"
"BSCL2","BSCL2-236",0.892913969668378,NA,"Astrocyte"
"BSCL2","BSCL2-203",0.892913969668378,NA,"Astrocyte"
"BTBD8","BTBD8-205",0.695287447259889,NA,"Astrocyte"
"BTBD8","BTBD8-204",0.695287447259889,NA,"Astrocyte"
"C1R","C1R-214",0.731420669708871,NA,"Astrocyte"
"C1R","C1R-206",0.731420669708871,NA,"Astrocyte"
"C6orf62","C6orf62-202",0.994986006060379,NA,"Astrocyte"
"C6orf62","C6orf62-203",0.994986006060379,NA,"Astrocyte"
"CADM1","CADM1-206",0.912550397065065,NA,"Astrocyte"
"CADM1","CADM1-201",0.912550397065065,NA,"Astrocyte"
"CAPN2","CAPN2-201",0.912550397065065,NA,"Astrocyte"
"CAPN2","CAPN2-206",0.912550397065065,NA,"Astrocyte"
"CAPN2","CAPN2-209",0.912550397065065,NA,"Astrocyte"
"CCDC144BP","CCDC144BP-212",0.994986006060379,NA,"Astrocyte"
"CCDC144BP","CCDC144BP-208",0.994986006060379,NA,"Astrocyte"
"CCDC186","CCDC186-207",0.86554941292322,NA,"Astrocyte"
"CCDC186","CCDC186-203",0.86554941292322,NA,"Astrocyte"
"CCDC88A","CCDC88A-255",0.994986006060379,NA,"Astrocyte"
"CCDC88A","CCDC88A-244",0.994986006060379,NA,"Astrocyte"
"CCDC88A","CCDC88A-242",0.994986006060379,NA,"Astrocyte"
"CCNL2","CCNL2-217",0.994986006060379,NA,"Astrocyte"
"CCNL2","CCNL2-203",0.994986006060379,NA,"Astrocyte"
"CCP110","CCP110-201",0.994986006060379,NA,"Astrocyte"
"CCP110","CCP110-203",0.994986006060379,NA,"Astrocyte"
