gene	isoform	isoform_idx	go_idx	go_id	go_name	pred_score	gene_mean	excess	feature_type	domain_count	seq_length	n_gene_isoforms	type
ENSG00000162664	ENST00000340281.9	10450	15	GO:0003723	RNA binding	0.7632	0.6779	0.0853	Type0_NoDomain	0	582	4	specialization
ENSG00000066827	ENST00000377838.8	15930	3	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.6903	0.4321	0.2582	Type3_SameDomain	1	1243	6	specialization
ENSG00000066827	ENST00000377838.8	15930	4	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	0.504	0.3981	0.1059	Type3_SameDomain	1	1243	6	specialization
ENSG00000066827	ENST00000377838.8	15930	6	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	0.4966	0.4076	0.089	Type3_SameDomain	1	1243	6	specialization
ENSG00000066827	ENST00000377838.8	15931	3	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.6903	0.4321	0.2582	Type3_SameDomain	1	1243	6	specialization
ENSG00000066827	ENST00000377838.8	15931	4	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	0.504	0.3981	0.1059	Type3_SameDomain	1	1243	6	specialization
ENSG00000066827	ENST00000377838.8	15931	6	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	0.4966	0.4076	0.089	Type3_SameDomain	1	1243	6	specialization
ENSG00000167632	BambuTx1003	5	39	GO:0005515	protein binding	0.6492	0.5962	0.053	Type0_NoDomain	0	211	11	specialization
ENSG00000167632	BambuTx1003	6	39	GO:0005515	protein binding	0.6492	0.5962	0.053	Type0_NoDomain	0	211	11	specialization
ENSG00000167632	BambuTx1003	7	39	GO:0005515	protein binding	0.6492	0.5962	0.053	Type0_NoDomain	0	211	11	specialization
ENSG00000167632	ENST00000438773.4	21426	39	GO:0005515	protein binding	0.7238	0.5962	0.1276	Type0_NoDomain	0	1148	11	specialization
ENSG00000167632	ENST00000438773.4	21427	39	GO:0005515	protein binding	0.7238	0.5962	0.1276	Type0_NoDomain	0	1148	11	specialization
ENSG00000167632	ENST00000438773.4	21428	39	GO:0005515	protein binding	0.7238	0.5962	0.1276	Type0_NoDomain	0	1148	11	specialization
ENSG00000167632	ENST00000438773.4	21429	39	GO:0005515	protein binding	0.7238	0.5962	0.1276	Type0_NoDomain	0	1148	11	specialization
ENSG00000160959	ENST00000528528.1	26315	39	GO:0005515	protein binding	0.6056	0.4592	0.1464	Type3_SameDomain	1	244	8	specialization
ENSG00000196150	BambuTx1010	13	3	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.6754	0.6128	0.0626	Type1_DomainLoss	2	555	5	specialization
ENSG00000196150	BambuTx1010	13	4	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	0.7794	0.7105	0.0689	Type1_DomainLoss	2	555	5	specialization
ENSG00000196150	BambuTx1010	14	3	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.6754	0.6128	0.0626	Type1_DomainLoss	2	555	5	specialization
ENSG00000196150	BambuTx1010	14	4	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	0.7794	0.7105	0.0689	Type1_DomainLoss	2	555	5	specialization
ENSG00000196150	ENST00000292579.11	6173	3	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.6666	0.6128	0.0537	Type3_SameDomain	2	560	5	specialization
ENSG00000196150	ENST00000292579.11	6173	4	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	0.7796	0.7105	0.0691	Type3_SameDomain	2	560	5	specialization
ENSG00000196150	ENST00000417550.7	19947	3	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.6754	0.6128	0.0626	Type3_SameDomain	2	555	5	specialization
ENSG00000196150	ENST00000417550.7	19947	4	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	0.7794	0.7105	0.0689	Type3_SameDomain	2	555	5	specialization
ENSG00000172785	ENST00000314367.14	8109	47	GO:0008270	zinc ion binding	0.8578	0.7953	0.0624	Type0_NoDomain	1	359	6	specialization
ENSG00000172785	ENST00000382393.2	16803	39	GO:0005515	protein binding	0.5158	0.4475	0.0683	Type0_NoDomain	0	113	6	specialization
ENSG00000165269	BambuTx1020	19	39	GO:0005515	protein binding	0.8489	0.7215	0.1273	Type0_NoDomain	0	273	5	specialization
ENSG00000165269	ENST00000297988.6	6630	39	GO:0005515	protein binding	0.8063	0.7215	0.0847	Type0_NoDomain	0	342	5	specialization
ENSG00000165269	ENST00000377425.8	15850	39	GO:0005515	protein binding	0.8744	0.7215	0.1528	Type0_NoDomain	0	216	5	specialization
ENSG00000137094	BambuTx1024	21	39	GO:0005515	protein binding	0.6975	0.6095	0.088	Type1_DomainLoss	2	348	6	specialization
ENSG00000137094	BambuTx1024	22	39	GO:0005515	protein binding	0.6975	0.6095	0.088	Type1_DomainLoss	2	348	6	specialization
ENSG00000137094	ENST00000541010.5	27138	39	GO:0005515	protein binding	0.6975	0.6095	0.088	Type3_SameDomain	2	348	6	specialization
ENSG00000137094	ENST00000541010.5	27139	39	GO:0005515	protein binding	0.6975	0.6095	0.088	Type3_SameDomain	2	348	6	specialization
ENSG00000198722	ENST00000378495.7	16065	38	GO:0005509	calcium ion binding	0.671	0.3034	0.3676	Type3_SameDomain	2	1591	3	specialization
ENSG00000198722	ENST00000378495.7	16065	39	GO:0005515	protein binding	0.7349	0.666	0.0688	Type3_SameDomain	2	1591	3	specialization
ENSG00000198722	ENST00000378495.7	16065	40	GO:0005516	calmodulin binding	0.3774	0.1978	0.1796	Type3_SameDomain	2	1591	3	specialization
ENSG00000198722	ENST00000378495.7	16065	43	GO:0005543	phospholipid binding	0.5712	0.2585	0.3127	Type3_SameDomain	2	1591	3	specialization
ENSG00000198722	ENST00000378495.7	16065	57	GO:0031267	small GTPase binding	0.5166	0.3324	0.1842	Type3_SameDomain	2	1591	3	specialization
ENSG00000147996	ENST00000377384.5	15833	20	GO:0003924	GTPase activity	0.7851	0.6574	0.1277	Type0_NoDomain	0	113	6	specialization
ENSG00000147996	ENST00000382405.8	16806	47	GO:0008270	zinc ion binding	0.8448	0.575	0.2698	Type0_NoDomain	1	395	6	specialization
ENSG00000158169	ENST00000289081.8	5968	39	GO:0005515	protein binding	0.7269	0.5794	0.1475	Type0_NoDomain	0	558	10	specialization
ENSG00000158169	ENST00000289081.8	5969	39	GO:0005515	protein binding	0.7269	0.5794	0.1475	Type0_NoDomain	0	558	10	specialization
ENSG00000070159	BambuTx1070	63	39	GO:0005515	protein binding	0.9098	0.7119	0.1979	Type2_PartialTrunc	2	511	7	specialization
ENSG00000070159	ENST00000412145.5	19666	39	GO:0005515	protein binding	0.8081	0.7119	0.0962	Type2_PartialTrunc	4	782	7	specialization
ENSG00000070159	ENST00000412145.5	19667	39	GO:0005515	protein binding	0.8081	0.7119	0.0962	Type2_PartialTrunc	4	782	7	specialization
ENSG00000070159	ENST00000446349.5	21905	39	GO:0005515	protein binding	0.8144	0.7119	0.1025	Type2_PartialTrunc	4	737	7	specialization
ENSG00000070159	ENST00000446349.5	21906	39	GO:0005515	protein binding	0.8144	0.7119	0.1025	Type2_PartialTrunc	4	737	7	specialization
ENSG00000122435	ENST00000482437.5	23973	39	GO:0005515	protein binding	0.7133	0.5564	0.1569	Type0_NoDomain	0	176	3	specialization
ENSG00000136828	BambuTx1080	72	30	GO:0005085	guanyl-nucleotide exchange factor activity	0.8791	0.4486	0.4305	Type3_SameDomain	2	705	4	specialization
ENSG00000136828	BambuTx1080	72	39	GO:0005515	protein binding	0.6575	0.4337	0.2238	Type3_SameDomain	2	705	4	specialization
ENSG00000136828	BambuTx1081	73	30	GO:0005085	guanyl-nucleotide exchange factor activity	0.8915	0.4486	0.4429	Type3_SameDomain	2	683	4	specialization
ENSG00000136828	BambuTx1081	73	39	GO:0005515	protein binding	0.6613	0.4337	0.2277	Type3_SameDomain	2	683	4	specialization
ENSG00000136877	ENST00000373225.7	14939	41	GO:0005524	ATP binding	0.8755	0.8114	0.0641	Type0_NoDomain	0	537	4	specialization
ENSG00000198917	BambuTx1089	80	15	GO:0003723	RNA binding	0.6937	0.3691	0.3246	Type0_NoDomain	0	196	4	specialization
ENSG00000198917	BambuTx1089	80	39	GO:0005515	protein binding	0.9149	0.6694	0.2456	Type0_NoDomain	0	196	4	specialization
ENSG00000198917	BambuTx1089	81	15	GO:0003723	RNA binding	0.6937	0.3691	0.3246	Type0_NoDomain	0	196	4	specialization
ENSG00000198917	BambuTx1089	81	39	GO:0005515	protein binding	0.9149	0.6694	0.2456	Type0_NoDomain	0	196	4	specialization
ENSG00000187713	BambuTx1097	86	39	GO:0005515	protein binding	0.5967	0.4833	0.1133	Type0_NoDomain	0	216	5	specialization
ENSG00000187713	BambuTx1097	87	39	GO:0005515	protein binding	0.5967	0.4833	0.1133	Type0_NoDomain	0	216	5	specialization
ENSG00000187713	BambuTx1097	88	39	GO:0005515	protein binding	0.5967	0.4833	0.1133	Type0_NoDomain	0	216	5	specialization
ENSG00000197070	ENST00000371421.9	14374	39	GO:0005515	protein binding	0.8195	0.7433	0.0762	Type3_SameDomain	1	433	2	specialization
ENSG00000197070	ENST00000371421.9	14374	58	GO:0031625	ubiquitin protein ligase binding	0.603	0.3072	0.2958	Type3_SameDomain	1	433	2	specialization
ENSG00000197070	ENST00000371421.9	14374	62	GO:0042802	identical protein binding	0.3438	0.2365	0.1074	Type3_SameDomain	1	433	2	specialization
ENSG00000197070	ENST00000371421.9	14374	80	GO:1990756	ubiquitin-like ligase-substrate adaptor activity	0.5248	0.2644	0.2604	Type3_SameDomain	1	433	2	specialization
ENSG00000015171	BambuTx1100	91	10	GO:0003690	double-stranded DNA binding	0.6534	0.5955	0.0579	Type3_SameDomain	2	548	6	specialization
ENSG00000015171	ENST00000381591.5	16678	47	GO:0008270	zinc ion binding	0.7407	0.6673	0.0734	Type3_SameDomain	2	602	6	specialization
ENSG00000015171	ENST00000381604.9	16679	47	GO:0008270	zinc ion binding	0.7407	0.6673	0.0734	Type3_SameDomain	2	602	6	specialization
ENSG00000015171	ENST00000402736.5	18918	47	GO:0008270	zinc ion binding	0.7195	0.6673	0.0522	Type3_SameDomain	2	571	6	specialization
ENSG00000148481	ENST00000277632.8	5443	26	GO:0004843	cysteine-type deubiquitinase activity	0.7737	0.423	0.3506	Type0_NoDomain	0	445	5	specialization
ENSG00000148481	ENST00000477891.1	23741	26	GO:0004843	cysteine-type deubiquitinase activity	0.6521	0.423	0.229	Type0_NoDomain	0	272	5	specialization
ENSG00000148481	ENST00000477891.1	23742	26	GO:0004843	cysteine-type deubiquitinase activity	0.6521	0.423	0.229	Type0_NoDomain	0	272	5	specialization
ENSG00000095794	ENST00000460270.5	22825	5	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	0.82	0.7416	0.0784	Type3_SameDomain	1	125	7	specialization
ENSG00000095794	ENST00000461968.5	22914	2	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	0.7995	0.7436	0.0558	Type3_SameDomain	1	102	7	specialization
ENSG00000095794	ENST00000461968.5	22914	81	GO:1990837	sequence-specific double-stranded DNA binding	0.8599	0.8079	0.0519	Type3_SameDomain	1	102	7	specialization
ENSG00000095794	ENST00000474931.5	23586	5	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	0.8004	0.7416	0.0589	Type3_SameDomain	1	112	7	specialization
ENSG00000165476	ENST00000373758.5	15083	44	GO:0008017	microtubule binding	0.7433	0.5583	0.185	Type0_NoDomain	0	255	3	specialization
ENSG00000134255	ENST00000480324.5	23867	39	GO:0005515	protein binding	0.6782	0.5834	0.0948	Type0_NoDomain	1	173	5	specialization
ENSG00000188716	ENST00000338487.6	10258	63	GO:0042803	protein homodimerization activity	0.1965	0.1289	0.0675	Type3_SameDomain	1	256	3	specialization
ENSG00000293542	ENST00000713561.1	36207	39	GO:0005515	protein binding	0.7803	0.6881	0.0921	Type3_SameDomain	1	248	3	specialization
ENSG00000107821	ENST00000370200.6	14071	72	GO:0048018	receptor ligand activity	0.2271	0.1541	0.0729	Type3_SameDomain	3	304	4	specialization
ENSG00000107821	ENST00000370200.6	14072	72	GO:0048018	receptor ligand activity	0.2271	0.1541	0.0729	Type3_SameDomain	3	304	4	specialization
ENSG00000107821	ENST00000477979.5	23750	39	GO:0005515	protein binding	0.7947	0.7066	0.0881	Type2_PartialTrunc	1	145	4	specialization
ENSG00000107882	ENST00000369899.6	13994	14	GO:0003714	transcription corepressor activity	0.3305	0.166	0.1645	Type0_NoDomain	0	433	7	specialization
ENSG00000107882	ENST00000369899.6	13994	39	GO:0005515	protein binding	0.734	0.5312	0.2028	Type0_NoDomain	0	433	7	specialization
ENSG00000107882	ENST00000369899.6	13994	53	GO:0019901	protein kinase binding	0.334	0.196	0.138	Type0_NoDomain	0	433	7	specialization
ENSG00000107882	ENST00000369899.6	13994	56	GO:0030674	protein-macromolecule adaptor activity	0.3797	0.1971	0.1825	Type0_NoDomain	0	433	7	specialization
ENSG00000107882	ENST00000369902.8	13995	14	GO:0003714	transcription corepressor activity	0.3587	0.166	0.1927	Type0_NoDomain	0	484	7	specialization
ENSG00000107882	ENST00000369902.8	13995	39	GO:0005515	protein binding	0.7349	0.5312	0.2037	Type0_NoDomain	0	484	7	specialization
ENSG00000107882	ENST00000369902.8	13995	53	GO:0019901	protein kinase binding	0.287	0.196	0.091	Type0_NoDomain	0	484	7	specialization
ENSG00000107882	ENST00000369902.8	13995	56	GO:0030674	protein-macromolecule adaptor activity	0.4172	0.1971	0.22	Type0_NoDomain	0	484	7	specialization
ENSG00000107882	ENST00000369902.8	13996	14	GO:0003714	transcription corepressor activity	0.3587	0.166	0.1927	Type0_NoDomain	0	484	7	specialization
ENSG00000107882	ENST00000369902.8	13996	39	GO:0005515	protein binding	0.7349	0.5312	0.2037	Type0_NoDomain	0	484	7	specialization
ENSG00000107882	ENST00000369902.8	13996	53	GO:0019901	protein kinase binding	0.287	0.196	0.091	Type0_NoDomain	0	484	7	specialization
ENSG00000107882	ENST00000369902.8	13996	56	GO:0030674	protein-macromolecule adaptor activity	0.4172	0.1971	0.22	Type0_NoDomain	0	484	7	specialization
ENSG00000198799	ENST00000361127.6	12795	60	GO:0038023	signaling receptor activity	0.5594	0.4223	0.1371	Type1_DomainLoss	0	1065	5	specialization
ENSG00000198799	ENST00000361127.6	12796	60	GO:0038023	signaling receptor activity	0.5594	0.4223	0.1371	Type1_DomainLoss	0	1065	5	specialization
ENSG00000198799	ENST00000361127.6	12797	60	GO:0038023	signaling receptor activity	0.5594	0.4223	0.1371	Type1_DomainLoss	0	1065	5	specialization
ENSG00000198799	ENST00000492207.5	24459	39	GO:0005515	protein binding	0.6841	0.5746	0.1096	Type3_SameDomain	2	658	5	specialization
ENSG00000134253	BambuTx122	176	77	GO:0061630	ubiquitin protein ligase activity	0.7021	0.5634	0.1388	Type3_SameDomain	3	580	7	specialization
ENSG00000134253	BambuTx122	177	77	GO:0061630	ubiquitin protein ligase activity	0.7021	0.5634	0.1388	Type3_SameDomain	3	580	7	specialization
ENSG00000134253	ENST00000256649.9	3489	77	GO:0061630	ubiquitin protein ligase activity	0.7021	0.5634	0.1388	Type1_DomainLoss	0	580	7	specialization
ENSG00000134253	ENST00000256649.9	3490	77	GO:0061630	ubiquitin protein ligase activity	0.7021	0.5634	0.1388	Type1_DomainLoss	0	580	7	specialization
ENSG00000142082	ENST00000532837.5	26571	39	GO:0005515	protein binding	0.8257	0.7241	0.1017	Type0_NoDomain	1	257	3	specialization
ENSG00000142082	ENST00000532837.5	26571	47	GO:0008270	zinc ion binding	0.8663	0.7062	0.1601	Type0_NoDomain	1	257	3	specialization
ENSG00000142082	ENST00000532837.5	26571	52	GO:0019899	enzyme binding	0.5012	0.4345	0.0667	Type0_NoDomain	1	257	3	specialization
ENSG00000142082	ENST00000532837.5	26571	65	GO:0043565	sequence-specific DNA binding	0.4834	0.3864	0.097	Type0_NoDomain	1	257	3	specialization
ENSG00000177042	BambuTx1225	184	39	GO:0005515	protein binding	0.6247	0.4916	0.1331	Type0_NoDomain	0	184	4	specialization
ENSG00000177042	ENST00000492023.1	24452	39	GO:0005515	protein binding	0.5731	0.4916	0.0815	Type0_NoDomain	0	190	4	specialization
ENSG00000177830	BambuTx1227	188	39	GO:0005515	protein binding	0.6076	0.544	0.0636	Type0_NoDomain	0	325	9	specialization
ENSG00000177830	BambuTx1227	189	39	GO:0005515	protein binding	0.6076	0.544	0.0636	Type0_NoDomain	0	325	9	specialization
ENSG00000177830	BambuTx1227	190	39	GO:0005515	protein binding	0.6076	0.544	0.0636	Type0_NoDomain	0	325	9	specialization
ENSG00000177830	ENST00000323578.13	8917	39	GO:0005515	protein binding	0.6111	0.544	0.0671	Type0_NoDomain	0	419	9	specialization
ENSG00000177830	ENST00000429789.6	20829	39	GO:0005515	protein binding	0.6199	0.544	0.0759	Type0_NoDomain	0	396	9	specialization
ENSG00000177830	ENST00000436108.6	21272	39	GO:0005515	protein binding	0.6307	0.544	0.0867	Type0_NoDomain	0	393	9	specialization
ENSG00000070081	BambuTx1236	201	8	GO:0003677	DNA binding	0.7061	0.6038	0.1023	Type1_DomainLoss	0	390	4	specialization
ENSG00000169519	ENST00000407364.8	19253	39	GO:0005515	protein binding	0.742	0.6788	0.0632	Type0_NoDomain	0	407	3	specialization
ENSG00000121671	ENST00000443527.6	21720	1	GO:0000976	transcription cis-regulatory region binding	0.5627	0.3306	0.2321	Type0_NoDomain	0	614	7	specialization
ENSG00000121671	ENST00000443527.6	21720	8	GO:0003677	DNA binding	0.6037	0.3653	0.2384	Type0_NoDomain	0	614	7	specialization
ENSG00000121671	ENST00000443527.6	21720	39	GO:0005515	protein binding	0.7473	0.5693	0.178	Type0_NoDomain	0	614	7	specialization
ENSG00000121671	ENST00000443527.6	21720	53	GO:0019901	protein kinase binding	0.5939	0.36	0.2339	Type0_NoDomain	0	614	7	specialization
ENSG00000121671	ENST00000443527.6	21721	1	GO:0000976	transcription cis-regulatory region binding	0.5627	0.3306	0.2321	Type0_NoDomain	0	614	7	specialization
ENSG00000121671	ENST00000443527.6	21721	8	GO:0003677	DNA binding	0.6037	0.3653	0.2384	Type0_NoDomain	0	614	7	specialization
ENSG00000121671	ENST00000443527.6	21721	39	GO:0005515	protein binding	0.7473	0.5693	0.178	Type0_NoDomain	0	614	7	specialization
ENSG00000121671	ENST00000443527.6	21721	53	GO:0019901	protein kinase binding	0.5939	0.36	0.2339	Type0_NoDomain	0	614	7	specialization
ENSG00000121671	ENST00000616623.4	30730	1	GO:0000976	transcription cis-regulatory region binding	0.5627	0.3306	0.2321	Type0_NoDomain	0	614	7	specialization
ENSG00000121671	ENST00000616623.4	30730	8	GO:0003677	DNA binding	0.6037	0.3653	0.2384	Type0_NoDomain	0	614	7	specialization
ENSG00000121671	ENST00000616623.4	30730	39	GO:0005515	protein binding	0.7473	0.5693	0.178	Type0_NoDomain	0	614	7	specialization
ENSG00000121671	ENST00000616623.4	30730	53	GO:0019901	protein kinase binding	0.5939	0.36	0.2339	Type0_NoDomain	0	614	7	specialization
ENSG00000121671	ENST00000616623.4	30731	1	GO:0000976	transcription cis-regulatory region binding	0.5627	0.3306	0.2321	Type0_NoDomain	0	614	7	specialization
ENSG00000121671	ENST00000616623.4	30731	8	GO:0003677	DNA binding	0.6037	0.3653	0.2384	Type0_NoDomain	0	614	7	specialization
ENSG00000121671	ENST00000616623.4	30731	39	GO:0005515	protein binding	0.7473	0.5693	0.178	Type0_NoDomain	0	614	7	specialization
ENSG00000121671	ENST00000616623.4	30731	53	GO:0019901	protein kinase binding	0.5939	0.36	0.2339	Type0_NoDomain	0	614	7	specialization
ENSG00000149016	BambuTx1262	215	7	GO:0003676	nucleic acid binding	0.7696	0.5644	0.2052	Type2_PartialTrunc	3	540	3	specialization
ENSG00000149016	BambuTx1262	215	15	GO:0003723	RNA binding	0.6867	0.6049	0.0818	Type2_PartialTrunc	3	540	3	specialization
ENSG00000149016	ENST00000308436.11	7569	7	GO:0003676	nucleic acid binding	0.6363	0.5644	0.0719	Type3_SameDomain	3	924	3	specialization
ENSG00000149016	ENST00000308436.11	7569	52	GO:0019899	enzyme binding	0.3453	0.2878	0.0576	Type3_SameDomain	3	924	3	specialization
ENSG00000173457	ENST00000309318.8	7648	39	GO:0005515	protein binding	0.6376	0.5599	0.0777	Type0_NoDomain	0	237	3	specialization
ENSG00000173465	ENST00000309328.8	7650	39	GO:0005515	protein binding	0.8756	0.6776	0.1981	Type0_NoDomain	0	204	5	specialization
ENSG00000173465	ENST00000531405.5	26488	39	GO:0005515	protein binding	0.8711	0.6776	0.1935	Type0_NoDomain	0	162	5	specialization
ENSG00000174165	ENST00000534073.5	26668	39	GO:0005515	protein binding	0.6447	0.5447	0.1001	Type3_SameDomain	1	202	4	specialization
ENSG00000116874	ENST00000235521.5	2638	41	GO:0005524	ATP binding	0.8528	0.5198	0.3331	Type0_NoDomain	0	363	2	specialization
ENSG00000110066	ENST00000304363.9	7193	9	GO:0003682	chromatin binding	0.4212	0.3367	0.0846	Type3_SameDomain	1	885	7	specialization
ENSG00000165526	ENST00000298317.9	6662	15	GO:0003723	RNA binding	0.8139	0.546	0.2679	Type0_NoDomain	0	381	5	specialization
ENSG00000165526	ENST00000298317.9	6663	15	GO:0003723	RNA binding	0.8139	0.546	0.2679	Type0_NoDomain	0	381	5	specialization
