tissue	gene	canonical_idx	other_idx	long_idx	short_idx	canonical_is_lo	size	domain_binary	nterm_overlap	disorder_frac	resync_failure_binary
muscle	ENSG00000162664.17	10450	1	10450	1	0	206	0	1	0.1183106796116505	0
muscle	ENSG00000162664.17	10450	14125	10450	14125	0	89	0	0	0.11920224719101123	0
muscle	ENSG00000162664.17	10450	17723	10450	17723	0	206	0	1	0.1183106796116505	0
muscle	ENSG00000066827.16	15930	2	15930	2	0	1272	0	1	0.1625737976782753	1
muscle	ENSG00000066827.16	15930	3	15930	3	0	1272	0	1	0.1625737976782753	1
muscle	ENSG00000066827.16	15930	20798	15930	20798	0	1272	1	1	0.1625737976782753	1
muscle	ENSG00000066827.16	15930	20799	15930	20799	0	1272	1	1	0.1625737976782753	1
muscle	ENSG00000167632.18	21426	5	21426	5	0	937	0	1	0.0971462113127001	1
muscle	ENSG00000167632.18	21426	6	21426	6	0	937	0	1	0.0971462113127001	1
muscle	ENSG00000167632.18	21426	7	21426	7	0	937	0	1	0.0971462113127001	1
muscle	ENSG00000167632.18	21426	32313	21426	32313	0	1155	0	1	0.09721935483870968	1
muscle	ENSG00000167632.18	21426	32314	21426	32314	0	1155	0	1	0.09721935483870968	1
muscle	ENSG00000167632.18	21426	32315	21426	32315	0	1155	0	1	0.09721935483870968	1
muscle	ENSG00000167632.18	21426	32316	21426	32316	0	1155	0	1	0.09721935483870968	1
muscle	ENSG00000130193.8	9968	8	8	9968	1	94	0	0	0.06542666666666666	1
muscle	ENSG00000160959.8	6158	10	6158	10	0	39	1	1	0.03748717948717948	0
muscle	ENSG00000160959.8	6158	26315	6158	26315	0	552	1	1	0.06139568345323741	1
muscle	ENSG00000196150.14	19947	6173	6173	19947	1	5	0	1	0.12459999999999997	0
muscle	ENSG00000196150.14	19947	26604	19947	26604	0	384	1	0	0.15896093749999998	1
muscle	ENSG00000172785.19	11932	15	11932	15	0	34	0	0	0.02276470588235294	0
muscle	ENSG00000172785.19	11932	8109	11932	8109	0	48	0	1	0.2739545454545454	0
muscle	ENSG00000172785.19	11932	16803	11932	16803	0	282	0	0	0.07606382978723403	1
muscle	ENSG00000172785.19	11932	16810	11932	16810	0	19	0	0	-0.021789473684210522	0
muscle	ENSG00000107020.10	2293	17	2293	17	0	33	0	1	0.005999999999999998	0
muscle	ENSG00000147872.10	5425	18	18	5425	1	61	0	0	0.14399999999999996	1
muscle	ENSG00000165269.13	6630	19	6630	19	0	91	0	0	0.12016091954022991	1
muscle	ENSG00000165269.13	6630	15850	6630	15850	0	148	0	1	0.07735416666666667	0
muscle	ENSG00000165269.13	6630	22001	6630	22001	0	492	0	1	-0.004680921052631585	1
muscle	ENSG00000165269.13	6630	26839	6630	26839	0	554	0	1	0.016612040133779267	1
muscle	ENSG00000137094.16	7927	21	21	7927	1	376	1	1	0.12127666666666666	1
muscle	ENSG00000137094.16	7927	22	22	7927	1	376	1	1	0.12127666666666666	1
muscle	ENSG00000137094.16	7927	27138	27138	7927	1	376	0	1	0.12127666666666666	1
muscle	ENSG00000137094.16	7927	27139	27139	7927	1	376	0	1	0.12127666666666666	1
muscle	ENSG00000198722.15	31501	23	31501	23	0	3955	1	0	0.14642916450441099	1
muscle	ENSG00000198722.15	31501	16065	31501	16065	0	2749	0	0	0.16661440523826848	1
muscle	ENSG00000122707.12	15958	24	15958	24	0	752	1	0	0.12449468085106381	1
muscle	ENSG00000122707.12	15958	23801	15958	23801	0	746	1	0	0.12845174262734585	1
muscle	ENSG00000271092.5	35	25	35	25	0	31	0	0	0.08348387096774196	0
