tissue	gene	canonical_idx	other_idx	long_idx	short_idx	canonical_is_lo	size	domain_binary	nterm_overlap	disorder_frac	resync_failure_binary	severity_score	domain_binary_faithful
muscle	ENSG00000162664.17	10450	1	10450	1	0	206	0	1	0.1183106796116505	0	1.83904767036438	0
muscle	ENSG00000162664.17	10450	14125	10450	14125	0	89	0	0	0.1192022471910112	0	0.1396093368530273	0
muscle	ENSG00000162664.17	10450	17723	10450	17723	0	206	0	1	0.1183106796116505	0	1.83904767036438	0
muscle	ENSG00000066827.16	15930	2	15930	2	0	1272	0	1	0.1625737976782753	1	26.273696899414062	0
muscle	ENSG00000066827.16	15930	3	15930	3	0	1272	0	1	0.1625737976782753	1	26.273696899414062	0
muscle	ENSG00000066827.16	15930	20798	15930	20798	0	1272	1	1	0.1625737976782753	1	26.273696899414062	1
muscle	ENSG00000066827.16	15930	20799	15930	20799	0	1272	1	1	0.1625737976782753	1	26.273696899414062	1
muscle	ENSG00000167632.18	21426	5	21426	5	0	937	0	1	0.0971462113127001	1	3.026096820831299	0
muscle	ENSG00000167632.18	21426	6	21426	6	0	937	0	1	0.0971462113127001	1	3.026096820831299	0
muscle	ENSG00000167632.18	21426	7	21426	7	0	937	0	1	0.0971462113127001	1	3.026096820831299	0
muscle	ENSG00000167632.18	21426	32313	21426	32313	0	1155	0	1	0.0972193548387096	1	19.06841468811035	0
muscle	ENSG00000167632.18	21426	32314	21426	32314	0	1155	0	1	0.0972193548387096	1	19.06841468811035	0
muscle	ENSG00000167632.18	21426	32315	21426	32315	0	1155	0	1	0.0972193548387096	1	19.06841468811035	0
muscle	ENSG00000167632.18	21426	32316	21426	32316	0	1155	0	1	0.0972193548387096	1	19.06841468811035	0
muscle	ENSG00000130193.8	9968	8	8	9968	1	94	0	0	0.0654266666666666	1	-2.034038782119751	0
muscle	ENSG00000160959.8	6158	10	6158	10	0	39	1	1	0.0374871794871794	0	3.625314235687256	1
muscle	ENSG00000160959.8	6158	26315	6158	26315	0	552	1	1	0.0613956834532374	1	1.3589856624603271	1
muscle	ENSG00000196150.14	19947	6173	6173	19947	1	5	0	1	0.1245999999999999	0	-0.2299800515174865	0
muscle	ENSG00000196150.14	19947	26604	19947	26604	0	384	1	0	0.1589609374999999	1	17.6922664642334	1
muscle	ENSG00000172785.19	11932	15	11932	15	0	34	0	0	0.0227647058823529	0	0.0106759443879127	0
muscle	ENSG00000172785.19	11932	8109	11932	8109	0	48	0	1	0.2739545454545454	0	-0.6777235269546509	0
muscle	ENSG00000172785.19	11932	16803	11932	16803	0	282	0	0	0.076063829787234	1	2.8952555656433105	0
muscle	ENSG00000172785.19	11932	16810	11932	16810	0	19	0	0	-0.0217894736842105	0	-0.1075140982866287	0
muscle	ENSG00000107020.10	2293	17	2293	17	0	33	0	1	0.0059999999999999	0	-0.6184746026992798	0
muscle	ENSG00000147872.10	5425	18	18	5425	1	61	0	0	0.1439999999999999	1	-0.2507391571998596	0
muscle	ENSG00000165269.13	6630	19	6630	19	0	91	0	0	0.1201609195402299	1	0.5801804661750793	0
muscle	ENSG00000165269.13	6630	15850	6630	15850	0	148	0	1	0.0773541666666666	0	0.1652149558067321	0
muscle	ENSG00000165269.13	6630	22001	6630	22001	0	492	0	1	-0.0046809210526315	1	23.95413398742676	0
muscle	ENSG00000165269.13	6630	26839	6630	26839	0	554	0	1	0.0166120401337792	1	25.10549545288086	0
muscle	ENSG00000137094.16	7927	21	21	7927	1	376	1	1	0.1212766666666666	1	22.84268569946289	1
muscle	ENSG00000137094.16	7927	22	22	7927	1	376	1	1	0.1212766666666666	1	22.84268569946289	1
