gene_base	gene_versioned	canonical_enst_base	canonical_iso_idx	canonical_source	canonical_iso_id
BambuGene10043	BambuGene10043	BambuTx355	1078	longest_CDS	BambuTx355
BambuGene11874	BambuGene11874	BambuTx253	916	longest_CDS	BambuTx253
BambuGene14429	BambuGene14429	BambuTx2462	903	longest_CDS	BambuTx2462
BambuGene15381	BambuGene15381	BambuTx430	1158	longest_CDS	BambuTx430
BambuGene2249	BambuGene2249	BambuTx2881	979	longest_CDS	BambuTx2881
BambuGene28266	BambuGene28266	BambuTx696	1349	longest_CDS	BambuTx696
BambuGene29737	BambuGene29737	BambuTx670	1338	longest_CDS	BambuTx670
BambuGene33230	BambuGene33230	BambuTx806	1428	longest_CDS	BambuTx806
BambuGene36248	BambuGene36248	BambuTx812	1430	longest_CDS	BambuTx812
BambuGene38612	BambuGene38612	BambuTx903	1485	longest_CDS	BambuTx903
BambuGene42381	BambuGene42381	BambuTx2567	919	longest_CDS	BambuTx2567
BambuGene47597	BambuGene47597	BambuTx2598	930	longest_CDS	BambuTx2598
BambuGene48891	BambuGene48891	BambuTx1061	57	longest_CDS	BambuTx1061
BambuGene48907	BambuGene48907	BambuTx1062	58	longest_CDS	BambuTx1062
BambuGene51495	BambuGene51495	BambuTx1173	137	longest_CDS	BambuTx1173
BambuGene60551	BambuGene60551	BambuTx1316	263	longest_CDS	BambuTx1316
BambuGene62577	BambuGene62577	BambuTx1415	329	longest_CDS	BambuTx1415
BambuGene6326	BambuGene6326	BambuTx124	206	longest_CDS	BambuTx124
BambuGene63688	BambuGene63688	BambuTx1474	362	longest_CDS	BambuTx1474
BambuGene67480	BambuGene67480	BambuTx3756	1102	longest_CDS	BambuTx3756
BambuGene68144	BambuGene68144	BambuTx3090	1022	longest_CDS	BambuTx3090
BambuGene69615	BambuGene69615	BambuTx1540	415	longest_CDS	BambuTx1540
BambuGene69775	BambuGene69775	BambuTx1544	419	longest_CDS	BambuTx1544
BambuGene70707	BambuGene70707	BambuTx1576	445	longest_CDS	BambuTx1576
BambuGene7224	BambuGene7224	BambuTx2418	896	longest_CDS	BambuTx2418
BambuGene79368	BambuGene79368	BambuTx1866	659	longest_CDS	BambuTx1866
BambuGene80840	BambuGene80840	BambuTx2764	963	longest_CDS	BambuTx2764
BambuGene84200	BambuGene84200	BambuTx3981	1130	longest_CDS	BambuTx3981
