gene_name	canonical_iso_idx	canonical_iso_id	canonical_source
A1BG	3	A1BG-201	MANE
A1BG-AS1	4	A1BG-AS1-209	Ensembl
A2M	10	A2M-201	MANE
A2M-AS1	12	A2M-AS1-203	Ensembl
A2ML1	15	A2ML1-201	MANE
A4GALT	16	A4GALT-206	MANE
AAAS	21	AAAS-201	MANE
AACS	33	AACS-201	MANE
AADAT	34	AADAT-201	MANE
AAGAB	38	AAGAB-201	MANE
AAK1	42	AAK1-203	MANE
AAMDC	47	AAMDC-202	MANE
AAMP	49	AAMP-201	MANE
AAR2	60	AAR2-201	MANE
AARD	61	AARD-201	MANE
AARS1	77	AARS1-201	MANE
AARS2	81	AARS2-201	MANE
AARSD1	85	AARSD1-202	MANE
AASDH	86	AASDH-201	MANE
AASDHPPT	94	AASDHPPT-201	MANE
AASS	96	AASS-203	MANE
AATBC	106	AATBC-201	Ensembl
AATF	107	AATF-208	MANE
AATK	119	AATK-201	MANE
ABAT	120	ABAT-201	MANE
ABCA1	124	ABCA1-202	MANE
ABCA10	127	ABCA10-202	longest_CDS
ABCA12	128	ABCA12-201	MANE
ABCA2	131	ABCA2-202	longest_CDS
ABCA3	137	ABCA3-201	MANE
ABCA4	139	ABCA4-201	MANE
ABCA5	145	ABCA5-201	MANE
ABCA6	154	ABCA6-201	MANE
ABCA7	158	ABCA7-201	MANE
ABCA8	164	ABCA8-208	MANE
ABCA9	166	ABCA9-201	MANE
ABCB1	168	ABCB1-211	MANE
ABCB10	170	ABCB10-201	MANE
ABCB4	171	transcript123012.chr7.nic	longest_CDS
ABCB6	176	ABCB6-201	MANE
ABCB7	178	ABCB7-203	MANE
ABCB8	191	ABCB8-202	MANE
ABCB9	196	ABCB9-201	MANE
ABCC1	206	ABCC1-202	MANE
ABCC10	210	ABCC10-204	MANE
ABCC12	214	ABCC12-201	MANE
ABCC2	215	ABCC2-203	MANE
ABCC3	217	transcript91276.chr17.nic	longest_CDS
ABCC4	220	ABCC4-214	MANE
ABCC5	228	ABCC5-202	MANE
ABCC8	256	ABCC8-202	MANE
ABCC9	265	ABCC9-201	MANE
ABCD1	267	ABCD1-201	MANE
ABCD2	268	ABCD2-201	MANE
