gene	isoform	isoform_idx	go_idx	go_id	go_name	pred_score	gene_mean	excess	feature_type	domain_count	seq_length	n_gene_isoforms	type
ENSG00000204859	BambuTx10	0	4	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	0.4574	0.4574	0.0	Type3_SameDomain	2	688	2	novel_GO
ENSG00000204859	BambuTx10	0	5	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	0.5479	0.5479	0.0	Type3_SameDomain	2	688	2	novel_GO
ENSG00000204859	BambuTx10	0	8	GO:0003677	DNA binding	0.4284	0.4284	0.0	Type3_SameDomain	2	688	2	novel_GO
ENSG00000204859	ENST00000377674.9	15891	4	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	0.4574	0.4574	0.0	Type3_SameDomain	2	688	2	novel_GO
ENSG00000204859	ENST00000377674.9	15891	5	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	0.5479	0.5479	0.0	Type3_SameDomain	2	688	2	novel_GO
ENSG00000204859	ENST00000377674.9	15891	8	GO:0003677	DNA binding	0.4284	0.4284	0.0	Type3_SameDomain	2	688	2	novel_GO
ENSG00000162664	BambuTx100	1	7	GO:0003676	nucleic acid binding	0.46	0.5137	-0.0538	Type0_NoDomain	0	376	4	novel_GO
ENSG00000162664	BambuTx100	1	47	GO:0008270	zinc ion binding	0.4365	0.3823	0.0542	Type0_NoDomain	0	376	4	novel_GO
ENSG00000162664	ENST00000340281.9	10450	7	GO:0003676	nucleic acid binding	0.5511	0.5137	0.0374	Type0_NoDomain	0	582	4	novel_GO
ENSG00000162664	ENST00000370447.3	14125	7	GO:0003676	nucleic acid binding	0.5839	0.5137	0.0702	Type0_NoDomain	0	493	4	novel_GO
ENSG00000162664	ENST00000394583.7	17723	7	GO:0003676	nucleic acid binding	0.46	0.5137	-0.0538	Type0_NoDomain	0	376	4	novel_GO
ENSG00000162664	ENST00000394583.7	17723	47	GO:0008270	zinc ion binding	0.4365	0.3823	0.0542	Type0_NoDomain	0	376	4	novel_GO
ENSG00000066827	BambuTx1001	2	8	GO:0003677	DNA binding	0.445	0.466	-0.021	Type3_SameDomain	1	323	6	novel_GO
ENSG00000066827	BambuTx1001	3	8	GO:0003677	DNA binding	0.445	0.466	-0.021	Type3_SameDomain	1	323	6	novel_GO
ENSG00000066827	ENST00000377838.8	15930	1	GO:0000976	transcription cis-regulatory region binding	0.4301	0.2456	0.1845	Type3_SameDomain	1	1243	6	novel_GO
ENSG00000066827	ENST00000377838.8	15930	5	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	0.4454	0.2683	0.177	Type3_SameDomain	1	1243	6	novel_GO
ENSG00000066827	ENST00000377838.8	15930	8	GO:0003677	DNA binding	0.508	0.466	0.042	Type3_SameDomain	1	1243	6	novel_GO
ENSG00000066827	ENST00000377838.8	15930	11	GO:0003700	DNA-binding transcription factor activity	0.4746	0.4133	0.0613	Type3_SameDomain	1	1243	6	novel_GO
ENSG00000066827	ENST00000377838.8	15931	1	GO:0000976	transcription cis-regulatory region binding	0.4301	0.2456	0.1845	Type3_SameDomain	1	1243	6	novel_GO
ENSG00000066827	ENST00000377838.8	15931	5	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	0.4454	0.2683	0.177	Type3_SameDomain	1	1243	6	novel_GO
ENSG00000066827	ENST00000377838.8	15931	8	GO:0003677	DNA binding	0.508	0.466	0.042	Type3_SameDomain	1	1243	6	novel_GO
ENSG00000066827	ENST00000377838.8	15931	11	GO:0003700	DNA-binding transcription factor activity	0.4746	0.4133	0.0613	Type3_SameDomain	1	1243	6	novel_GO
ENSG00000066827	ENST00000429442.6	20798	8	GO:0003677	DNA binding	0.445	0.466	-0.021	Type1_DomainLoss	0	1204	6	novel_GO
ENSG00000066827	ENST00000429442.6	20799	8	GO:0003677	DNA binding	0.445	0.466	-0.021	Type1_DomainLoss	0	1204	6	novel_GO
ENSG00000130193	BambuTx1005	8	39	GO:0005515	protein binding	0.5416	0.4982	0.0433	Type0_NoDomain	0	256	2	novel_GO
ENSG00000130193	ENST00000336138.4	9968	39	GO:0005515	protein binding	0.4549	0.4982	-0.0433	Type0_NoDomain	0	208	2	novel_GO
ENSG00000172785	BambuTx1011	15	20	GO:0003924	GTPase activity	0.4704	0.4964	-0.026	Type0_NoDomain	1	361	6	novel_GO
ENSG00000172785	ENST00000356521.9	11932	20	GO:0003924	GTPase activity	0.4577	0.4964	-0.0387	Type0_NoDomain	1	395	6	novel_GO
ENSG00000172785	ENST00000377400.8	15843	20	GO:0003924	GTPase activity	0.4577	0.4964	-0.0387	Type0_NoDomain	1	395	6	novel_GO
ENSG00000172785	ENST00000382393.2	16803	20	GO:0003924	GTPase activity	0.764	0.4964	0.2676	Type0_NoDomain	0	113	6	novel_GO
ENSG00000172785	ENST00000382447.8	16810	20	GO:0003924	GTPase activity	0.4693	0.4964	-0.027	Type0_NoDomain	1	376	6	novel_GO
ENSG00000147872	BambuTx1017	18	68	GO:0045296	cadherin binding	0.4429	0.4357	0.0072	Type0_NoDomain	0	477	2	novel_GO
ENSG00000147872	ENST00000276914.7	5425	68	GO:0045296	cadherin binding	0.4286	0.4357	-0.0072	Type0_NoDomain	0	469	2	novel_GO
ENSG00000165269	ENST00000297988.6	6630	62	GO:0042802	identical protein binding	0.4149	0.2877	0.1272	Type0_NoDomain	0	342	5	novel_GO
ENSG00000137094	BambuTx1024	21	15	GO:0003723	RNA binding	0.5316	0.3808	0.1508	Type1_DomainLoss	2	348	6	novel_GO
