isoform_id	gene	type	primary_module	module_score	max_score
LRRCC1-203	LRRCC1	known	44	0.2353994250297546	0.32835668
KCTD20-210	KCTD20	known	42	0.1966346055269241	0.33794644
ENST00000622735	ENSG00000283886	known	17	0.6050628423690796	0.65600824
SDC3-201	SDC3	known	35	0.2637874782085418	0.4403411
GRSF1-204	GRSF1	known	8	0.330165833234787	0.5329573
TLR2-203	TLR2	known	23	0.4765011668205261	0.62225664
CCND1-201	CCND1	known	4	0.2533966898918152	0.502396
RABGAP1L-201	RABGAP1L	known	42	0.4829800128936767	0.6327219
CNOT4-202	CNOT4	known	4	0.3909832835197449	0.5777275
transcript32233.chr5.nnic	DROSHA	nnic	8	0.300694853067398	0.36802262
LARS1-218	LARS1	known	6	0.5026262998580933	0.6254843
MFSD8-236	MFSD8	known	11	0.3068185150623321	0.5053741
ENST00000326391	ENSG00000290872	known	8	0.3143749833106994	0.43633264
SLC2A3-203	SLC2A3	known	11	0.3811136186122894	0.61319816
MYO18A-203	MYO18A	known	27	0.372984766960144	0.4618731
CYP2U1-201	CYP2U1	known	16	0.4131701588630676	0.61919755
SLC38A7-202	SLC38A7	known	11	0.3626953959465027	0.5665187
SUGP2-202	SUGP2	known	2	0.2131104916334152	0.34401366
ABCG1-203	ABCG1	known	11	0.3291139900684356	0.5695505
transcript147555.chrX.nic	ZDHHC9	nic	5	0.2789364755153656	0.3753406
ATP8A2-206	ATP8A2	known	11	0.3635134398937225	0.5792638
SNX14-220	SNX14	known	22	0.2160070240497589	0.3577791
RAD51C-222	RAD51C	known	1	0.4058231711387634	0.60345274
CHD5-201	CHD5	known	2	0.3782631158828735	0.6534861
CEP112-225	CEP112	known	44	0.2372747957706451	0.41032672
KANK1-241	KANK1	known	41	0.4259127080440521	0.5438684
SLC46A1-207	SLC46A1	known	11	0.4093966484069824	0.6228875
LIMK2-209	LIMK2	known	4	0.262356549501419	0.45589146
transcript103449.chr14.nnic	EFCAB11	nnic	44	0.2480740845203399	0.44157586
transcript115051.chr14.nnic	WDR25	nnic	9	0.1977803260087967	0.33288455
DNAJC7-232	DNAJC7	known	5	0.2922632694244385	0.33126554
CRLS1-203	CRLS1	known	17	0.3437808156013489	0.47898316
SHPRH-209	SHPRH	known	42	0.1930283606052398	0.3069915
PCDHA7-202	PCDHA7	known	35	0.277392566204071	0.706924
DOC2A-206	DOC2A	known	13	0.3749035894870758	0.5355756
transcript59012.chr6.nic	MEA1	nic	29	0.2279498130083084	0.3241656
CNPY2-201	CNPY2	known	25	0.2731839418411255	0.35886478
TAFAZZIN-224	TAFAZZIN	known	15	0.3140204846858978	0.42698207
R3HDM2-204	R3HDM2	known	33	0.1886551529169082	0.30845672
STRAP-202	STRAP	known	8	0.387954443693161	0.4667031
transcript67358.chr11.nic	RAB3IL1	nic	43	0.2146047949790954	0.3134529
DMPK-220	DMPK	known	12	0.2993482053279876	0.46844846
PDLIM3-213	PDLIM3	known	13	0.2528900504112243	0.33096942
ZNF772-204	ZNF772	known	2	0.1845087558031082	0.6048914
transcript238402.chr1.nnic	CHRNB2	nnic	13	0.4484144151210785	0.614023
HSP90B1-227	HSP90B1	known	6	0.3170190155506134	0.39133853
ZNF608-209	ZNF608	known	2	0.3123707473278045	0.50711024
ANOS1-201	ANOS1	known	38	0.2514638006687164	0.3572742
FN1-207	FN1	known	40	0.506229043006897	0.67409265
FLRT2-201	FLRT2	known	36	0.2751795649528503	0.40890655
KLHL8-201	KLHL8	known	29	0.2859778106212616	0.6084242
RAD51D-202	RAD51D	known	1	0.4118421971797943	0.60699165
UBL7-209	UBL7	known	18	0.2598623931407928	0.40199485
MTCH1-238	MTCH1	known	11	0.2671844065189361	0.41621637
DRAM1-201	DRAM1	known	17	0.2377177029848098	0.3184372
CCNG1-201	CCNG1	known	4	0.3126972317695617	0.48226032
ARG2-201	ARG2	known	9	0.2753281593322754	0.39324453
PDGFRL-203	PDGFRL	known	38	0.2637368440628052	0.3773957
transcript99327.chr5.nnic	MAP1B	nnic	44	0.2741955816745758	0.51290137
transcript10886.chr17.nic	KIF1C	nic	43	0.3908174037933349	0.5360177
MAD1L1-201	MAD1L1	known	4	0.4646583795547485	0.63076466
LUC7L3-214	LUC7L3	known	8	0.5590382218360901	0.67097473
STAU1-207	STAU1	known	23	0.1801909506320953	0.35611826
KLHL3-201	KLHL3	known	29	0.3185158371925354	0.5890963
TRAPPC12-220	TRAPPC12	known	41	0.3146386742591858	0.41087478
ACTR10-211	ACTR10	known	3	0.2965253889560699	0.33447403
ERLEC1-216	ERLEC1	known	18	0.4199811518192291	0.51913023
ACADS-201	ACADS	known	16	0.4346587657928467	0.5770074
ABR-205	ABR	known	42	0.4769276976585388	0.70812577
