"gene_id","feature_id","lr","df","pvalue","adj_pvalue","cell_type"
"AAMP","AAMP-201",0.556024447036236,1,0.455866502976248,0.98209075514408,"Oligodendrocyte"
"AAMP","AAMP-204",0.556024447036236,1,0.455866502976248,0.98209075514408,"Oligodendrocyte"
"AAR2","AAR2-206",0.420740992615038,1,0.516567534776139,0.987123735128959,"Oligodendrocyte"
"AAR2","AAR2-201",0.420740992615038,1,0.516567534776139,0.987123735128959,"Oligodendrocyte"
"AARS1","AARS1-214",-0.00456289513783759,1,1,1,"Oligodendrocyte"
"AARS1","AARS1-234",1.22456422394077,1,0.268466777549781,0.92571897266236,"Oligodendrocyte"
"AARS1","AARS1-225",2.96764029270935,1,0.0849456785124075,0.849079714118972,"Oligodendrocyte"
"AARS1","AARS1-201",1.9965571602379,1,0.157656955966365,0.904355558333022,"Oligodendrocyte"
"AATF","AATF-208",2.03856520158104,1,0.153354236028302,0.904355558333022,"Oligodendrocyte"
"AATF","AATF-220",2.03856520158104,1,0.153354236028302,0.904355558333022,"Oligodendrocyte"
"ABCA2","ABCA2-211",0.537654199343706,1,0.463406531474446,0.98209075514408,"Oligodendrocyte"
"ABCA2","ABCA2-202",0.537654199343706,1,0.463406531474446,0.98209075514408,"Oligodendrocyte"
"ABCA8","ABCA8-204",6.31458840026608,1,0.0119748540323742,0.648906180608174,"Oligodendrocyte"
"ABCA8","ABCA8-214",3.16943637804798,1,0.0750283339493693,0.849079714118972,"Oligodendrocyte"
"ABCA8","ABCA8-206",1.29747977435909,1,0.254674085437186,0.92571897266236,"Oligodendrocyte"
"ABCA8","ABCA8-203",-0.194458961414057,1,1,1,"Oligodendrocyte"
"ABCA8","ABCA8-208",0.881951786413993,1,0.34766765761773,0.9518465083715,"Oligodendrocyte"
"ABCA8","ABCA8-202",0.0551932602393208,1,0.814261155965461,1,"Oligodendrocyte"
"ABCB7","ABCB7-201",0.0974848869654465,1,0.754869002864254,1,"Oligodendrocyte"
"ABCB7","ABCB7-203",0.0974848869653329,1,0.754869002864392,1,"Oligodendrocyte"
"ABCF1","ABCF1-201",0.384956939577705,1,0.534962232574246,0.991241525829912,"Oligodendrocyte"
"ABCF1","ABCF1-203",0.384956939577705,1,0.534962232574246,0.991241525829912,"Oligodendrocyte"
