"gene_id","feature_id","gene_ofdr","tx_ofdr","cell_type"
"AAMP","AAMP-201",0.967520859974924,NA,"Oligodendrocyte"
"AAMP","AAMP-204",0.967520859974924,NA,"Oligodendrocyte"
"AAR2","AAR2-206",0.967520859974924,NA,"Oligodendrocyte"
"AAR2","AAR2-201",0.967520859974924,NA,"Oligodendrocyte"
"AARS1","AARS1-214",0.924335153800038,NA,"Oligodendrocyte"
"AARS1","AARS1-234",0.924335153800038,NA,"Oligodendrocyte"
"AARS1","AARS1-225",0.924335153800038,NA,"Oligodendrocyte"
"AARS1","AARS1-201",0.924335153800038,NA,"Oligodendrocyte"
"AATF","AATF-208",0.903668796528303,NA,"Oligodendrocyte"
"AATF","AATF-220",0.903668796528303,NA,"Oligodendrocyte"
"ABCA2","ABCA2-211",0.967520859974924,NA,"Oligodendrocyte"
"ABCA2","ABCA2-202",0.967520859974924,NA,"Oligodendrocyte"
"ABCA8","ABCA8-204",0.841846327475971,NA,"Oligodendrocyte"
"ABCA8","ABCA8-214",0.841846327475971,NA,"Oligodendrocyte"
"ABCA8","ABCA8-206",0.841846327475971,NA,"Oligodendrocyte"
"ABCA8","ABCA8-203",0.841846327475971,NA,"Oligodendrocyte"
"ABCA8","ABCA8-208",0.841846327475971,NA,"Oligodendrocyte"
"ABCA8","ABCA8-202",0.841846327475971,NA,"Oligodendrocyte"
"ABCB7","ABCB7-201",0.978997479843038,NA,"Oligodendrocyte"
"ABCB7","ABCB7-203",0.978997479843038,NA,"Oligodendrocyte"
"ABCF1","ABCF1-201",0.967520859974924,NA,"Oligodendrocyte"
"ABCF1","ABCF1-203",0.967520859974924,NA,"Oligodendrocyte"
"ABCG1","ABCG1-203",0.841846327475971,NA,"Oligodendrocyte"
"ABCG1","ABCG1-205",0.841846327475971,NA,"Oligodendrocyte"
"ABHD6","ABHD6-201",0.917099264265582,NA,"Oligodendrocyte"
"ABHD6","ABHD6-205",0.917099264265582,NA,"Oligodendrocyte"
"ACAD11","ACAD11-208",0.841846327475971,NA,"Oligodendrocyte"
"ACAD11","ACAD11-202",0.841846327475971,NA,"Oligodendrocyte"
"ACADVL","ACADVL-203",0.924335153800038,NA,"Oligodendrocyte"
"ACADVL","ACADVL-201",0.924335153800038,NA,"Oligodendrocyte"
"ACER3","ACER3-218",0.988044395262038,NA,"Oligodendrocyte"
"ACER3","ACER3-212",0.988044395262038,NA,"Oligodendrocyte"
"ACSF3","ACSF3-218",0.967520859974924,NA,"Oligodendrocyte"
"ACSF3","ACSF3-203",0.967520859974924,NA,"Oligodendrocyte"
"ACSL3","ACSL3-201",0.917099264265582,NA,"Oligodendrocyte"
"ACSL3","ACSL3-231",0.917099264265582,NA,"Oligodendrocyte"
"ACSL3","ACSL3-202",0.917099264265582,NA,"Oligodendrocyte"
"ACSL4","ACSL4-216",0.924335153800038,NA,"Oligodendrocyte"
"ACSL4","ACSL4-213",0.924335153800038,NA,"Oligodendrocyte"
"ACSL4","ACSL4-204",0.924335153800038,NA,"Oligodendrocyte"
"ACSS1","ACSS1-204",0.924335153800038,NA,"Oligodendrocyte"
"ACSS1","ACSS1-201",0.924335153800038,NA,"Oligodendrocyte"
"ACTB","ACTB-206",0.924509083993589,NA,"Oligodendrocyte"
"ACTB","ACTB-217",0.924509083993589,NA,"Oligodendrocyte"
"ACTG1","ACTG1-205",0.944156218555462,NA,"Oligodendrocyte"
"ACTG1","ACTG1-206",0.944156218555462,NA,"Oligodendrocyte"
"ACTG1","ACTG1-213",0.944156218555462,NA,"Oligodendrocyte"
"ADAM15","ADAM15-202",0.792931125152911,NA,"Oligodendrocyte"
"ADAM15","transcript238862.chr1.nnic",0.792931125152911,NA,"Oligodendrocyte"
"ADAR","transcript238794.chr1.nic",0.903668796528303,NA,"Oligodendrocyte"
"ADAR","ADAR-201",0.903668796528303,NA,"Oligodendrocyte"
"ADAR","ADAR-227",0.903668796528303,NA,"Oligodendrocyte"
"ADARB2","ADARB2-202",0.978997479843038,NA,"Oligodendrocyte"
"ADARB2","ADARB2-203",0.978997479843038,NA,"Oligodendrocyte"
"ADARB2","ADARB2-204",0.978997479843038,NA,"Oligodendrocyte"
"ADD1","ADD1-228",0.897923152095845,NA,"Oligodendrocyte"
"ADD1","ADD1-208",0.897923152095845,NA,"Oligodendrocyte"
"ADD1","ADD1-205",0.897923152095845,NA,"Oligodendrocyte"
"ADD1","ADD1-216",0.897923152095845,NA,"Oligodendrocyte"
"ADD3","ADD3-201",0.978997479843038,NA,"Oligodendrocyte"
"ADD3","ADD3-203",0.978997479843038,NA,"Oligodendrocyte"
"ADGRB2","ADGRB2-206",0.978997479843038,NA,"Oligodendrocyte"
"ADGRB2","ADGRB2-201",0.978997479843038,NA,"Oligodendrocyte"
"ADGRL3","ADGRL3-201",0.917099264265582,NA,"Oligodendrocyte"
