cls	gene	long_idx	short_idx	canonical_idx	other_idx	size	len_long	len_short	edit_span_long	n_intervals	first_edit_start
slim	STK39	53886	53885	53886	53885	21	545	524	21	1	414
slim	NDUFS2	36807	36805	36807	36805	21	484	463	21	1	372
slim	CZIB	12422	12425	12422	12425	30	160	130	30	1	0
slim	ALOX15B	2064	2063	2064	2063	29	676	647	29	1	400
slim	NOP2	37816	37819	37816	37819	4	812	808	4	1	79
slim	G3BP2	22187	22179	22187	22179	33	482	449	33	1	242
slim	GBF1	22645	22650	22645	22650	16	1859	1843	16	3	612
slim	SOS1	52497	52503	52497	52503	15	1333	1318	15	1	1115
slim	DCAF4	12615	12614	12615	12614	8	495	489	7	2	269
slim	CPSF6	11203	11199	11199	11203	37	588	551	37	1	231
slim	UBAP2L	59186	59192	59192	59186	25	1097	1087	18	2	142
slim	ACER3	571	578	578	571	7	274	267	7	1	199
slim	GPR107	23844	23843	23843	23844	19	571	552	19	1	435
slim	PCMTD2	40371	40369	40371	40369	27	361	334	27	1	194
slim	SPCS2	52734	52733	52733	52734	31	257	226	31	1	38
slim	TSC1	58257	58262	58257	58262	6	1164	1158	6	2	380
slim	SOGA3	52436	52437	52436	52437	3	947	944	3	1	908
slim	LETR1	29826	29821	29826	29821	4	129	125	4	1	0
slim	GGA3	22902	22900	22902	22900	33	723	690	33	1	67
slim	DNPEP	14294	14297	14294	14297	14	485	471	14	1	0
slim	PRKCSH	43745	43746	43745	43746	10	535	525	10	1	343
slim	HARS1	24770	24779	24770	24779	40	509	469	40	1	59
slim	DOCK6	14347	14350	14350	14347	35	2082	2047	35	1	906
slim	KMT2A	29134	29137	29134	29137	38	3969	3931	38	1	1406
slim	LRSAM1	31539	31537	31539	31537	33	723	690	33	1	533
slim	DPP10	14523	14527	14523	14527	18	796	789	18	2	1
slim	ESRRG	19729	19732	19729	19732	23	458	435	23	1	0
slim	NAP1L1	36163	36157	36163	36157	27	391	368	27	2	363
slim	CORO6	10995	10991	10995	10991	40	472	432	40	1	211
slim	SNCA	51920	51921	51920	51921	14	140	126	14	1	40
slim	MPP2	34575	34576	34575	34576	11	552	541	11	1	0
slim	MYL6	35690	35688	35690	35688	5	151	151	5	3	142
slim	DCP1A	12715	12713	12715	12713	38	582	544	38	1	170
slim	C1orf21	6319	6315	6315	6319	16	123	121	10	4	109
slim	PRORP	43876	43872	43876	43872	16	583	567	16	1	329
slim	FPGS	21886	21887	21886	21887	26	587	561	26	1	166
slim	CRYZL1	11496	11498	11496	11498	15	349	334	15	1	72
slim	SGTA	49819	49814	49819	49814	32	313	299	28	4	1
slim	NAP1L4	36175	36178	36178	36175	12	387	375	12	1	58
slim	NDUFB6	36765	36768	36765	36768	15	128	113	15	1	91
slim	RPS24	47778	47772	47772	47778	13	143	130	13	1	130
slim	NFIX	37249	37256	37249	37256	5	502	501	4	4	1
slim	EXOSC1	19910	19911	19910	19911	25	195	170	25	1	49
slim	CPSF7	11206	11205	11205	11206	9	471	462	9	1	175
slim	ATE1	4105	4109	4105	4109	36	518	482	36	1	0
slim	CSNK1G3	11627	11623	11627	11623	32	456	424	32	1	363
slim	PDP1	40733	40737	40737	40733	36	573	537	36	1	0
slim	BBS5	5176	5175	5176	5175	21	341	320	21	1	206
slim	SKIC2	50227	50224	50227	50224	23	1246	1223	23	1	931
slim	ZNF778	63628	63629	63628	63629	28	757	729	28	1	81
slim	ASH1L	3966	3964	3966	3964	5	2969	2964	5	1	2834
slim	MARK3	32674	32666	32674	32666	40	753	713	40	2	370
slim	PFN1	40997	40998	40997	40998	40	140	104	39	5	1
slim	SEMA4F	49249	49246	49249	49246	33	770	737	33	1	119
slim	C8orf88	6544	6545	6544	6545	25	129	128	14	3	111
slim	TUBB2A	58836	58839	58839	58836	34	454	445	25	3	1
slim	CAMK2D	6939	6944	6939	6944	26	533	512	26	6	122
slim	STXBP1	54061	54054	54061	54054	14	594	580	14	1	0
slim	HMGA1	25566	25567	25566	25567	11	107	96	11	1	34
slim	PIP5K1C	41686	41685	41685	41686	26	694	668	26	1	640
slim	PPARGC1B	42974	42973	42974	42973	34	1023	1017	23	8	990
slim	UBE2D3	59218	59226	59218	59226	29	147	118	29	1	0
slim	PROKR2	43865	43866	43866	43865	11	395	384	11	1	0
slim	PTPA	44589	44587	44587	44589	6	329	323	6	1	43
slim	HGS	25316	25327	25327	25316	6	783	777	6	1	220
slim	CAMK2A	6906	6911	6906	6911	11	489	478	11	1	328
slim	POGZ	42549	42552	42549	42552	7	1417	1410	7	1	0
slim	APP	3102	3097	3102	3097	20	770	751	20	1	344
slim	SCRN1	48898	48901	48901	48898	20	434	414	20	1	0
slim	CDK2AP1	8562	8566	8566	8562	40	133	115	31	5	1
slim	SLC1A2	50443	50460	50443	50460	4	574	570	4	1	1
slim	CSTPP1	11732	11734	11734	11732	6	337	331	6	1	275
slim	RAD51C	45408	45413	45408	45413	32	376	346	32	3	342
slim	HMBS	25550	25547	25550	25547	17	361	344	17	1	0
slim	EIF3H	15579	15577	15577	15579	14	366	352	14	1	0
slim	GLYR1	23224	23227	23224	23227	6	553	547	6	1	302
slim	CPEB2	11097	11098	11097	11098	28	1034	1007	28	1	650
slim	GALK2	22381	22380	22381	22380	24	458	434	24	1	0
slim	G3BP2	22187	22171	22187	22171	33	482	449	33	1	242
slim	CELF2	8731	8732	8731	8732	21	521	514	18	5	1
slim	SNAP91	51899	51896	51899	51896	5	907	902	5	1	716
slim	EP300	19159	19158	19159	19158	26	2414	2388	26	2	684
slim	FANCL	20715	20727	20715	20727	19	375	356	19	1	72
slim	TMEM87B	56990	56991	56990	56991	25	555	555	17	6	344
slim	FIP1L1	21442	21433	21442	21433	28	594	591	16	3	28
slim	KLHL4	29087	29085	29085	29087	23	720	718	17	4	699
slim	ZNF106	62151	62154	62151	62154	33	1906	1883	30	7	1
slim	ITPR1	27607	27625	27607	27625	10	2758	2750	9	2	918
slim	YKT6	61260	61263	61263	61260	17	200	198	11	3	187
slim	NME4	37626	37624	37626	37624	34	187	153	34	1	75
slim	DOCK7	14357	14355	14357	14355	31	2140	2109	31	1	922
slim	MRS2	34956	34955	34956	34955	36	443	408	36	1	407
slim	CYRIB	12380	12385	12380	12385	11	324	324	8	4	4
slim	ILDR2	26919	26923	26919	26923	19	639	620	19	1	166
slim	PCSK6	40430	40435	40430	40435	13	969	956	13	2	679
slim	HSPA1B	26154	26155	26154	26155	22	641	619	22	1	537
slim	MRPL11	34689	34690	34689	34690	34	192	158	34	2	157
slim	LYPD6B	31735	31734	31735	31734	24	207	183	24	1	2
slim	ICOSLG	26427	26426	26426	26427	22	303	302	13	3	288
slim	SLC8A1	51298	51295	51298	51295	35	973	938	35	2	638
slim	DDX25	12956	12957	12956	12957	18	483	465	18	3	463
slim	NBN	36343	36350	36350	36343	17	771	754	17	1	728
slim	INKA2	27041	27042	27041	27042	16	297	282	16	3	1
slim	SNX9	52393	52391	52391	52393	30	625	595	30	1	100
slim	AIMP1	1659	1656	1659	1656	9	321	312	9	1	0
slim	CTSH	11986	11987	11986	11987	38	335	297	38	1	0
slim	ATP5PF	4542	4539	4539	4542	17	109	108	11	3	96
slim	PEX5L	40936	40939	40936	40939	35	626	591	35	1	30
slim	NCL	36502	36514	36502	36514	16	710	694	16	1	0
slim	BRCC3	5797	5794	5794	5797	25	316	291	25	1	183
slim	TRAF3IP2	57659	57665	57665	57659	9	574	565	9	1	0
slim	MLF1	34228	34231	34228	34231	25	268	243	25	1	0
slim	LSM14B	31572	31573	31573	31572	39	424	385	39	1	142
slim	DMXL2	13955	13954	13955	13954	21	3058	3037	21	1	2642
slim	TAFA5	54809	54813	54809	54813	38	132	125	26	9	1
slim	RDX	46246	46245	46245	46246	21	604	583	21	1	583
slim	SEPTIN7	49372	49376	49372	49376	21	437	417	21	1	1
slim	IMPDH1	26978	26980	26978	26980	26	589	563	26	1	48
slim	DNM1L	14232	14234	14234	14232	13	749	736	13	1	83
slim	TENT5A	55570	55571	55571	55570	19	461	442	19	1	0
slim	TSPAN3	58444	58443	58444	58443	25	253	228	25	1	85
slim	MDM1	33109	33105	33109	33105	10	724	714	10	1	335
slim	CELF1	8722	8717	8722	8717	28	514	486	28	2	0
slim	MTCH1	35185	35183	35185	35183	17	389	372	17	1	285
slim	ZIM2	62028	62025	62028	62025	31	558	527	31	1	132
slim	PLEKHB2	42081	42078	42078	42081	8	230	222	8	1	141
slim	MBNL2	32858	32856	32858	32856	18	391	373	18	1	268
slim	SRRT	53270	53274	53270	53274	5	876	872	5	1	775
slim	SPTAN1	53042	53050	53042	53050	20	2477	2457	20	1	1052
slim	FLNC	21589	21590	21589	21590	33	2725	2692	33	1	1734
slim	MRPL43	34791	34786	34786	34791	8	164	159	8	2	155
slim	BAZ1A	5084	5086	5084	5086	32	1556	1524	32	1	503
slim	OPTN	39165	39170	39165	39170	6	577	571	6	1	209
slim	HNRNPA2B1	25669	25675	25675	25669	12	353	341	12	1	2
slim	HLA-C	25477	25476	25476	25477	6	372	366	6	1	339
slim	NFATC3	37185	37188	37185	37188	36	1075	1045	36	4	1035
slim	ENSG00000288921	18243	18244	18243	18244	26	663	637	26	1	637
slim	MYL6B	35695	35697	35695	35697	33	208	175	33	1	141
slim	MARK2	32652	32651	32652	32651	25	788	763	25	2	412
slim	GULP1	24585	24579	24585	24579	24	304	291	20	4	281
slim	MEF2C	33325	33312	33325	33312	32	473	441	32	1	367
slim	MOBP	34400	34401	34401	34400	25	206	183	24	2	68
slim	ZBTB16	61413	61412	61413	61412	29	673	644	29	1	455
slim	CCDC92	7873	7877	7873	7877	17	331	314	17	1	0
slim	SCMH1	48771	48772	48771	48772	22	670	648	22	1	560
slim	IFT20	26648	26642	26642	26648	26	158	132	26	1	0
slim	ATAT1	4093	4094	4093	4094	10	333	323	10	2	322
slim	DENND4A	13184	13183	13183	13184	10	1915	1907	9	2	900
slim	SSR3	53407	53406	53407	53406	19	185	169	19	3	164
slim	ITCH	27457	27460	27457	27460	32	862	830	32	1	285
slim	SRPK2	53215	53217	53215	53217	23	699	688	19	3	2
slim	ANAPC5	2293	2295	2293	2295	13	755	742	13	1	374
slim	DDX1	12886	12887	12886	12887	6	740	734	6	1	0
slim	RNPS1	47282	47281	47282	47281	23	305	282	23	1	1
slim	KICS2	28694	28693	28693	28694	23	468	445	23	1	445
slim	CCDC149	7555	7557	7555	7557	11	540	529	11	1	348
slim	CAV1	7351	7352	7351	7352	31	178	147	31	1	0
slim	FBXO2	20967	20966	20967	20966	29	296	267	29	1	0
slim	ING5	27029	27027	27029	27027	14	240	226	14	1	226
slim	BANP	5056	5061	5056	5061	25	530	505	25	2	400
slim	KIAA0513	28596	28597	28596	28597	10	411	401	10	1	327
slim	RPS15	47732	47733	47732	47733	27	145	118	27	1	0
slim	MRE11	34639	34643	34639	34643	28	708	680	28	1	595
slim	HNRNPA3	25682	25692	25682	25692	22	378	356	22	1	1
slim	ADSL	1360	1354	1360	1354	15	484	469	15	1	119
slim	TBK1	55192	55188	55192	55188	40	729	689	40	1	689
slim	KCNQ5	28317	28321	28321	28317	7	939	932	7	1	416
