go,go_name,type,cluster,rank,iso,gene,sb_score,peak_layer,is_go_pos,in_uniprot,in_bisect,in_target
GO:0000398,mRNA splicing,flat,14,1,ENST00000634348.1,SRSF4,13.766,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,2,ENST00000691479.1,SRSF4,13.766,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,3,ENST00000691479.1,SRSF4,13.766,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,4,ENST00000485841.5,SRSF10,12.239,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,5,ENST00000373795.7,SRSF4,10.999,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,6,ENST00000555547.5,SRSF5,10.076,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,7,ENST00000555547.5,SRSF5,10.076,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,8,ENST00000301730.12,RNPS1,9.029,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,9,ENST00000568631.5,RNPS1,9.029,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,10,ENST00000320225.10,RNPS1,9.029,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,11,ENST00000397086.6,RNPS1,9.029,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,12,ENST00000566458.5,RNPS1,8.729,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,13,ENST00000687381.1,SRSF11,8.721,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,14,ENST00000687381.1,SRSF11,8.721,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,15,ENST00000484162.5,SRSF11,8.591,1,1,0,0,0
GO:0000398,mRNA splicing,flat,14,16,ENST00000324170.7,ZCCHC10,8.398,6,0,0,0,0
GO:0007015,Actin filament org,flat,0,1,ENST00000648200.2,LINC00632,8.304,26,0,0,0,0
GO:0007015,Actin filament org,flat,0,2,ENST00000658451.1,LINC00632,8.304,26,0,0,0,0
GO:0030048,Actin-based movement,flat,0,1,ENST00000648200.2,LINC00632,8.304,26,0,0,0,0
GO:0030048,Actin-based movement,flat,0,2,ENST00000658451.1,LINC00632,8.304,26,0,0,0,0
GO:0045214,Sarcomere organization,early,0,1,ENST00000648200.2,LINC00632,8.304,26,0,0,0,0
GO:0045214,Sarcomere organization,early,0,2,ENST00000658451.1,LINC00632,8.304,26,0,0,0,0
GO:0035556,Intracellular signal,mid,4,1,ENST00000465376.7,JAK1,8.029,23,1,0,0,0
GO:0000165,MAPK cascade,mid,4,1,ENST00000465376.7,JAK1,8.029,23,1,0,0,0
GO:0007265,Ras signaling,late,4,1,ENST00000465376.7,JAK1,8.029,23,0,0,0,0
GO:0006470,Dephosphorylation,mid,4,1,ENST00000465376.7,JAK1,8.029,23,0,0,0,0
GO:0000398,mRNA splicing,flat,14,17,ENST00000466448.4,SRSF4,7.753,1,1,0,0,0
GO:0006417,Regulation of translation,mid,15,1,ENST00000262126.9,ANKRD12,7.726,1,0,0,0,0
GO:0032465,Cytokinesis,flat,15,1,ENST00000262126.9,ANKRD12,7.726,1,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,1,ENST00000318217.10,MYO1D,7.663,14,0,0,0,0
GO:0006402,mRNA catabolism,flat,8,2,ENST00000318217.10,MYO1D,7.663,14,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,1,ENST00000318217.10,MYO1D,7.663,14,0,0,0,0
GO:0006418,tRNA aminoacylation,mid,8,2,ENST00000318217.10,MYO1D,7.663,14,0,0,0,0
