gene	go_name	score_top	score_bot	score_gap	score_ratio	dtu_top	frac_brain_top	brain_tpm_top	dtu_concordant	top_iso	bot_iso
TMEM235	MT cytoskeleton org	0.8271	0.0503	0.7769	16.45	0.875	1.0	2.017	True	ENST00000586400	ENST00000421688
TMEM235	Neuron projection	0.7734	0.1091	0.6642	7.09	0.875	1.0	2.017	True	ENST00000586400	ENST00000421688
MDGA2	Synaptic transmission	0.9311	0.0021	0.929	447.6	0.587	1.0	1.728	True	ENST00000399232	ENST00000357362
GPAT2	Ca2+ homeostasis	0.6963	0.02	0.6763	34.89	0.795	1.0	0.69	True	ENST00000359548	ENST00000434632
STMN4	MT-based movement	0.9441	0.0003	0.9438	3041.78	0.5215	0.8799	238.362	True	ENST00000265770	ENST00000519614
IMPDH1	Synapse assembly	0.9683	0.0331	0.9353	29.29	0.5251	0.9006	1.949	True	ENST00000496200	ENST00000470772
IMPDH1	Neurotrans. transport	0.9471	0.0128	0.9342	73.82	0.5251	0.9006	1.949	True	ENST00000496200	ENST00000470772
CTNNA2	Neuron projection	0.8432	0.0086	0.8345	97.87	0.5991	0.6638	65.603	True	ENST00000496558	ENST00000466387
SKIC3	Inflammatory response	0.4795	0.0165	0.463	28.99	0.9648	1.0	0.019	True	ENST00000698487	ENST00000514952
IMPDH1	Modulation of syn.trans	0.9717	0.0708	0.9008	13.72	0.5251	0.9006	1.949	True	ENST00000496200	ENST00000470772
CTNNA2	MT cytoskeleton org	0.8202	0.0043	0.8159	191.95	0.5991	0.6638	65.603	True	ENST00000496558	ENST00000629316
LINGO3	Neurotrans. transport	0.7175	0.0005	0.717	1387.31	0.6908	0.9857	4.31	True	ENST00000698372	ENST00000585527
KCNAB2	Neuron diff	0.8265	0.0135	0.813	61.07	0.591	0.9516	28.371	True	ENST00000341524	ENST00000602612
LINGO3	Synaptic transmission	0.6753	0.0012	0.6741	563.45	0.6908	0.9857	4.31	True	ENST00000698372	ENST00000585527
TPM1	Neurotrans. transport	0.7251	0.0312	0.6939	23.26	0.6581	0.6993	14.549	True	ENST00000334895	ENST00000558910
SNTG1	Synaptic transmission	0.7032	0.0013	0.7019	525.06	0.6298	0.7433	4.01	True	ENST00000642720	ENST00000644093
AMMECR1	Proteasome-UPS	0.6078	0.0792	0.5285	7.67	0.7981	1.0	0.068	True	ENST00000372057	ENST00000372059
NGDN	Axon guidance	0.5983	0.0011	0.5972	536.66	0.704	0.9012	0.508	True	ENST00000703256	ENST00000397154
SNTG1	Neurotrans. transport	0.6731	0.0034	0.6697	198.09	0.6298	0.7433	4.01	True	ENST00000642720	ENST00000647273
TMEM235	Autophagy	0.4464	0.0304	0.4159	14.67	0.875	1.0	2.017	True	ENST00000586400	ENST00000421688
PCDHA5	Synapse assembly	0.6957	0.0042	0.6915	164.22	0.5893	0.6709	2.003	True	ENST00000529619	ENST00000529859
KNDC1	Synaptic transmission	0.6259	0.0015	0.6244	416.12	0.6564	0.8175	14.278	True	ENST00000304613	ENST00000368571
IMPDH1	Synaptic transmission	0.972	0.2217	0.7502	4.38	0.5251	0.9006	1.949	True	ENST00000496200	ENST00000470772
MKRN3	Neuron projection	0.8223	0.0249	0.7973	32.98	0.4772	0.8216	4.704	True	ENST00000314520	ENST00000568252
BBOF1	Synapse assembly	0.9932	0.0016	0.9916	615.46	0.2666	0.4751	2.545	True	ENST00000463558	ENST00000394009
