cls	gene	long_idx	short_idx	canonical_idx	other_idx	size	len_long	n_intervals
slim	ENSG00000117480.16	2837	1348	2837	1348	16	525	1
slim	ENSG00000154723.13	5772	18757	5772	18757	19	127	1
slim	ENSG00000167110.19	30406	34926	30406	34926	27	1017	1
slim	ENSG00000225791.8	32914	30154	32914	30154	18	144	1
slim	ENSG00000212719.16	35323	35849	35323	35849	24	285	5
slim	ENSG00000196367.15	22589	21897	22589	21897	27	1022	2
slim	ENSG00000155093.20	16999	19471	16999	19471	38	1015	1
slim	ENSG00000167985.8	36258	6965	6965	36258	32	182	2
slim	ENSG00000072501.19	8807	33388	8807	33388	32	1022	6
slim	ENSG00000065000.20	31839	35782	31839	35782	12	1022	2
slim	ENSG00000172113.10	20237	21657	21657	20237	8	194	1
slim	ENSG00000113851.16	21008	2526	2526	21008	14	441	2
slim	ENSG00000170502.13	7002	1294	7002	1294	29	350	5
slim	ENSG00000182149.21	26749	16129	16129	26749	13	379	1
slim	ENSG00000182518.14	9611	34806	34806	9611	40	129	11
slim	ENSG00000143353.12	13203	13202	13203	13202	17	241	2
slim	ENSG00000244038.11	19824	30030	30030	19824	11	456	1
slim	ENSG00000123992.21	25984	5255	5255	25984	25	493	3
slim	ENSG00000103194.16	28772	2103	2103	28772	6	802	3
slim	ENSG00000114737.16	24441	11229	11229	24441	16	264	2
slim	ENSG00000115252.19	21215	19433	19433	21215	31	545	6
slim	ENSG00000187239.19	35724	21883	21883	35724	28	645	1
slim	ENSG00000174206.13	7896	18499	18499	7896	23	468	1
slim	ENSG00000133943.21	3452	25843	3452	25843	40	621	1
slim	ENSG00000133805.16	26325	18172	18172	26325	7	774	1
slim	ENSG00000103495.15	8863	27414	8863	27414	30	477	5
slim	ENSG00000160256.14	6116	18444	6116	18444	15	230	1
slim	ENSG00000062194.16	20408	25039	25039	20408	20	493	1
slim	ENSG00000104936.20	6077	22005	6077	22005	5	629	1
slim	ENSG00000156671.15	33064	27240	27240	33064	7	449	1
slim	ENSG00000109654.16	10278	33473	10278	33473	27	771	1
slim	ENSG00000126091.21	12890	11150	11150	12890	16	390	1
slim	ENSG00000162066.16	6225	32255	6225	32255	23	409	1
slim	ENSG00000087266.18	11888	24888	24888	11888	22	561	1
slim	ENSG00000183718.6	30381	34991	34991	30381	29	297	6
slim	ENSG00000159216.20	33380	10961	33380	10961	27	480	5
slim	ENSG00000177963.15	9047	26145	26145	9047	6	537	1
slim	ENSG00000110075.15	17525	26080	17525	26080	29	873	1
slim	ENSG00000072756.18	35611	3155	3155	35611	39	473	1
slim	ENSG00000197111.16	27483	21960	27483	21960	35	362	2
slim	ENSG00000172531.16	7980	15725	15725	7980	14	344	2
slim	ENSG00000142459.9	26981	5120	26981	5120	11	805	1
slim	ENSG00000141385.12	5031	35173	5031	35173	25	797	1
slim	ENSG00000062194.16	25039	25317	25039	25317	22	473	2
slim	ENSG00000120910.15	18433	2750	2750	18433	9	521	1
slim	ENSG00000161277.11	6185	669	6185	669	27	274	7
slim	ENSG00000166436.18	32061	36033	32061	36033	37	1022	2
slim	ENSG00000117450.15	8538	4193	8538	4193	22	221	1
slim	ENSG00000151474.23	24644	12113	12113	24644	39	1022	2
slim	ENSG00000125970.12	2955	15415	2955	15415	16	306	1
slim	ENSG00000198522.14	30291	30748	30291	30748	3	377	1
slim	ENSG00000139190.17	18123	12976	18123	12976	5	118	2
slim	ENSG00000177728.17	29101	8097	8097	29101	4	1022	2
slim	ENSG00000293543.1	14750	23842	14750	23842	36	327	1
slim	ENSG00000109654.16	10278	33489	10278	33489	27	771	1
slim	ENSG00000164506.16	8744	36118	8744	36118	36	1022	2
