gene	iso_a	iso_b	idx_a	idx_b	domain_count	gap	ft_a	ft_b	len_a	len_b	top_go_idx	top_go_gap	len_diff	len_ratio
ENSG00000204859	BambuTx10	ENST00000377674.9	0	15891	2	0.0	Type3_SameDomain	Type3_SameDomain	688	688	0	0.0	0	0.9985486211901307
ENSG00000162664	BambuTx100	ENST00000340281.9	1	10450	0	0.00482	Type0_NoDomain	Type0_NoDomain	376	582	15	0.15235	206	0.6449399656946827
ENSG00000162664	BambuTx100	ENST00000370447.3	1	14125	0	0.00715	Type0_NoDomain	Type0_NoDomain	376	493	7	0.12396	117	0.7611336032388664
ENSG00000162664	BambuTx100	ENST00000394583.7	1	17723	0	0.0	Type0_NoDomain	Type0_NoDomain	376	376	0	0.0	0	0.9973474801061007
ENSG00000162664	ENST00000340281.9	ENST00000370447.3	10450	14125	0	0.00233	Type0_NoDomain	Type0_NoDomain	582	493	47	0.06998	89	0.8456260720411664
ENSG00000162664	ENST00000340281.9	ENST00000394583.7	10450	17723	0	0.00482	Type0_NoDomain	Type0_NoDomain	582	376	15	0.15235	206	0.6449399656946827
ENSG00000162664	ENST00000370447.3	ENST00000394583.7	14125	17723	0	0.00715	Type0_NoDomain	Type0_NoDomain	493	376	7	0.12396	117	0.7611336032388664
ENSG00000066827	BambuTx1001	BambuTx1001	2	3	1	0.0	Type3_SameDomain	Type3_SameDomain	323	323	0	0.0	0	0.9969135802469136
ENSG00000066827	BambuTx1001	ENST00000377838.8	2	15930	1	0.01867	Type3_SameDomain	Type3_SameDomain	323	1243	3	0.38727	920	0.2596463022508039
ENSG00000066827	BambuTx1001	ENST00000377838.8	2	15931	1	0.01867	Type3_SameDomain	Type3_SameDomain	323	1243	3	0.38727	920	0.2596463022508039
ENSG00000066827	BambuTx1001	ENST00000377838.8	3	15930	1	0.01867	Type3_SameDomain	Type3_SameDomain	323	1243	3	0.38727	920	0.2596463022508039
ENSG00000066827	BambuTx1001	ENST00000377838.8	3	15931	1	0.01867	Type3_SameDomain	Type3_SameDomain	323	1243	3	0.38727	920	0.2596463022508039
ENSG00000066827	ENST00000377838.8	ENST00000377838.8	15930	15931	1	0.0	Type3_SameDomain	Type3_SameDomain	1243	1243	0	0.0	0	0.9991961414790996
ENSG00000066827	ENST00000429442.6	ENST00000429442.6	20798	20799	0	0.0	Type1_DomainLoss	Type1_DomainLoss	1204	1204	0	0.0	0	0.9991701244813278
ENSG00000167632	BambuTx1003	BambuTx1003	5	6	0	0.0	Type0_NoDomain	Type0_NoDomain	211	211	0	0.0	0	0.9952830188679245
ENSG00000167632	BambuTx1003	BambuTx1003	5	7	0	0.0	Type0_NoDomain	Type0_NoDomain	211	211	0	0.0	0	0.9952830188679245
ENSG00000167632	BambuTx1003	ENST00000438773.4	5	21426	0	0.02056	Type0_NoDomain	Type0_NoDomain	211	1148	30	0.21922	937	0.1836379460400348
