"gene_id","feature_id","lr","df","pvalue","adj_pvalue","cell_type"
"ACTB","ACTB-206",0.27328563641845,1,0.601136206977296,0.969802175804854,"Vascular_cell"
"ACTB","ACTB-217",0.27328563641845,1,0.601136206977296,0.969802175804854,"Vascular_cell"
"ANKRD12","ANKRD12-201",1.55920573921208,1,0.211781553214942,0.807417171631966,"Vascular_cell"
"ANKRD12","ANKRD12-203",1.55920573921208,1,0.211781553214942,0.807417171631966,"Vascular_cell"
"APP","APP-204",0.474768376133568,1,0.49080163290308,0.969802175804854,"Vascular_cell"
"APP","APP-201",0.474768376133568,1,0.49080163290308,0.969802175804854,"Vascular_cell"
"ATRX","ATRX-202",0.572212891678646,1,0.44938090973241,0.969802175804854,"Vascular_cell"
"ATRX","ATRX-214",4.00652358320076,1,0.0453245151047527,0.34559942767374,"Vascular_cell"
"ATRX","ATRX-201",-0.447987269197256,1,1,1,"Vascular_cell"
"CALD1","CALD1-202",0.00972607564489181,1,0.921439300363991,1,"Vascular_cell"
"CALD1","CALD1-201",0.00972607564486339,1,0.921439300364105,1,"Vascular_cell"
"CCNL2","CCNL2-217",0.382174272220027,1,0.536441893651014,0.969802175804854,"Vascular_cell"
"CCNL2","CCNL2-203",0.382174272220027,1,0.536441893651014,0.969802175804854,"Vascular_cell"
"CHD9","CHD9-213",6.32598622086823,1,0.0118981300143625,0.103683704410873,"Vascular_cell"
"CHD9","CHD9-203",6.32598622086823,1,0.0118981300143625,0.103683704410873,"Vascular_cell"
"CYSLTR2","transcript43456.chr13.nnic",0.143403484894634,1,0.704920660252103,0.991418297843405,"Vascular_cell"
"CYSLTR2","transcript43844.chr13.nnic",0.143403484894634,1,0.704920660252103,0.991418297843405,"Vascular_cell"
"DDX5","DDX5-201",0.542299255234411,1,0.461481399552039,0.969802175804854,"Vascular_cell"
"DDX5","DDX5-215",0.542299255234411,1,0.461481399552039,0.969802175804854,"Vascular_cell"
"DLC1","DLC1-203",1.57414009707392,1,0.209606788489168,0.807417171631966,"Vascular_cell"
"DLC1","DLC1-209",1.57414009707392,1,0.209606788489168,0.807417171631966,"Vascular_cell"
"FLT1","FLT1-201",0.075494058842196,1,0.783499231156688,1,"Vascular_cell"
"FLT1","FLT1-207",-0.219065802030798,1,1,1,"Vascular_cell"
"FLT1","FLT1-204",6.85014777018955,1,0.00886339414320895,0.103683704410873,"Vascular_cell"
"GCC2","GCC2-223",8.47095634115999,1,0.00360861661043652,0.0600833793999093,"Vascular_cell"
"GCC2","GCC2-218",8.47095634115999,1,0.00360861661043652,0.0600833793999093,"Vascular_cell"
"MALAT1","MALAT1-202",-0.170363173472651,1,1,1,"Vascular_cell"
"MALAT1","MALAT1-201",2.8272030819935,1,0.0926796396585858,0.513950729015794,"Vascular_cell"
"MALAT1","MALAT1-211",1.66817354941304,1,0.196503351138094,0.807417171631966,"Vascular_cell"
"MALAT1","MALAT1-239",0.510625367111061,1,0.474868264701864,0.969802175804854,"Vascular_cell"
"MAP1B","MAP1B-201",0.380277895416782,1,0.537454548954229,0.969802175804854,"Vascular_cell"
"MAP1B","transcript99327.chr5.nnic",0.380277895416782,1,0.537454548954229,0.969802175804854,"Vascular_cell"
"MBP","MBP-207",0.301157112072133,1,0.583157923194173,0.969802175804854,"Vascular_cell"
"MBP","MBP-202",0.301157112072133,1,0.583157923194173,0.969802175804854,"Vascular_cell"
"MYH11","MYH11-201",3.58411422946034,1,0.058334507872029,0.355840498019377,"Vascular_cell"
"MYH11","MYH11-206",3.58411422946034,1,0.058334507872029,0.355840498019377,"Vascular_cell"
"N4BP2L2","N4BP2L2-222",-0.0347104725170766,1,1,1,"Vascular_cell"
"N4BP2L2","N4BP2L2-229",-0.00807823653315154,1,1,1,"Vascular_cell"
"N4BP2L2","N4BP2L2-237",0.0323814830516085,1,0.8571929546297,1,"Vascular_cell"
"PHF3","PHF3-201",1.36679839341605,1,0.242362726537544,0.821340351043899,"Vascular_cell"
"PHF3","PHF3-204",1.36679839341605,1,0.242362726537544,0.821340351043899,"Vascular_cell"
"PHIP","PHIP-201",0.0175397286427028,1,0.894638143996454,1,"Vascular_cell"
"PHIP","PHIP-203",0.0175397286427028,1,0.894638143996454,1,"Vascular_cell"
"PNISR","PNISR-202",0.268798246223128,1,0.60413906033745,0.969802175804854,"Vascular_cell"
"PNISR","PNISR-201",0.268798246223128,1,0.60413906033745,0.969802175804854,"Vascular_cell"
"RBM25","RBM25-201",0.107086019178126,1,0.74348636738679,0.991418297843405,"Vascular_cell"
"RBM25","RBM25-212",0.107086019178126,1,0.74348636738679,0.991418297843405,"Vascular_cell"
"SCAPER","SCAPER-207",0.00119191188744594,1,0.972459243181022,1,"Vascular_cell"
"SCAPER","SCAPER-212",0.00119191188744594,1,0.972459243181022,1,"Vascular_cell"
"SPECC1L","SPECC1L-201",0.103535958365569,1,0.747626913127814,0.991418297843405,"Vascular_cell"
"SPECC1L","SPECC1L-203",0.103535958365569,1,0.747626913127814,0.991418297843405,"Vascular_cell"
"SPTBN1","SPTBN1-202",0.141419097516632,1,0.70687429330314,0.991418297843405,"Vascular_cell"
"SPTBN1","SPTBN1-201",0.141419097516632,1,0.70687429330314,0.991418297843405,"Vascular_cell"
"SYNE1","SYNE1-211",8.31131125042441,1,0.0039398937311416,0.0600833793999093,"Vascular_cell"
"SYNE1","SYNE1-206",8.31131125042441,1,0.0039398937311416,0.0600833793999093,"Vascular_cell"
"UBC","UBC-201",0.00641909725527512,1,0.936142397614397,1,"Vascular_cell"
"UBC","UBC-205",0.00641909725527512,1,0.936142397614397,1,"Vascular_cell"
"WSB1","WSB1-201",0.609606599251492,1,0.434935970926184,0.969802175804854,"Vascular_cell"
"WSB1","WSB1-204",0.609606599251492,1,0.434935970926184,0.969802175804854,"Vascular_cell"
"ZNF638","ZNF638-204",0.990064721469594,1,0.319726556515076,0.969802175804854,"Vascular_cell"
"ZNF638","ZNF638-201",0.990064721469594,1,0.319726556515076,0.969802175804854,"Vascular_cell"
