gene	iso_a	iso_b	gap	slim	hits_a	hits_b	diff	top_go	top_go_name
ENSG00000165269	BambuTx1020	ENST00000537089.5	0.05658	PXXP_SH3_binding	1	5	-4	GO:0005515	protein binding
ENSG00000165269	BambuTx1020	ENST00000537089.5	0.05658	phospho_CK2	1	7	-6	GO:0005515	protein binding
ENSG00000165269	ENST00000297988.6	ENST00000537089.5	0.05127	PXXP_SH3_binding	4	5	-1	GO:0005515	protein binding
ENSG00000165269	ENST00000297988.6	ENST00000537089.5	0.05127	phospho_CK2	2	7	-5	GO:0005515	protein binding
ENSG00000165269	ENST00000297988.6	ENST00000537089.5	0.05127	phospho_PKA	5	4	1	GO:0005515	protein binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	NLS_basic_cluster	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	NES_leucine_rich	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	PXXP_SH3_binding	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	phospho_CK2	1	2	-1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	phospho_PKA	1	3	-2	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	NLS_basic_cluster	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	NES_leucine_rich	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	PXXP_SH3_binding	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	phospho_CK2	1	2	-1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	phospho_PKA	1	3	-2	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	NLS_basic_cluster	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	NES_leucine_rich	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	PXXP_SH3_binding	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	phospho_CK2	1	2	-1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	phospho_PKA	1	3	-2	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	NLS_basic_cluster	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	NES_leucine_rich	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	PXXP_SH3_binding	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	phospho_CK2	1	2	-1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1054	ENST00000433644.2	0.05106	phospho_PKA	1	3	-2	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	NLS_basic_cluster	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	NES_leucine_rich	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	PXXP_SH3_binding	1	0	1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	phospho_CK2	1	2	-1	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	phospho_PKA	1	3	-2	GO:0008017	microtubule binding
ENSG00000158169	BambuTx1055	ENST00000433644.2	0.05106	NLS_basic_cluster	1	0	1	GO:0008017	microtubule binding
