nm_id	enst_id	gene_name	source
NM_000014	ENST00000318602	A2M	MANE
NM_000015	ENST00000286479	NAT2	MANE
NM_000018	ENST00000356839	ACADVL	MANE
NM_000020	ENST00000388922	ACVRL1	MANE
NM_000021	ENST00000324501	PSEN1	MANE
NM_000022	ENST00000372874	ADA	MANE
NM_000023	ENST00000262018	SGCA	MANE
NM_000024	ENST00000305988	ADRB2	MANE
NM_000025	ENST00000345060	ADRB3	MANE
NM_000026	ENST00000623063	ADSL	MANE
NM_000027	ENST00000264595	AGA	MANE
NM_000028	ENST00000294724	AGL	biomart
NM_000029			unmapped
NM_000031	ENST00000409155	ALAD	MANE
NM_000034			unmapped
NM_000035	ENST00000647789	ALDOB	MANE
NM_000036	ENST00000520113	AMPD1	MANE
NM_000037	ENST00000289734	ANK1	MANE
NM_000038	ENST00000257430	APC	MANE
NM_000039	ENST00000236850	APOA1	MANE
NM_000040	ENST00000227667	APOC3	MANE
NM_000041	ENST00000252486	APOE	MANE
NM_000043	ENST00000652046	FAS	MANE
NM_000044	ENST00000374690	AR	MANE
NM_000048	ENST00000304874	ASL	MANE
NM_000049	ENST00000263080	ASPA	MANE
NM_000051	ENST00000675843	ATM	MANE
NM_000052	ENST00000341514	ATP7A	MANE
NM_000053	ENST00000242839	ATP7B	MANE
NM_000055	ENST00000264381	BCHE	MANE
NM_000056	ENST00000356489	BCKDHB	biomart
NM_000059	ENST00000380152	BRCA2	MANE
NM_000060			unmapped
NM_000061	ENST00000308731	BTK	MANE
NM_000064	ENST00000245907	C3	MANE
NM_000065	ENST00000337836	C6	MANE
NM_000066	ENST00000371237	C8B	MANE
NM_000067	ENST00000285379	CA2	MANE
NM_000068	ENST00000637432	CACNA1A	biomart
NM_000069	ENST00000362061	CACNA1S	MANE
NM_000070	ENST00000397163	CAPN3	MANE
NM_000072	ENST00000855958	CD36	biomart
NM_000073	ENST00000532917	CD3G	MANE
NM_000074	ENST00000370629	CD40LG	MANE
NM_000075	ENST00000257904	CDK4	MANE
NM_000077	ENST00000304494	CDKN2A	MANE
NM_000078	ENST00000200676	CETP	MANE
NM_000079	ENST00000348749	CHRNA1	MANE
NM_000080	ENST00000649488	CHRNE	MANE
NM_000081	ENST00000389793	LYST	MANE
NM_000082	ENST00000676185	ERCC8	MANE
NM_000086	ENST00000359984	CLN3	biomart
NM_000087	ENST00000420489	CNGA1	biomart
NM_000088	ENST00000225964	COL1A1	MANE
NM_000089	ENST00000297268	COL1A2	MANE
NM_000090	ENST00000304636	COL3A1	MANE
NM_000091	ENST00000396578	COL4A3	MANE
NM_000092	ENST00000396625	COL4A4	MANE
NM_000093	ENST00000371817	COL5A1	MANE
NM_000094	ENST00000681320	COL7A1	MANE
NM_000095	ENST00000222271	COMP	MANE
NM_000096	ENST00000264613	CP	MANE
NM_000097	ENST00000647941	CPOX	MANE
NM_000099	ENST00000376925	CST3	MANE
NM_000100	ENST00000291568	CSTB	MANE
NM_000101	ENST00000261623	CYBA	MANE
NM_000107	ENST00000256996	DDB2	MANE
NM_000108	ENST00000205402	DLD	MANE
NM_000109	ENST00000357033	DMD	biomart
NM_000110	ENST00000370192	DPYD	MANE
NM_000111	ENST00000340010	SLC26A3	MANE
NM_000112	ENST00000286298	SLC26A2	MANE
NM_000113	ENST00000351698	TOR1A	MANE
NM_000116	ENST00000601016	TAFAZZIN	MANE
NM_000117	ENST00000369842	EMD	MANE
NM_000118	ENST00000344849	ENG	biomart
NM_000119	ENST00000648595	EPB42	biomart
NM_000121	ENST00000222139	EPOR	MANE
NM_000122	ENST00000285398	ERCC3	MANE
NM_000123	ENST00000652225	ERCC5	MANE
NM_000124	ENST00000355832	ERCC6	MANE
NM_000125	ENST00000206249	ESR1	MANE
NM_000126	ENST00000557943	ETFA	MANE
NM_000127	ENST00000378204	EXT1	MANE
NM_000128	ENST00000403665	F11	MANE
NM_000129	ENST00000264870	F13A1	MANE
NM_000130	ENST00000367797	F5	MANE
NM_000132	ENST00000360256	F8	MANE
NM_000134	ENST00000274024	FABP2	MANE
NM_000136	ENST00000289081	FANCC	MANE
NM_000138	ENST00000316623	FBN1	MANE
NM_000139	ENST00000278888	MS4A2	MANE
NM_000140	ENST00000262093	FECH	MANE
NM_000141	ENST00000358487	FGFR2	MANE
NM_000142	ENST00000440486	FGFR3	MANE
NM_000143	ENST00000366560	FH	MANE
NM_000144	ENST00000484259	FXN	MANE
NM_000146	ENST00000331825	FTL	MANE
NM_000147	ENST00000374479	FUCA1	MANE
NM_000148	ENST00000645652	FUT1	biomart
NM_000149	ENST00000709634	FUT3	biomart
NM_000150	ENST00000318336	FUT6	MANE
NM_000152	ENST00000302262	GAA	MANE
NM_000153	ENST00000261304	GALC	MANE
NM_000154	ENST00000588479	GALK1	MANE
NM_000155	ENST00000378842	GALT	MANE
NM_000156	ENST00000252288	GAMT	MANE
NM_000157	ENST00000368373	GBA1	MANE
NM_000160	ENST00000400723	GCGR	MANE
NM_000161	ENST00000491895	GCH1	MANE
NM_000162	ENST00000403799	GCK	MANE
NM_000163	ENST00000230882	GHR	MANE
NM_000164	ENST00000590918	GIPR	MANE
NM_000166	ENST00000361726	GJB1	MANE
NM_000167	ENST00000378945	GK	biomart
NM_000168	ENST00000395925	GLI3	MANE
NM_000169	ENST00000218516	GLA	MANE
NM_000170	ENST00000321612	GLDC	MANE
NM_000174	ENST00000307395	GP9	MANE
NM_000175	ENST00000356487	GPI	MANE
NM_000176	ENST00000394464	NR3C1	MANE
NM_000178	ENST00000651619	GSS	MANE
NM_000179	ENST00000234420	MSH6	MANE
NM_000180	ENST00000254854	GUCY2D	MANE
NM_000181	ENST00000304895	GUSB	MANE
NM_000184	ENST00000336906	HBG2	MANE
NM_000187	ENST00000283871	HGD	MANE
NM_000188	ENST00000359426	HK1	MANE
NM_000189	ENST00000290573	HK2	MANE
NM_000190	ENST00000652429	HMBS	MANE
NM_000192	ENST00000310346	TBX5	biomart
NM_000193	ENST00000297261	SHH	MANE
NM_000194	ENST00000298556	HPRT1	MANE
NM_000195	ENST00000361490	HPS1	MANE
NM_000197	ENST00000375263	HSD17B3	MANE
NM_000200	ENST00000673563	HTN3	MANE
NM_000201	ENST00000264832	ICAM1	MANE
NM_000206	ENST00000374202	IL2RG	MANE
NM_000207	ENST00000381330	INS	MANE
NM_000208	ENST00000302850	INSR	MANE
NM_000209	ENST00000381033	PDX1	MANE
NM_000212	ENST00000559488	ITGB3	MANE
NM_000213	ENST00000200181	ITGB4	MANE
NM_000214	ENST00000254958	JAG1	MANE
NM_000215	ENST00000458235	JAK3	MANE
NM_000217	ENST00000382545	KCNA1	MANE
NM_000218	ENST00000155840	KCNQ1	MANE
NM_000219	ENST00000399286	KCNE1	MANE
NM_000220	ENST00000392664	KCNJ1	biomart
NM_000221	ENST00000260599	KHK	biomart
NM_000222	ENST00000288135	KIT	MANE
NM_000223	ENST00000251643	KRT12	MANE
NM_000224	ENST00000388835	KRT18	MANE
NM_000226	ENST00000246662	KRT9	MANE
NM_000227	ENST00000269217	LAMA3	MANE
NM_000228	ENST00000356082	LAMB3	MANE
NM_000229	ENST00000264005	LCAT	MANE
NM_000230	ENST00000308868	LEP	MANE
NM_000231	ENST00000218867	SGCG	MANE
NM_000232	ENST00000381431	SGCB	MANE
NM_000234	ENST00000263274	LIG1	MANE
NM_000236	ENST00000299022	LIPC	MANE
NM_000237	ENST00000650287	LPL	MANE
NM_000238	ENST00000262186	KCNH2	MANE
NM_000239	ENST00000261267	LYZ	MANE
NM_000243	ENST00000219596	MEFV	MANE
NM_000244	ENST00000710881	MEN1	biomart
NM_000245	ENST00000397752	MET	MANE
NM_000246	ENST00000324288	CIITA	MANE
NM_000247	ENST00000547609	MICA	biomart
NM_000248	ENST00000394351	MITF	MANE
NM_000251	ENST00000233146	MSH2	MANE
NM_000253	ENST00000457717	MTTP	biomart
NM_000255	ENST00000274813	MMUT	MANE
NM_000256	ENST00000545968	MYBPC3	MANE
NM_000257	ENST00000355349	MYH7	MANE
NM_000258	ENST00000292327	MYL3	MANE
NM_000259	ENST00000399231	MYO5A	biomart
NM_000260	ENST00000409709	MYO7A	MANE
NM_000261	ENST00000037502	MYOC	MANE
NM_000262	ENST00000396398	NAGA	MANE
NM_000263	ENST00000225927	NAGLU	MANE
NM_000265	ENST00000289473	NCF1	MANE
NM_000267	ENST00000356175	NF1	MANE
NM_000268	ENST00000338641	NF2	MANE
NM_000269	ENST00000393196	NME1	MANE
NM_000272	ENST00000316534	NPHP1	biomart
NM_000273	ENST00000467482	GPR143	MANE
NM_000274	ENST00000368845	OAT	MANE
NM_000275	ENST00000354638	OCA2	MANE
NM_000277	ENST00000553106	PAH	MANE
NM_000278	ENST00000355243	PAX2	MANE
NM_000280	ENST00000640610	PAX6	biomart
NM_000281	ENST00000299299	PCBD1	MANE
NM_000282	ENST00000376285	PCCA	MANE
NM_000283	ENST00000496514	PDE6B	MANE
NM_000284	ENST00000422285	PDHA1	MANE
NM_000286	ENST00000225873	PEX12	MANE
