"gene_id","feature_id","lr","df","pvalue","adj_pvalue","cell_type"
"AAMP","AAMP-201",0.468510599363071,1,0.493673161576561,1,"Excitatory_neuron"
"AAMP","AAMP-208",2.53144897562743,1,0.111597696216944,1,"Excitatory_neuron"
"AAMP","AAMP-204",2.98195785066275,1,0.0841973666129859,0.985629593783468,"Excitatory_neuron"
"AAR2","AAR2-202",0.287571027402464,1,0.591781294037631,1,"Excitatory_neuron"
"AAR2","AAR2-206",4.77165595138354,1,0.0289319844480941,0.890641524841263,"Excitatory_neuron"
"AAR2","AAR2-201",5.20262704701008,1,0.0225527790406785,0.890641524841263,"Excitatory_neuron"
"AARS1","AARS1-214",0.140687615216848,1,0.707598384436854,1,"Excitatory_neuron"
"AARS1","AARS1-225",1.87967868473925,1,0.170370671804162,1,"Excitatory_neuron"
"AARS1","AARS1-201",1.20396807326006,1,0.272530028288887,1,"Excitatory_neuron"
"AATK","AATK-202",1.68591812261866,1,0.19413992560005,1,"Excitatory_neuron"
"AATK","AATK-201",1.68591812261866,1,0.19413992560005,1,"Excitatory_neuron"
"ABCA5","transcript120292.chr17.nnic",0.101302781956747,1,0.750271810827341,1,"Excitatory_neuron"
"ABCA5","ABCA5-208",0.952902514329026,1,0.328981586081719,1,"Excitatory_neuron"
"ABCA5","ABCA5-201",-0.178108480087758,1,1,1,"Excitatory_neuron"
"ABCA5","ABCA5-214",-0.0356731067447527,1,1,1,"Excitatory_neuron"
"ABCA5","ABCA5-213",0.758887727188721,1,0.383676829853217,1,"Excitatory_neuron"
"ABCA5","ABCA5-204",2.78603590992043,1,0.0950891883228928,1,"Excitatory_neuron"
"ABCB6","ABCB6-213",1.49233829024888,1,0.221854015058917,1,"Excitatory_neuron"
"ABCB6","ABCB6-201",1.49233829024888,1,0.221854015058917,1,"Excitatory_neuron"
"ABCB7","ABCB7-201",0.00732120667925074,1,0.931812977433737,1,"Excitatory_neuron"
"ABCB7","ABCB7-203",0.00732120667925074,1,0.931812977433737,1,"Excitatory_neuron"
"ABCC5","ABCC5-201",0.627534301788728,1,0.428261193196847,1,"Excitatory_neuron"
"ABCC5","ABCC5-202",1.13079911670411,1,0.287604950042479,1,"Excitatory_neuron"
"ABCC5","ABCC5-205",-0.0890709275900008,1,1,1,"Excitatory_neuron"
"ABCC8","ABCC8-269",0.0575591993347189,1,0.810396164849158,1,"Excitatory_neuron"
"ABCC8","ABCC8-256",0.158906911430677,1,0.690164896919512,1,"Excitatory_neuron"
"ABCC8","ABCC8-280",5.74140685769089,1,0.0165695155293624,0.864094598966616,"Excitatory_neuron"
"ABCC8","ABCC8-263",0.00850975320827274,1,0.926500745006136,1,"Excitatory_neuron"
"ABCC8","ABCC8-210",6.229231117175,1,0.0125658286563149,0.764520972058019,"Excitatory_neuron"
"ABCC8","ABCC8-257",0.703541163798945,1,0.401596364029276,1,"Excitatory_neuron"
"ABCC8","ABCC8-253",4.1714482677271,1,0.0411106442582905,0.963618152900466,"Excitatory_neuron"
"ABCC8","ABCC8-227",0.431743060862573,1,0.511134892035352,1,"Excitatory_neuron"
"ABCG1","ABCG1-203",0.0905729518233329,1,0.763450025824093,1,"Excitatory_neuron"
"ABCG1","ABCG1-205",0.0905729518233329,1,0.763450025824093,1,"Excitatory_neuron"
"ABI1","ABI1-206",1.24914831140313,1,0.263715207542024,1,"Excitatory_neuron"
"ABI1","ABI1-204",0.859914577402606,1,0.353762597586425,1,"Excitatory_neuron"
"ABI1","ABI1-213",-0.0615231977317876,1,1,1,"Excitatory_neuron"
"ABI2","ABI2-204",2.08341309633875,1,0.148906894079886,1,"Excitatory_neuron"
"ABI2","ABI2-215",0.214764934728464,1,0.643058058172909,1,"Excitatory_neuron"
"ABI2","ABI2-203",0.27230528889072,1,0.601789540559331,1,"Excitatory_neuron"
"ACAA1","ACAA1-202",0.235230984849295,1,0.627671968885423,1,"Excitatory_neuron"
"ACAA1","ACAA1-203",0.235230984849295,1,0.627671968885423,1,"Excitatory_neuron"
"ACACA","ACACA-237",0.0706237287580507,1,0.790430787564628,1,"Excitatory_neuron"
"ACACA","ACACA-228",0.0706237287580507,1,0.790430787564628,1,"Excitatory_neuron"
"ACAD11","ACAD11-201",0.569383750315808,1,0.450503901536176,1,"Excitatory_neuron"
"ACAD11","ACAD11-208",0.569383750315922,1,0.45050390153613,1,"Excitatory_neuron"
"ACAD8","ACAD8-215",0.0341971384698354,1,0.853288110457064,1,"Excitatory_neuron"
"ACAD8","ACAD8-201",0.0341971384698354,1,0.853288110457064,1,"Excitatory_neuron"
"ACAD9","ACAD9-201",0.267301849520891,1,0.605147484037684,1,"Excitatory_neuron"
"ACAD9","ACAD9-216",0.267301849520891,1,0.605147484037684,1,"Excitatory_neuron"
"ACADM","ACADM-202",3.38818023727725,1,0.0656653846960489,0.963618152900466,"Excitatory_neuron"
"ACADM","ACADM-220",0.413626451264349,1,0.520134577214062,1,"Excitatory_neuron"
"ACADM","ACADM-230",1.97293376714583,1,0.160136803175372,1,"Excitatory_neuron"
"ACADM","ACADM-246",1.0081529988185,1,0.315345730268557,1,"Excitatory_neuron"
"ACADVL","ACADVL-203",4.74351744892931,1,0.0294088834651922,0.890641524841263,"Excitatory_neuron"
"ACADVL","ACADVL-206",4.49321180696131,1,0.0340296866506284,0.924147319221358,"Excitatory_neuron"
"ACADVL","ACADVL-201",0.0291240960670507,1,0.864492820488981,1,"Excitatory_neuron"
"ACAP3","ACAP3-202",0.0343174865984111,1,0.853033114054969,1,"Excitatory_neuron"
