gene	n_high_gap_pairs	max_gap	mean_gap	top_GO	top_GO_name	mean_len_diff
ENSG00000185591	4	0.1405	0.1405	GO:0000981	DNA-binding transcription factor activity, RNA pol	13.0
ENSG00000198728	2	0.1027	0.1027	GO:0003712	transcription coregulator activity	30.0
ENSG00000120885	6	0.0996	0.0996	GO:0005515	protein binding	25.0
ENSG00000131943	2	0.0995	0.0952	GO:0000981	DNA-binding transcription factor activity, RNA pol	25.5
ENSG00000263072	2	0.0968	0.0968	GO:0000978	RNA polymerase II cis-regulatory region sequence-s	35.0
ENSG00000173153	4	0.096	0.096	GO:0043565	sequence-specific DNA binding	8.0
ENSG00000133703	4	0.0956	0.0956	GO:0003924	GTPase activity	18.0
ENSG00000162599	6	0.0869	0.0869	GO:0000981	DNA-binding transcription factor activity, RNA pol	40.0
ENSG00000151292	4	0.0863	0.0863	GO:0004672	protein kinase activity	9.0
ENSG00000075426	16	0.0851	0.0851	GO:0000981	DNA-binding transcription factor activity, RNA pol	6.0
ENSG00000291140	66	0.0812	0.0643	GO:0004674	protein serine/threonine kinase activity	18.2
ENSG00000173230	12	0.0789	0.0661	GO:0003723	RNA binding	44.2
ENSG00000290763	3	0.0784	0.0784	GO:0016491	oxidoreductase activity	39.0
ENSG00000138767	4	0.0769	0.0769	GO:0003824	catalytic activity	20.0
ENSG00000178927	4	0.0766	0.0766	GO:0042802	identical protein binding	12.0
ENSG00000197620	5	0.076	0.076	GO:0000981	DNA-binding transcription factor activity, RNA pol	22.0
ENSG00000112335	1	0.076	0.076	GO:0035091	phosphatidylinositol binding	10.0
ENSG00000197021	3	0.0752	0.0752	GO:0000981	DNA-binding transcription factor activity, RNA pol	22.0
ENSG00000188026	2	0.0748	0.0748	GO:0046983	protein dimerization activity	18.0
ENSG00000305887	7	0.0737	0.064	GO:0005515	protein binding	10.4
ENSG00000289228	2	0.0719	0.0719	GO:0005515	protein binding	5.0
ENSG00000174928	2	0.0707	0.069	GO:0003690	double-stranded DNA binding	32.0
ENSG00000137601	2	0.0703	0.0703	GO:0004672	protein kinase activity	21.0
ENSG00000176834	2	0.0701	0.0685	GO:0000978	RNA polymerase II cis-regulatory region sequence-s	10.5
ENSG00000145362	4	0.0697	0.0638	GO:0005515	protein binding	16.5
ENSG00000250303	2	0.0693	0.0692	GO:0005515	protein binding	46.5
ENSG00000166974	8	0.0683	0.0626	GO:0008017	microtubule binding	36.0
ENSG00000171735	1	0.0677	0.0677	GO:0003690	double-stranded DNA binding	2.0
ENSG00000158186	10	0.0672	0.0665	GO:0003924	GTPase activity	28.8
ENSG00000197562	3	0.0671	0.0671	GO:0005525	GTP binding	24.0
ENSG00000259319	1	0.0664	0.0664	GO:0005515	protein binding	16.0
ENSG00000117298	16	0.0663	0.0663	GO:0008017	microtubule binding	26.0
ENSG00000121671	8	0.0658	0.0658	GO:0003677	DNA binding	16.0
ENSG00000164828	6	0.065	0.0614	GO:0008270	zinc ion binding	8.3
ENSG00000125812	4	0.064	0.064	GO:0000978	RNA polymerase II cis-regulatory region sequence-s	25.0
ENSG00000115875	4	0.0635	0.0635	GO:0003676	nucleic acid binding	20.0
ENSG00000237380	1	0.0624	0.0624	GO:0004674	protein serine/threonine kinase activity	1.0
ENSG00000135316	10	0.0621	0.0603	GO:0003723	RNA binding	25.2
ENSG00000291237	20	0.061	0.0586	GO:0016491	oxidoreductase activity	22.5
ENSG00000103266	1	0.0596	0.0596	GO:0061630	ubiquitin protein ligase activity	38.0
ENSG00000187118	2	0.0595	0.0595	GO:0000981	DNA-binding transcription factor activity, RNA pol	30.0
ENSG00000143740	2	0.0591	0.0591	GO:0046872	metal ion binding	43.0
ENSG00000227354	1	0.059	0.059	GO:0003677	DNA binding	48.0
ENSG00000169814	2	0.0586	0.0586	GO:0008017	microtubule binding	33.0
ENSG00000239672	1	0.0571	0.0571	GO:0106310	protein serine kinase activity	11.0
ENSG00000222011	2	0.0566	0.0566	GO:0003735	structural constituent of ribosome	24.0
ENSG00000165269	2	0.0566	0.0539	GO:0005515	protein binding	34.5
ENSG00000018869	6	0.056	0.056	GO:0000981	DNA-binding transcription factor activity, RNA pol	22.0
ENSG00000184436	4	0.0558	0.0558	GO:0019901	protein kinase binding	23.0
ENSG00000159884	4	0.0554	0.0554	GO:0000977	RNA polymerase II transcription regulatory region 	27.0
ENSG00000109065	9	0.0547	0.0541	GO:0005515	protein binding	9.7
ENSG00000243678	1	0.0544	0.0544	GO:0003677	DNA binding	30.0
ENSG00000203709	1	0.0535	0.0535	GO:0005524	ATP binding	2.0
ENSG00000173272	2	0.0535	0.0535	GO:0005515	protein binding	2.0
ENSG00000008083	4	0.0532	0.0532	GO:0003677	DNA binding	21.0
ENSG00000215386	1	0.0528	0.0528	GO:0005515	protein binding	4.0
ENSG00000168785	1	0.0519	0.0519	GO:0042802	identical protein binding	26.0
ENSG00000173436	4	0.0512	0.0512	GO:0005515	protein binding	1.0
ENSG00000070501	2	0.0512	0.0512	GO:0003677	DNA binding	12.0
ENSG00000158169	8	0.0511	0.0511	GO:0008017	microtubule binding	28.0
ENSG00000290418	4	0.0505	0.0505	GO:0003677	DNA binding	0.0
ENSG00000241878	9	0.0505	0.0505	GO:0019901	protein kinase binding	36.0
ENSG00000007866	2	0.0504	0.0504	GO:0000981	DNA-binding transcription factor activity, RNA pol	5.0
ENSG00000101216	12	0.0501	0.0501	GO:0000981	DNA-binding transcription factor activity, RNA pol	23.0
ENSG00000291046	3	0.0501	0.0501	GO:0003677	DNA binding	40.0
