"gene_id","feature_id","lr","df","pvalue","adj_pvalue","cell_type"
"ABCC8","ABCC8-269",1.53979655860212,1,0.214648089542446,0.950679038559909,"OPC"
"ABCC8","ABCC8-256",5.04517101377132,1,0.0246946697140957,0.879750890861605,"OPC"
"ABCC8","ABCC8-280",-0.252980070014019,1,1,1,"OPC"
"ABCC8","ABCC8-210",1.28750638569591,1,0.256508001035862,0.970016131167705,"OPC"
"ABCC8","ABCC8-257",1.36425591413672,1,0.242801254188861,0.969150332733256,"OPC"
"ACAD11","ACAD11-208",0.134614221356287,1,0.713695023089877,0.996137853613571,"OPC"
"ACAD11","ACAD11-202",0.134614221356287,1,0.713695023089877,0.996137853613571,"OPC"
"ACSL3","ACSL3-201",2.18764255556482,1,0.139122104892497,0.949923827040899,"OPC"
"ACSL3","ACSL3-231",0.679433472377241,1,0.409781874129633,0.980009569681584,"OPC"
"ACSL3","ACSL3-202",-0.12900141349121,1,1,1,"OPC"
"ACSS1","ACSS1-204",0.142597671072338,1,0.70571211151439,0.996137853613571,"OPC"
"ACSS1","ACSS1-201",0.142597671072338,1,0.70571211151439,0.996137853613571,"OPC"
"ACTB","ACTB-206",2.07806000403798,1,0.149429988867628,0.949923827040899,"OPC"
"ACTB","ACTB-217",2.07806000403798,1,0.149429988867628,0.949923827040899,"OPC"
"ACTG1","ACTG1-205",1.04796881984748,1,0.305975350060422,0.976956524038597,"OPC"
"ACTG1","ACTG1-206",0.620271864007009,1,0.430946277551995,0.980009569681584,"OPC"
"ACTG1","ACTG1-213",0.175029436166369,1,0.675680129940739,0.996137853613571,"OPC"
"ADAR","transcript238794.chr1.nic",0.326914286112697,1,0.567481742380979,0.996137853613571,"OPC"
"ADAR","ADAR-227",0.326914286112697,1,0.567481742380979,0.996137853613571,"OPC"
"ADD3","ADD3-201",0.0644316350376357,1,0.799623903468431,1,"OPC"
"ADD3","ADD3-203",0.0644316350376357,1,0.799623903468431,1,"OPC"
"ADGRB3-DT","ADGRB3-DT-203",2.59623023167887,1,0.107118235128332,0.884522321015409,"OPC"
"ADGRB3-DT","ADGRB3-DT-208",2.59623023167887,1,0.107118235128332,0.884522321015409,"OPC"
"AFAP1L2","AFAP1L2-202",1.25871270108428,1,0.261894899416739,0.970016131167705,"OPC"
"AFAP1L2","transcript195228.chr10.nic",0.454232011768454,1,0.500332060770193,0.980911699206668,"OPC"
"AFAP1L2","AFAP1L2-201",2.07540863225881,1,0.149689845127029,0.949923827040899,"OPC"
"AFAP1L2","AFAP1L2-206",-0.0602754440656099,1,1,1,"OPC"
"AFF4","AFF4-203",3.43272015971775,1,0.0639167448615469,0.879750890861605,"OPC"
"AFF4","AFF4-201",3.43272015971775,1,0.0639167448615469,0.879750890861605,"OPC"
"AHI1","AHI1-264",0.0072097391994248,1,0.932332796058571,1,"OPC"
"AHI1","AHI1-204",0.168316488956407,1,0.681612351605826,0.996137853613571,"OPC"
"AHI1","AHI1-201",-0.00602553038129372,1,1,1,"OPC"
"AIMP1","AIMP1-206",0.327130431925582,1,0.567353699282887,0.996137853613571,"OPC"
"AIMP1","AIMP1-216",0.327130431925582,1,0.567353699282887,0.996137853613571,"OPC"
"AK2","AK2-214",1.27001234735451,1,0.259764363557075,0.970016131167705,"OPC"
"AK2","AK2-221",1.27001234735451,1,0.259764363557075,0.970016131167705,"OPC"
"AKAP6","AKAP6-201",0.532997384754708,1,0.465349415607094,0.980009569681584,"OPC"
"AKAP6","AKAP6-213",0.532997384754708,1,0.465349415607094,0.980009569681584,"OPC"
"AKAP8L","AKAP8L-239",1.62065969034239,1,0.202999827711611,0.949923827040899,"OPC"
"AKAP8L","AKAP8L-201",1.62065969034239,1,0.202999827711611,0.949923827040899,"OPC"
"AKAP9","AKAP9-212",0.0254478539045522,1,0.873256181219083,1,"OPC"
"AKAP9","AKAP9-213",0.084788921103609,1,0.770909549229791,0.999753877582742,"OPC"
"AKAP9","AKAP9-220",0.131878020467411,1,0.716492735028356,0.996137853613571,"OPC"
"AKAP9","AKAP9-217",0.151118080349079,1,0.697469162396967,0.996137853613571,"OPC"
"ALCAM","ALCAM-201",1.66249775026881,1,0.197266419823131,0.949923827040899,"OPC"
"ALCAM","ALCAM-205",1.66249775026881,1,0.197266419823131,0.949923827040899,"OPC"
"ALDOC","ALDOC-203",0.29186121546627,1,0.589030281037996,0.996137853613571,"OPC"
"ALDOC","ALDOC-201",0.29186121546627,1,0.589030281037996,0.996137853613571,"OPC"
"AMZ1","AMZ1-207",1.78836798558268,1,0.181125134132057,0.949923827040899,"OPC"
"AMZ1","AMZ1-202",1.78836798558268,1,0.181125134132057,0.949923827040899,"OPC"
"ANK2","ANK2-299",-0.0378348482637421,1,1,1,"OPC"
"ANK2","ANK2-296",-0.24063120535186,1,1,1,"OPC"
"ANK2","ANK2-300",0.407744918094068,1,0.523116320657288,0.990717665736551,"OPC"
"ANKRD12","ANKRD12-201",1.13931974484694,1,0.285796114739232,0.970016131167705,"OPC"
"ANKRD12","ANKRD12-203",1.13931974484694,1,0.285796114739232,0.970016131167705,"OPC"
"ANKRD20A1","ANKRD20A1-201",0.0150194857235419,1,0.902460273365232,1,"OPC"
"ANKRD20A1","ANKRD20A1-205",0.0150194857235419,1,0.902460273365232,1,"OPC"
