gene	cell_type	prism_tier	dtu_p	dtu_note	delta	mechanism_type	domains_lost	domains_gained	ct_transcript_id	ad_transcript_id	prism_ct_max_score	prism_ad_max_score	prism_delta_max	af_ct_plddt_mean	af_ad_plddt_mean	ppi_verdict	cons_ad_class	cons_ad_phylop	tss_class	apa_class	nat
DLG1	OPC	tier1_functional_switch	9.03e-10	dtu_tested	0.857	alternative_splicing		Guanylate_kin;PDZ;PDZ_2;PDZ_6;SH3_1;SH3_2	transcript319500.chr3.nnic	DLG1-201	0.3367	0.7106	0.6369	NA	73.05	SUPPORTED	highly_conserved	1.896	tss_shift	major_apa	No
NEK1	Cardiomyocyte	tier1_functional_switch	NA	single_condition_no_comparison	-0.5044	transcriptional		ABC1;APH;Kinase-like;PK_Tyr_Ser-Thr;Pkinase;Pkinase_fungal	NEK1-214	NEK1-228	0.3363	0.9317	0.5954	56.86	56.86	UNSUPPORTED	low	-0.029	same_promoter	same_apa	No
PHB2	Skeletal_muscle / Cardiomyocyte	tier1_functional_switch	NA	single_condition_no_comparison	0.5666	transcriptional	ABC1;CRLF2-like_D2;EphA2_TM;Ephrin_lbd;Ephrin_rec_like;PK_Tyr_Ser-Thr;Pkinase;Pur_ac_phosph_N;SAM_1;SAM_2;SusE;fn3	Band_7;Med2	PHB2-203	PHB2-220	0.6472	0.4464	0.2505	85.13	85.13	UNSUPPORTED		NA	same_promoter	moderate_apa	No
NDUFS4	Excitatory	tier2_complex_loss	3.62e-06	dtu_tested	-0.563	epigenetic_derepression	NDUS4	RVT_1	NDUFS4-201	transcript73243.chr5.nnic	0.6169	0.1437	0.131	84.1	NA	SUPPORTED	low	0.003	same_promoter	moderate_apa	No
NDUFS7	Skeletal_muscle	tier2_complex_loss	NA	single_condition_no_comparison	0.5081	alternative_promoter	Oxidored_q6		NDUFS7-201	NDUFS7-217	0.6921	0.0675	0.052	81.72	81.72	UNSUPPORTED		NA	alt_promoter_candidate	same_apa	No
NDUFS8	Skeletal_muscle	tier2_complex_loss	NA	single_condition_no_comparison	0.5001	transcriptional	Fer4_10;Fer4_16;Fer4_3;Fer4_8;Fer4_9		NDUFS8-201	NDUFS8-215	0.758	0.2389	0.057	88.03	88.03	UNSUPPORTED		NA	same_promoter	moderate_apa	No
ABITRAM	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.5209	transcriptional	GCV_H		ABITRAM-201	ABITRAM-204	0.5803	0.1206	0.0778	79.75	79.75	UNSUPPORTED		NA	same_promoter	moderate_apa	No
CD40	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.581	epigenetic_derepression	RANK_CRD_2;TNFR_c6		CD40-202	CD40-214	0.6298	0.1206	0.1117	81.19	81.19	UNSUPPORTED		NA	alt_promoter_candidate	minor_apa	No
CHMP3	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.6085	alternative_promoter		zf-ZPR1	CHMP3-201	CHMP3-209	0.7745	0.0536	0.0234	81.36	81.36	UNSUPPORTED		NA	alt_promoter_candidate	moderate_apa	No
CHMP3	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.6085	alternative_promoter		zf-ZPR1	CHMP3-201	CHMP3-209	0.7745	0.0536	0.0234	81.36	81.36	UNSUPPORTED		NA	alt_promoter_candidate	moderate_apa	No
CNP	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.6705	alternative_promoter	6PF2K;AAA;AAA_14;AAA_17;AAA_18;AAA_22;AAA_30;AAA_33;ABC_tran;CNPase;KTI12;nSTAND3		CNP-202	CNP-212	0.4768	0.1206	0.0732	87.27	87.27	UNSUPPORTED	low	-0.185	alt_promoter_candidate	major_apa	No
COA1	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.5885	alternative_promoter	DUF1518;DUF4927;HLH;NCOA_u2;Nuc_rec_co-act;PAS;PAS_11;PAS_3;PAS_9;SRC-1		COA1-201	COA1-219	0.7764	0.1206	0.1142	88.21	88.21	UNSUPPORTED		NA	alt_promoter_candidate	minor_apa	No
COLQ	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.6479	epigenetic_derepression	Collagen		COLQ-203	COLQ-214	0.6022	0.3138	0.1875	54.46	54.46	UNSUPPORTED		NA	alt_promoter_candidate	same_apa	No
DYNLT1	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.7914	alternative_promoter	Tctex-1		DYNLT1-203	DYNLT1-202	0.8665	0.1206	0.1155	95.11	95.11	UNSUPPORTED		NA	alt_promoter_candidate	same_apa	No
DYNLT1	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.7914	alternative_promoter	Tctex-1		DYNLT1-203	DYNLT1-202	0.8665	0.1206	0.1155	95.11	95.11	UNSUPPORTED		NA	alt_promoter_candidate	same_apa	No
EGFR	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.6346	alternative_promoter	Furin-like;GF_recep_IV;PK_Tyr_Ser-Thr;Pkinase;Recep_L_domain;TM_ErbB1		EGFR-201	EGFR-213	0.8713	0.2471	0.1912	75.95	75.95	UNSUPPORTED		NA	alt_promoter_candidate	major_apa	No
EGFR	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.6346	alternative_promoter	Furin-like;GF_recep_IV;PK_Tyr_Ser-Thr;Pkinase;Recep_L_domain;TM_ErbB1		EGFR-201	EGFR-213	0.8713	0.2471	0.1912	75.95	75.95	UNSUPPORTED		NA	alt_promoter_candidate	major_apa	No
GSTM2	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.5252	alternative_promoter	GST_C;GST_C_2;GST_C_3;GST_C_6;GST_N;GST_N_2;GST_N_3	HERV-K_env_2	GSTM2-201	GSTM2-215	0.6721	0.2191	0.1631	98.51	98.51	UNSUPPORTED	low	0.018	alt_promoter_candidate	major_apa	No
GSTM2	Skeletal_muscle	tier2_functional_loss	NA	single_condition_no_comparison	0.5252	alternative_promoter	GST_C;GST_C_2;GST_C_3;GST_C_6;GST_N;GST_N_2;GST_N_3	HERV-K_env_2	GSTM2-201	GSTM2-215	0.6721	0.2191	0.1631	98.51	98.51	UNSUPPORTED	low	0.018	alt_promoter_candidate	major_apa	No
IFT172	Cardiomyocyte	tier2_functional_loss	NA	single_condition_no_comparison	0.6009	transcriptional	Clathrin;Coatomer_WDAD;RPN7	eIF2A	IFT172-201	IFT172-234	0.8188	0.1581	0.0732	83.81	83.81	UNSUPPORTED		NA	same_promoter	major_apa	No
