gene	cell_type	n_ad_with_reads	n_ct_with_reads	n_ad_total	n_ct_total	jackknife_max_change_ratio	jackknife_worst_donor	direction_consistency	dominant_isoform	verdict	note
A1BG-AS1	Excitatory_neuron	7	5	13	8	0.0674	SMC041	0.7143	A1BG-AS1-209	PASS	
AAAS	Excitatory_neuron	7	6	13	8	0.875	SMC049	0.5714	transcript75664.chr12.nnic	FAIL	Jackknife 0.88 ≥ 0.5; Direction 0.57 < 0.6
AACS	Excitatory_neuron	9	8	13	8	0.0		1.0	AACS-202	PASS	
AAGAB	Excitatory_neuron	10	7	13	8	0.9755	SMC049	0.4	AAGAB-207	FAIL	Jackknife 0.98 ≥ 0.5; Direction 0.40 < 0.6
AAMP	Excitatory_neuron	11	7	13	8	8.385	SMC049	0.5455	AAMP-208	FAIL	Jackknife 8.38 ≥ 0.5; Direction 0.55 < 0.6
AAR2	Excitatory_neuron	9	7	13	8	0.5238	SMC049	0.8889	AAR2-206	FAIL	Jackknife 0.52 ≥ 0.5
AARS1	Excitatory_neuron	12	8	13	8	0.2949	SMC032	0.6667	AARS1-225	PASS	
AARSD1	Excitatory_neuron	10	5	13	8	0.3446	SMC049	0.9	AARSD1-202	PASS	
AATF	Excitatory_neuron	8	8	13	8	1.4676	SMC049	0.375	AATF-208	FAIL	Jackknife 1.47 ≥ 0.5; Direction 0.38 < 0.6
ABCA2	Excitatory_neuron	10	7	13	8	0.5864	SMC038	0.7	ABCA2-202	FAIL	Jackknife 0.59 ≥ 0.5
ABCA5	Excitatory_neuron	13	8	13	8	1.0028	SMC041	0.0769	ABCA5-211	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.08 < 0.6
ABCA6	Excitatory_neuron	7	5	13	8	1.069	PO28	0.5714	ABCA6-205	FAIL	Jackknife 1.07 ≥ 0.5; Direction 0.57 < 0.6
ABCA8	Excitatory_neuron	9	7	13	8	1.2588	SMC041	0.5556	ABCA8-206	FAIL	Jackknife 1.26 ≥ 0.5; Direction 0.56 < 0.6
ABCB6	Excitatory_neuron	10	7	13	8	0.5382	SMC038	0.4	ABCB6-201	FAIL	Jackknife 0.54 ≥ 0.5; Direction 0.40 < 0.6
ABCB7	Excitatory_neuron	5	5	13	8	0.6646	SMC049	0.6	ABCB7-201	FAIL	Jackknife 0.66 ≥ 0.5
ABCB8	Excitatory_neuron	9	7	13	8	0.0		1.0	transcript233247.chr7.nnic	PASS	
ABCB9	Excitatory_neuron	9	7	13	8	0.6626	SMC038	0.4444	ABCB9-201	FAIL	Jackknife 0.66 ≥ 0.5; Direction 0.44 < 0.6
ABCC5	Excitatory_neuron	12	8	13	8	0.6198	SMC032	0.5	ABCC5-205	FAIL	Jackknife 0.62 ≥ 0.5; Direction 0.50 < 0.6
ABCC8	Excitatory_neuron	13	8	13	8	0.287	SMC049	0.9231	ABCC8-253	PASS	
ABCD4	Excitatory_neuron	11	8	13	8	0.5076	SMC049	1.0	ABCD4-214	FAIL	Jackknife 0.51 ≥ 0.5
ABCF1	Excitatory_neuron	10	8	13	8	0.5872	SMC049	0.7	ABCF1-201	FAIL	Jackknife 0.59 ≥ 0.5
ABCF3	Excitatory_neuron	8	7	13	8	0.1243	SMC049	0.625	ABCF3-203	PASS	
ABCG1	Excitatory_neuron	5	6	13	8	0.3804	SMC038	0.6	ABCG1-203	PASS	
ABHD14A	Excitatory_neuron	12	8	13	8	0.0		1.0	ABHD14A-202	PASS	
ABHD2	Excitatory_neuron	11	7	13	8	0.9467	PO41	0.1818	ABHD2-201	FAIL	Jackknife 0.95 ≥ 0.5; Direction 0.18 < 0.6
ABHD6	Excitatory_neuron	9	6	13	8	0.2279	SMC038	0.5556	ABHD6-201	FAIL	Direction 0.56 < 0.6
