"gene_id","feature_id","gene_ofdr","tx_ofdr","cell_type"
"ABCC8","ABCC8-269",0.876895875969668,NA,"OPC"
"ABCC8","ABCC8-256",0.876895875969668,NA,"OPC"
"ABCC8","ABCC8-280",0.876895875969668,NA,"OPC"
"ABCC8","ABCC8-210",0.876895875969668,NA,"OPC"
"ABCC8","ABCC8-257",0.876895875969668,NA,"OPC"
"ACAD11","ACAD11-208",0.963280577664886,NA,"OPC"
"ACAD11","ACAD11-202",0.963280577664886,NA,"OPC"
"ACSL3","ACSL3-201",0.953795816594935,NA,"OPC"
"ACSL3","ACSL3-231",0.953795816594935,NA,"OPC"
"ACSL3","ACSL3-202",0.953795816594935,NA,"OPC"
"ACSS1","ACSS1-204",0.963280577664886,NA,"OPC"
"ACSS1","ACSS1-201",0.963280577664886,NA,"OPC"
"ACTB","ACTB-206",0.884579848846889,NA,"OPC"
"ACTB","ACTB-217",0.884579848846889,NA,"OPC"
"ACTG1","ACTG1-205",0.963280577664886,NA,"OPC"
"ACTG1","ACTG1-206",0.963280577664886,NA,"OPC"
"ACTG1","ACTG1-213",0.963280577664886,NA,"OPC"
"ADAR","transcript238794.chr1.nic",0.959368464316712,NA,"OPC"
"ADAR","ADAR-227",0.959368464316712,NA,"OPC"
"ADD3","ADD3-201",0.968451962834219,NA,"OPC"
"ADD3","ADD3-203",0.968451962834219,NA,"OPC"
"ADGRB3-DT","ADGRB3-DT-203",0.876895875969668,NA,"OPC"
"ADGRB3-DT","ADGRB3-DT-208",0.876895875969668,NA,"OPC"
"AFAP1L2","AFAP1L2-202",0.953795816594935,NA,"OPC"
"AFAP1L2","transcript195228.chr10.nic",0.953795816594935,NA,"OPC"
"AFAP1L2","AFAP1L2-201",0.953795816594935,NA,"OPC"
"AFAP1L2","AFAP1L2-206",0.953795816594935,NA,"OPC"
"AFF4","AFF4-203",0.876895875969668,NA,"OPC"
"AFF4","AFF4-201",0.876895875969668,NA,"OPC"
"AHI1","AHI1-264",0.983176666667282,NA,"OPC"
"AHI1","AHI1-204",0.983176666667282,NA,"OPC"
"AHI1","AHI1-201",0.983176666667282,NA,"OPC"
"AIMP1","AIMP1-206",0.959368464316712,NA,"OPC"
"AIMP1","AIMP1-216",0.959368464316712,NA,"OPC"
"AK2","AK2-214",0.918678846726242,NA,"OPC"
"AK2","AK2-221",0.918678846726242,NA,"OPC"
"AKAP6","AKAP6-201",0.957245119747053,NA,"OPC"
"AKAP6","AKAP6-213",0.957245119747053,NA,"OPC"
"AKAP8L","AKAP8L-239",0.884579848846889,NA,"OPC"
"AKAP8L","AKAP8L-201",0.884579848846889,NA,"OPC"
"AKAP9","AKAP9-212",0.983176666667282,NA,"OPC"
"AKAP9","AKAP9-213",0.983176666667282,NA,"OPC"
"AKAP9","AKAP9-220",0.983176666667282,NA,"OPC"
"AKAP9","AKAP9-217",0.983176666667282,NA,"OPC"
"ALCAM","ALCAM-201",0.884579848846889,NA,"OPC"
"ALCAM","ALCAM-205",0.884579848846889,NA,"OPC"
"ALDOC","ALDOC-203",0.959368464316712,NA,"OPC"
"ALDOC","ALDOC-201",0.959368464316712,NA,"OPC"
"AMZ1","AMZ1-207",0.884579848846889,NA,"OPC"
"AMZ1","AMZ1-202",0.884579848846889,NA,"OPC"
"ANK2","ANK2-299",0.973402523375719,NA,"OPC"
"ANK2","ANK2-296",0.973402523375719,NA,"OPC"
"ANK2","ANK2-300",0.973402523375719,NA,"OPC"
"ANKRD12","ANKRD12-201",0.922754290676715,NA,"OPC"
"ANKRD12","ANKRD12-203",0.922754290676715,NA,"OPC"
"ANKRD20A1","ANKRD20A1-201",0.979544939373117,NA,"OPC"
"ANKRD20A1","ANKRD20A1-205",0.979544939373117,NA,"OPC"
"ANKRD26","ANKRD26-202",0.953795816594935,NA,"OPC"
"ANKRD26","ANKRD26-201",0.953795816594935,NA,"OPC"
"ANKRD36C","ANKRD36C-201",0.983176666667282,NA,"OPC"
"ANKRD36C","ANKRD36C-202",0.983176666667282,NA,"OPC"
"ANKRD44","ANKRD44-204",0.963280577664886,NA,"OPC"
"ANKRD44","ANKRD44-201",0.963280577664886,NA,"OPC"
"ANKRD44","ANKRD44-209",0.963280577664886,NA,"OPC"
"ANKRD44","transcript350027.chr2.nic",0.963280577664886,NA,"OPC"
"ANKRD46","ANKRD46-201",0.973402523375719,NA,"OPC"
"ANKRD46","ANKRD46-204",0.973402523375719,NA,"OPC"
"ANKZF1","ANKZF1-211",0.959368464316712,NA,"OPC"
"ANKZF1","ANKZF1-218",0.959368464316712,NA,"OPC"
"AP2M1","AP2M1-202",0.963280577664886,NA,"OPC"
"AP2M1","AP2M1-225",0.963280577664886,NA,"OPC"
"AP2M1","AP2M1-208",0.963280577664886,NA,"OPC"
"AP3M1","AP3M1-202",0.922754290676715,NA,"OPC"
"AP3M1","AP3M1-201",0.922754290676715,NA,"OPC"
"APC","APC-201",0.971362461819318,NA,"OPC"
"APC","APC-205",0.971362461819318,NA,"OPC"
"APLP1","APLP1-212",0.878951039256954,NA,"OPC"
"APLP1","APLP1-201",0.878951039256954,NA,"OPC"
"APLP2","APLP2-203",0.959368464316712,NA,"OPC"
"APLP2","APLP2-210",0.959368464316712,NA,"OPC"
"APP","APP-204",0.953795816594935,NA,"OPC"
"APP","APP-202",0.953795816594935,NA,"OPC"
"APP","APP-201",0.953795816594935,NA,"OPC"
"APPL2","APPL2-201",0.959368464316712,NA,"OPC"
"APPL2","transcript148299.chr12.nic",0.959368464316712,NA,"OPC"
"ARAP2","ARAP2-201",0.884579848846889,NA,"OPC"
"ARAP2","ARAP2-206",0.884579848846889,NA,"OPC"
"ARHGAP21","ARHGAP21-214",0.994924503278436,NA,"OPC"
"ARHGAP21","ARHGAP21-201",0.994924503278436,NA,"OPC"
"ARHGAP5","ARHGAP5-209",0.884579848846889,NA,"OPC"
"ARHGAP5","ARHGAP5-202",0.884579848846889,NA,"OPC"
"ARHGEF4","ARHGEF4-208",0.957245119747053,NA,"OPC"
"ARHGEF4","ARHGEF4-205",0.957245119747053,NA,"OPC"
"ARID4B","ARID4B-201",0.952524677118331,NA,"OPC"
"ARID4B","ARID4B-202",0.952524677118331,NA,"OPC"
"ARID5A","ARID5A-201",0.963280577664886,NA,"OPC"
"ARID5A","ARID5A-202",0.963280577664886,NA,"OPC"
"ARMCX3","ARMCX3-201",0.966754740851289,NA,"OPC"
"ARMCX3","ARMCX3-203",0.966754740851289,NA,"OPC"
"ASCC3","ASCC3-207",0.876895875969668,NA,"OPC"
"ASCC3","ASCC3-204",0.876895875969668,NA,"OPC"
"ASH1L","ASH1L-210",0.876895875969668,NA,"OPC"
"ASH1L","ASH1L-213",0.876895875969668,NA,"OPC"
"ASH1L","ASH1L-215",0.876895875969668,NA,"OPC"
"ASPH","ASPH-203",0.876895875969668,NA,"OPC"
"ASPH","ASPH-201",0.876895875969668,NA,"OPC"
