tissue	gene	canonical_idx	other_idx	long_idx	short_idx	canonical_is_lo	size	domain_binary	nterm_overlap	disorder_frac	resync_failure_binary	severity_score	domain_binary_faithful	severity_score_region	severity_score_scram	size_long_region	size_short_region
brain	A1BG	3	0	3	0	0	394	0	1	0.1212994923857868	1	0.9498960971832277	1	8.617401123046875	-0.5380019545555115	394	2
brain	A1BG	3	1	3	1	0	200	0	1	0.0978624338624338	0	1.2759363651275637	0	18.86048698425293	2.285060167312622	189	20
brain	A1BG	3	2	3	2	0	400	0	1	0.12895	1	0.7058072686195374	1	0.6361312866210938	1.2842347621917725	400	60
brain	A1BG-AS1	4	5	4	5	0	31	0	0	0.0697419354838709	1	-0.9182524681091307	0	-3.989037036895752	-2.786973237991333	31	60
brain	A1BG-AS1	4	6	4	6	0	30	0	0	0.0656666666666666	1	-0.8648490905761719	0	-4.117190361022949	0.09030413627624512	30	60
brain	A1BG-AS1	4	7	4	7	0	31	0	0	0.0697419354838709	1	-0.9182524681091307	0	-3.989037036895752	-0.9866782426834106	31	60
brain	A1BG-AS1	4	8	4	8	0	41	0	0	-0.0037073170731707	1	-1.180728316307068	0	-4.282652854919434	-2.419208526611328	41	60
brain	A2ML1	15	14	15	14	0	1296	0	1	0.0794714506172839	1	5.077661037445068	1	5.262423515319824	3.9053139686584473	981	117
brain	AAAS	21	17	21	17	0	588	1	1	0.1044873294346978	1	15.29525375366211	1	15.43378734588623	16.01372528076172	513	91
brain	AAAS	21	18	21	18	0	317	1	1	0.077757097791798	1	3.3114354610443115	1	0.7136214375495911	5.877879619598389	317	60
brain	AAAS	21	19	21	19	0	410	1	1	0.092980487804878	1	2.78943395614624	1	-0.7123976945877075	3.7025365829467773	410	60
brain	AAAS	21	20	21	20	0	317	1	1	0.077757097791798	1	3.3114354610443115	1	0.7136214375495911	3.2728450298309326	317	60
brain	AAAS	21	22	21	22	0	33	0	0	-0.0052424242424242	0	0.1671177595853805	0	17.309173583984375	-11.484652519226074	33	60
brain	AAAS	21	23	21	23	0	540	1	1	0.0963183673469387	1	14.25396728515625	1	15.833755493164062	15.019097328186035	490	58
brain	AAAS	21	24	21	24	0	412	1	0	0.1074040920716112	1	13.451859474182127	1	19.72634506225586	16.798490524291992	391	24
brain	AAAS	21	25	21	25	0	321	1	1	0.0787227414330218	1	3.641978025436402	1	0.8237171769142151	5.913866996765137	321	60
brain	AAAS	21	26	21	26	0	317	1	1	0.077757097791798	1	3.3114354610443115	1	0.7136214375495911	7.073907375335693	317	60
brain	AACS	33	27	33	27	0	513	1	1	0.0677816764132553	1	4.901531219482422	1	7.101057052612305	3.834290027618408	513	60
brain	AACS	33	28	33	28	0	402	1	1	0.0682910447761193	1	1.945767283439636	1	2.8649404048919678	4.413590431213379	402	60
brain	AACS	33	29	33	29	0	644	1	1	0.0678475409836065	1	28.2027587890625	1	31.31955909729004	25.795448303222656	610	42
brain	AACS	33	30	33	30	0	547	1	0	0.0618934911242603	1	20.917415618896484	1	23.749692916870117	23.072872161865234	507	53
brain	AACS	33	31	33	31	0	415	0	1	0.0869036144578313	1	-0.2379489243030548	1	9.220765113830566	-19.585033416748047	415	2
brain	AACS	33	32	33	32	0	519	1	1	0.0675618661257606	1	2.989534378051758	1	13.464262008666992	5.622128486633301	493	28
brain	AADAT	34	35	34	35	0	178	0	0	0.0444438202247191	1	0.6962913274765015	1	1.4331388473510742	-5.432745456695557	178	3
brain	AAGAB	38	36	38	36	0	109	0	1	0.0346513761467889	0	8.909585952758789	0	12.154561996459961	2.4261364936828613	109	60
brain	AAGAB	38	37	38	37	0	215	0	1	0.0620689655172413	1	14.85573673248291	1	18.57961082458496	6.449556350708008	174	46
brain	AAK1	42	39	42	39	0	172	0	0	0.1835481481481481	1	1.0839824676513672	0	14.247398376464844	6.816616535186768	135	37
brain	AAK1	42	40	40	42	1	416	0	0	0.213798761609907	1	-1.796295166015625	1	-4.3240509033203125	4.008552074432373	180	119
brain	AAK1	42	41	42	41	0	886	1	1	0.1728512110726643	1	18.54899406433105	1	27.112483978271484	14.388712882995605	867	21
brain	AAK1	42	44	42	44	0	821	1	0	0.1943812423873325	1	3.231722831726074	1	5.371611595153809	11.629380226135254	821	3
brain	AAMDC	47	45	45	47	1	280	0	1	0.0262222222222222	1	-10.636569023132324	1	-10.42161750793457	-13.23862361907959	216	91
brain	AAMDC	47	48	48	47	1	280	0	1	0.0262222222222222	1	-10.636569023132324	1	-10.42161750793457	-11.586400985717773	216	91
brain	AAMP	49	50	49	50	0	43	0	1	0.316060606060606	0	0.4773803055286407	0	9.614950180053711	4.852754592895508	33	14
brain	AAMP	49	51	49	51	0	138	0	0	0.0699416666666666	1	2.99717116355896	1	17.895164489746094	20.06596565246582	120	33
brain	AAMP	49	52	49	52	0	202	0	0	0.0749851485148515	1	3.158395767211914	1	17.623624801635742	9.343650817871094	202	1
brain	AAMP	49	53	53	49	1	1	0	1	0.06	0	-0.0169284231960773	0	-0.3781672716140747	4.793937683105469	1	60
brain	AAR2	60	54	54	60	1	90	0	0	0.0790677966101695	1	-0.8245447874069214	1	-6.586540222167969	-5.854366302490234	59	45
